title,description,date,Sentiment
Sweetened bid for HBC by Baker-led shareholder group gets board's approval,Group has agreed to pay $10.30 per share in cash to take the company private,2019-10-21T17:57:25.422Z,1
WeWork co-founder pushed aside in $5B SoftBank takeover,Financial rescue package from Japanese tech giant offers Adam Neumann 'a golden helicopter',2019-10-23T17:33:08.522Z,-1
"Alberta cannabis industry readies for edibles, but details still murky","Tight regulations have unintended consequences, create waste, retailers and producers say",2019-10-17T12:00:00.221Z,0
"Prairies 'bright spot' in Canadian cannabis market as legalization anniversary nears, expert says","After initial 'bubble' in cannabis stocks, analyst expects about a half dozen companies to survive, thrive",2019-10-14T08:00:00.978Z,1
TD Ameritrade to be bought by Charles Schwab in $26B brokerage blockbuster,"TD Bank will own about 13% of combined company, which will control about control 24 million accounts",2019-11-25T13:24:19.182Z,1
Cabbage rolls by the thousand: Peg's Kitchen's success lies in bringing 'down-home' Sask. cooking to the city,Local foodie eats his way through Regina to share his take on what’s good,2019-11-28T15:53:17.365Z,0
What the Saudi Aramco IPO could mean for the future of the oil industry,Saudi Arabian oil giant Aramco will sell shares publicly for the first time in December,2019-11-08T22:32:51.862Z,1
The market battle for climate supremacy heats up: Don Pittis,"While politicians may choose to ignore climate science, money managers cannot",2019-11-06T16:01:41.982Z,0
OpenText Corp. to buy cloud-focused Carbonite Inc. in billion dollar deal,The $1.42-billion US deal will be the ninth cloud-focused acquisition for the Canadian-based company,2019-11-11T17:33:30.316Z,1
The small change that meant big losses for lobstermen,Americans upped the minimum allowable size of lobster for import in 1989,2019-12-13T13:30:00.823Z,-1
"Canadian families will pay nearly $500 more in 2020 for food, report says","Canada's Food Price Report 2020 cites changing weather patterns, 'elephant in the room,' as big factor",2019-12-04T20:11:05.344Z,0
Canfor privatization deal called off after failing to win shareholder support,Jim Pattison Group's $16-per-share offer had just 45% support from lumber producer's minority shareholders,2019-12-17T19:04:03.828Z,-1
Brand new TCHC residence opens in Regent Park just in time for the holidays,"Tenants will begin moving in this week, mayor says",2019-12-15T22:18:36.386Z,0
U.S. stocks reach new highs after rumours of 50% cut on Chinese tariffs,President Donald Trump says U.S. is 'very close' to nailing down trade deal with China,2019-12-12T20:50:15.943Z,1
