title,description,date,Sentiment
"Feds announce $275M for 'largest private sector investment in Canadian history' — Kitimat, B.C.'s LNG project",Cash earmarked for energy-efficient gas turbines needed for the $40B project and a new bridge in Kitimat,2019-06-24T23:35:01.956Z,1
"Freezing rental assistance while slashing PST misguided, Manitoba anti-poverty group says",Some single adults getting an additional $27 a month while freeze leaves others behind: Make Poverty History,2019-06-05T21:04:48.621Z,0
"Canada's economy shakes off doldrums, expands 0.3% in April",Pickup in oil and gas extraction in wake of Alberta production cuts helps boost GDP ,2019-06-28T14:19:31.855Z,0
Convicted murderer and accomplice of notorious serial killer Allan Legere dead at 52,"Scott Michael Curtis was serving life sentence for murder when he died of 'apparent natural causes,' says CSC",2019-06-18T01:01:16.336Z,0
Number of Albertans on EI declines as those accessing social assistance increases,"Close to 60,000 people are on social assistance in the province",2019-07-18T20:10:36.851Z,-1
Unifor wants urgent meeting to discuss pending layoffs at Bombardier Thunder Bay plant,"All parties involved should immediately come to the table to discuss solutions, Jerry Dias says",2019-07-11T14:52:58.788Z,-1
Plastic production could create jobs as mills shut down in B.C. Interior,"West Coast Olefins says proposed facility will create up to 1,000 permanent jobs",2019-07-29T01:30:38.690Z,1
Legally blind woman worried she'll lose benefits over father's will,"Tanya Smith turned down inheritance to avoid benefits problems, but government lost the paperwork",2019-07-17T09:00:00.356Z,0
Hundreds of hospital beds shut down across Quebec as staff go on vacation,"Health authorities say it's difficult to replace staff during the summer months, but activities are reduced",2019-07-09T11:10:58.100Z,0
Ontario wins big in ranking of best place to live in Canada,"The best weather? Summerland, BC. The best place to retire is...Toronto",2019-08-12T19:18:25.748Z,0
Unemployment rate jumps to 5.7% in July as more people look for fewer jobs,"Canada's economy lost 24,000 jobs last month",2019-08-09T15:12:26.004Z,-1
Whale Tail mine expansion undergoes public hearings this week in Baker Lake,Open pit mine began commercial production this summer,2019-08-27T09:00:00.589Z,0
Awet Mehari granted bail pending appeal hearing for sexual assault conviction,Survivor says she's frustrated by bail decision ,2019-08-13T09:00:00.250Z,0
Ontario prison farms making a comeback,Federal program shuttered in 2010,2019-08-15T16:02:38.793Z,0
City adding more voices to the group advising it on LGBTQ issues,"The committee doesn't have enough youth on it, vice chair says, or enough people of colour",2019-09-05T19:49:02.603Z,0
"2-week turnaround tough bid for outside cod buyers, says Gerry Byrne",FFAW's Keith Sullivan says more communication needed from processors,2019-09-13T15:31:00.963Z,0
Army reserves looking for recruits at P.E.I. open house,"'We're always in need of new people as people leave, people retire, people transfer'",2019-09-28T16:58:09.423Z,1
Windsor PSW charged with alleged theft from client,"Monica Rankin has been charged with theft under $5,000",2019-09-11T17:22:07.019Z,0
"NDP leader lands in New Brunswick, says he's sorry for not visiting sooner","Green Party Leader Elizabeth May also in N.B., says it's her third trip this year",2019-09-24T11:43:08.994Z,0
Hospital laundry workers ordered back to work,Walkout deemed illegal by New Brunswick Labour and Employment Board,2019-10-18T17:57:00.119Z,0
Investigation into harassment allegations against Concordia creative writing prof over,"Jon Paul Fiorentino no longer works at university, but school won't say if it's connected to findings",2019-10-16T10:00:19.480Z,0
Facebook CEO Mark Zuckerberg to appear before Congress on currency plan,Tech giant is under pressure from lawmakers over its massive market power and record of privacy breaches,2019-10-09T17:07:09.272Z,0
MLB conducting wider probe of Astros after assistant GM fired,Brandon Taubman directed inappropriate comments at female reporters following team's pennant-clinching win,2019-10-25T23:58:59.563Z,0
"Provincial budget cuts could take toll on Edmonton and public sector, critics say","'This will protect jobs now and in the future,' finance minister says",2019-10-25T12:00:00.098Z,-1
'Sophisticated' fraud scheme tripped by power bill error,Saint John police believe ID thieves from Montreal are part of criminal organization,2019-11-04T10:00:00.715Z,0
Labour leaders vow to fight bill on essential services in nursing homes,"Proposed amendments are a 'direct assault' on collective bargaining rights, they say",2019-11-28T18:30:41.961Z,0
Nova Scotia eyes ride sharing to ease rural transportation woes,Province plans to put $250K into ride-sharing projects in up to 3 rural areas,2019-11-19T10:00:00.144Z,1
Scammers spoofing more than a dozen federal government departments to defraud Canadians,It's a new version of a scam that has ripped off thousands of individuals,2019-11-06T19:46:28.834Z,0
Municipal investigator contradicts allegations in Norman Wells lawsuit,Management consultant says SAO being sued by the town was a dedicated employee,2019-11-27T12:00:00.351Z,0
"Retirement payments for city workers date back to at least 1964, city clerk says",It was previously thought the payments began in the 1980s,2019-12-14T02:50:24.516Z,0
Stella's Circle holds Light Up Hope ceremony for fifth year,'When they come to Stella's Circle... they experience hope',2019-12-04T00:31:20.735Z,0
Windsor's unemployment rate third highest in Canada,Canada's unemployment rate is 5.9 per cent,2019-12-06T14:13:16.536Z,-1
Employees shocked after Athlete Factory suddenly shuts its doors,'Dec. 15 we expected to get a paycheque and instead we got an email saying the company is shut down',2019-12-17T13:00:00.819Z,-1
New draft ethics guidelines for judges caution them about post-bench work,It will be up to law societies across Canada to give the new rules teeth,2019-12-15T22:00:00.274Z,0
