title,description,date,Sentiment
P.E.I. announces $4.7M to tackle potato surplus related to COVID-19 market conditions,'This will help to ensure no product is lost so that farmers are in good position for the 2020 growing season',2020-04-23T20:46:42.358Z,0
'So much uncertainty': New data highlights global economic pain from COVID-19,"France's economy shrank by 5.8%, the biggest quarterly drop since 1949, as Germany projects 6.3% GDP decline",2020-04-30T12:16:37.150Z,-1
"Canada Pension Plan board president says the retirement fund is safe, despite economic downturn","‘This is one thing they should take off their list to worry about,’ says Mark Machin",2020-04-06T13:44:00.561Z,0
"Wage reductions, more layoffs for City of Winnipeg workers part of worst-case COVID-19 scenarios",City comes up with action plans for 3 possible outcomes of coronavirus pandemic,2020-04-21T22:50:20.209Z,-1
"Federal deficit likely to be higher than $252 billion, parliamentary budget officer says",PBO says it's possible federal debt will hit $1 trillion because of pandemic relief spending,2020-05-13T17:44:54.995Z,-1
"May and Blanchet declare the oilpatch 'dead,' warn Ottawa against financial supports",Prime Minister Justin Trudeau has promised financial aid for Alberta's beleaguered oil and gas industry,2020-05-06T21:23:55.354Z,-1
Post-secondary schools face rough autumn if pandemic keeps foreign students away,"Already strained by COVID-19, institutions could be further challenged by lack of new students",2020-05-07T08:00:00.051Z,0
Why the Canadian economy seems divorced from traditional signals: Don Pittis,"With housing and oil off the boil, why hasn't the Canadian economy gone into free fall?",2019-05-31T08:00:00.133Z,0
Hamilton economy in 'extraordinary pain' but will see strong comeback next year: report,"Hamilton has lost roughly 8,500 jobs during the pandemic but all of them will likely return in 2021",2020-05-13T08:02:00.736Z,-1
Is Trudeau a 'tax-and-spend' Liberal? The numbers say no,"Painting the PM as fiscally feckless is a key Conservative argument - but on taxation, it doesn't stand up",2019-06-08T08:00:00.205Z,0
U.S. businesses beg Trump not to escalate tariffs on China,"Congress hears that tariffs on imports hurting family businesses, companies of all sizes",2019-06-17T18:05:14.806Z,0
Canada and California sign deal to cut vehicle emissions,Environment Minister Catherine McKenna announces memo of understanding,2019-06-26T19:53:00.968Z,0
Two more months of traffic pain until CN finishes rail bridge replacement,"Local councillor says while project is on schedule, police are ticketing for 'dumb driving behaviour'",2019-06-14T09:00:00.387Z,0
Jamaica's central bank using reggae to 'edutain' about nation's economic recovery,Music a natural way to teach Jamaicans about inflation and monetary policy,2019-06-18T18:58:12.385Z,0
Bombardier job cuts raise questions on impact of Buy America Act,Blaming U.S. legislation for causing 550 layoffs called 'a little bit convenient',2019-07-12T08:00:00.542Z,0
Mining boom to drive economic growth in territories beyond rest of Canada: report,"The Conference Board of Canada says outlook rosy for Nunavut and Yukon, but N.W.T. in for a bumpy ride",2019-07-12T17:10:58.771Z,1
Companies look to cash in on out-of-this-world profits in new space economy,Canadian firms among many investing billions in extraterrestrial ventures,2019-07-17T17:06:06.415Z,1
C.D. Howe report finds no winners in Canada-U.S.-Mexico free trade agreement,Report says agreement that replaced NAFTA will hit Mexico the hardest,2019-07-24T19:12:07.346Z,-1
Companies look to cash in on out-of-this-world profits in new space economy,Canadian firms among many investing billions in extraterrestrial ventures,2019-07-17T17:06:06.415Z,1
Why these artists rejected city life (and how they're making it big in their small town),"This beautiful residence for creatives in Picton, Ont. helps couple build ideal artists' life.",2019-08-09T21:35:12.641Z,0
Ambrose disagrees with Scheer's assertion that Trudeau caved to Trump on NAFTA,Former Tory interim-leader says Canada made sacrifices to secure gains in NAFTA negotiation,2019-08-28T00:42:33.946Z,0
"Alberta faces 'mild recession in 2019' due largely to pipeline uncertainty, Conference Board forecasts","Economic contraction of 0.8% 'not nearly as severe as the 2015-16 recession,' with recovery in 2020",2019-08-20T22:09:45.426Z,-1
"Alberta government focuses on high debt, not improved deficit, revenue numbers in Q1 update", Government says debt would have been $120B by 2024 under previous NDP plan,2019-08-27T20:43:03.282Z,-1
Hamilton hits $1B in building permits in just 8 months,"It's the fastest the city has ever hit $1B, according to officials",2019-08-20T22:01:12.617Z,0
"Canadian industry is 'addicted to fossil fuels,' but the Green Party can change that, says Elizabeth May","Goal isn't to come up with something politically palatable, it's to secure future: May",2019-09-27T16:13:36.717Z,0
Where are Thomas Cook travellers stranded? Here's how 17 countries are responding,"About 600,000 people affected around world by travel company's bankruptcy",2019-09-23T20:09:48.780Z,0
Trudeau's big — and underfunded — health care promises,Liberals' pledge to 'fix' gaps in health care system would cost billions more,2019-09-24T18:29:55.582Z,0
The candidates: Great Slave,"Patrick Scott, Katrina Nokleby face off for seat vacated by former minister Glen Abernethy",2019-09-17T04:00:00.878Z,0
The candidates for Regina‒Lewvan and where they stand on the issues,Candidates gathered for panel discussion Friday,2019-09-28T00:40:14.884Z,0
"OPINION | Yes, Alberta's budget raises taxes. Yes, it cuts AISH. No, it's not 'austerity.'",Trevor Tombe cuts through the spin and extracts the facts from 'the most consequential budget in years',2019-10-28T17:49:43.559Z,0
"Canada's economy grew 0.1% in August, Statistics Canada reports","Gross domestic product edged up slightly, but fell short of expectations",2019-10-31T14:03:38.406Z,1
All eyes on Canadian jobs numbers as election heads into 5th week: Don Pittis,"Still few signs of Canadian recession, but this week's data may tell us more",2019-10-08T16:40:39.065Z,0
Alberta looks to private sector and pipelines to deliver better times,Kenney government reveals 'ambitious' plan for economic growth ,2019-10-25T02:48:35.154Z,0
'Stroller brigades' across B.C. make plea for national child-care strategy,"All the major federal parties have committed to current levels of funding, but B.C. group wants more",2019-10-05T22:04:43.710Z,0
PBO forecasts slower growth and deeper federal deficits,PBO cites weaker exports because of trade disputes and protectionism,2019-11-14T20:12:05.143Z,-1
North American markets reach new record highs on stronger U.S. economic growth,"In New York, Dow Jones industrial average up 42.32 points to 28,164",2019-11-27T22:58:26.943Z,1
"Canadian economy cooled off in 3rd quarter, Statistics Canada says",Bank of Canada expected to hold line on interest rates next week,2019-11-29T18:07:29.512Z,-1
Lessons from the Great Crash of 1929 for investing in an ever-rising market: Don Pittis,"Having escaped an October crash, can we finally talk about irrational markets?",2019-11-11T09:00:00.843Z,0
"Carbon tax must hit $210 per tonne by 2030 to meet Paris targets, report concludes","The tax remains the most cost-effective tool for fighting climate change, says Ecofiscal Commission",2019-11-28T00:47:33.221Z,0
"Canada's economy 'sound and growing,' says Morneau as he unveils fiscal update","Update shows deficits for next 5 years, with no sign of a planned return to balance",2019-12-16T19:36:14.077Z,1
"Canada 'slightly delinquent' on defence spending, Trump says at NATO gathering","Trudeau met with Latvian President Egils Levits, Prince Charles earlier Tuesday",2019-12-04T00:40:30.122Z,0
"Quebec to hike hourly minimum wage by 60 cents, reaching $13.10 on May 1","CAQ government honours campaign promise to increase minimum wage over time, working toward $15 per hour",2019-12-18T22:23:38.431Z,0
"Canada's economy shrinks 0.1% in October, StatsCan reports",UAW strike weighted down manufacturing sector which declined for the 4th time in 5 months,2019-12-23T18:11:51.424Z,-1
"Vancouver needs 10,000 affordable housing units a year to address rental 'backlog,' report advises","There’s a mismatch between what’s being built and what renters need, says economist Mark Lee",2019-12-12T21:08:33.994Z,0
