title,description
"Trans Mountain received $320M in government subsidies in 2019, report finds",Losses of $10.9 million were subsidized by a Crown corporation's earnings,2019-11-20 01:23:55.050000+00:00
Trump barks at Fed but offers no fresh details on trade in speech,"Trump said the U.S. is close to signing a ""phase one"" trade deal with China",2019-11-12 18:28:14.375000+00:00
"U.S. reports on GDP, consumer spending remain positive",Improvement in economic data seemingly reduces the risks of a recession in the near term,2019-11-27 15:49:58.494000+00:00
This Canadian company shows a greener way to bottle water,Also: Interest in electric pickup trucks is picking up,2019-11-29 11:56:20.674000+00:00
'Sustainable' is a trendy word in the food industry — but farmers aren't getting enough credit for it,Saskatchewan has been a leader in sustainable farming practices,2019-11-29 11:00:00.792000+00:00
"Bank of Canada's Poloz says global growth to remain slow, low global interest rates",Central bank kept key interest rate on hold last week at 1.75 per cent,2019-12-12 19:15:28.072000+00:00
'Let there be light': Solar power means church no longer pays a power bill,"Woodlawn United Church in Darmouth, N.S., ends year with $131 credit, rather than $9K power bill ",2019-12-20 11:14:40.965000+00:00
Hamilton looks at an empty homes tax to ward off speculators and help local rents,"More than half of vacant Vancouver homes are back on the market, but can it work in Hamilton?",2019-12-09 21:27:17.236000+00:00
"For town looking to raise money, is a new credit program in the cards?",Gibbons administrator floats plan to have town issue credit cards and collect interest,2019-12-12 21:41:22.878000+00:00
Hamilton looks at an empty homes tax to ward off speculators and help local rents,"More than half of vacant Vancouver homes are back on the market, but can it work in Hamilton?",2019-12-09 21:27:17.236000+00:00
