title,description
<<<<<<< HEAD
Canada lost nearly 2 million jobs in April amid COVID-19 crisis: Statistics Canada,Statistics Canada says unemployment rate soared to 13% as full force of pandemic hit,5
"Deficit reduction will have to wait for the economic recovery, federal officials say","Federal aid programs could continue well into the recovery phase, says government official",5
City of Charlottetown wants short-term rentals defined as tourism accommodations,'We just want to make sure that they're properly regulated',5
Federal Reserve holds key interest rate steady — but its patience is wearing thin,U.S. central bank keeps benchmark rate in range between 2.25% and 2.5%,6
Powell hints Federal Reserve will cut rates if needed over trade wars,Expectations are rising that the Fed will cut rates at least once and possibly twice before year's end,6
Trade war darkens economic forecasts for Canada,"National Bank, Bank of America Merrill Lynch cut growth forecasts for 2019",6
Powell hints Federal Reserve will cut rates if needed over trade wars,Expectations are rising that the Fed will cut rates at least once and possibly twice before year's end,6
"Housing market rebounded in May from record lows earlier in the year, CREA says","Number of home sales inching higher, but prices still lower than they were in 2018",6
Calgary had a lot more shoplifting but a lot fewer homicides last year,City's crime severity index rose 5% in 2018 while provincial rating remains steady,7
"Canada's economy lost 2,200 jobs last month","Jobless rate ticks up to 5.5%, although past year has seen 421,000 jobs added",7
How Charlottetown has become one of the hottest housing markets in Canada,"New stock, new uses driving prices",7
U.S. central bank cuts interest rate for 1st time since 2008,"Move trims U.S. rate by quarter point to 2.25%, closer to Bank of Canada's",7
Houses in New Brunswick selling at unusually fast rate,Increase in home sales backed by record-setting month in May,7
"'Stop building' hotels in Calgary, industry urges, as supply of rooms outstrips demand","City has seen 2,600 new rooms added in the past 3 years, and 1,200 of those are less than a year old",8
"Home sales rise for 5th month in a row in July, prices up 4% in past year",Canada's housing market is showing signs of coming out of stress-test slumber ,8
Yellowknife's housing market slows as economic slump looms on the horizon: CMHC,CMHC's annual report on Northern housing shows mixed outlook across the 3 territories ,8
U.S. corporate leaders swing left to fix 'frayed' American dream: Don Pittis,But critics call 11th-hour conversion a smokescreen to block new rules and taxes,8
"Toronto area housing sales up 24.3% in July, prices rise due to tighter supply","Overall average selling price for properties in GTA was $806,755",8
How fast is your cost of living going up? Play our interactive game,Try your hand at guessing inflation rates in various categories,9
OPINION | NDP climate plan tries (and fails) to carve out middle ground,The plan is riddled with inconsistencies and short on details,9
A week of tax promises that are more about politics than policy,All parties say they want to simplify the tax system — but their platforms say something else,9
Island voters prepare to go back to the polls,"'People were not looking forward to this election, more like dreading this election'",9
When student housing was hard to come by in Vancouver,"In 1981, there wasn't much available for students and what was available was pretty expensive",9
Why 4 websites give you 4 different credit scores — and none is the number most lenders actually see,The most popular credit score that lenders use in Canada can’t be accessed directly by consumers,10
"How a leaner, regulated Nalcor could save millions and better protect consumers",Liberty Consulting is proposing a dramatic shakeup at embattled Crown corporation in the Muskrat era,10
Pro-democracy activist Joshua Wong barred from Hong Kong election,Wong has been repeatedly arrested and jailed since playing key role in 2014 protests,10
"1 in 5 homes in Canada bought by newcomers, Royal LePage survey says","People new to Canada contribute 'significantly' to real estate demand, CEO says",10
Bank of Canada flags Alberta economic challenges in latest update,Crown corporation anticipates province will stablilize next year,10
Saint John tax assessment not yet catching up to hot sales market,1.83% assessment growth actually improves on much of past 6 years,11
Winnipeg's 125-year-old Central Park has transformed from 'breathing centre' to diverse gem,New booklet showcases past and present of one of city's first green spaces,11
She fled domestic abuse. Now she and her daughter are victims of the housing crisis,"Shelters are full, wait lists are long and market rents are too high for most single mothers",11
"N.L. home construction at 50-year low, but sales on the rise following disastrous year","Real estate leaders hoping industry has bottomed out, and better days ahead",11
"Employment held steady in October, Statistics Canada says","Economy lost 1,800 jobs, a number low enough that unemployment rate is unchanged",11
New cabinet must make the best of an uncertain economic outlook: Don Pittis,"Market indicators turn optimistic on global economy but others say, 'Hold on'",12
Markets up as retailers rise with holiday shopping,"Amazon, other retailers had last-minute surge in online holiday shopping",12
"Crown, Keith Hobbs spar in day 13 of former mayor's extortion trial","Keith Hobbs, wife Marisa, Mary Voss all face one charge each of extortion",12
European Central Bank keeps rates low as new president takes helm,Decision follows a similar one by the U.S. Federal Reserve,12
"Bank of Canada's Poloz says global growth to remain slow, low global interest rates",Central bank kept key interest rate on hold last week at 1.75 per cent,12
>>>>>>> c36f2cb1224ea8413fcc4263cc71ba1926aeb745
