,description,publishedAt,source,title,title_desc_sent_1
58,"Jon Paul Fiorentino no longer works at university, but school won't say if it's connected to findings",2019-10-16,CBC,Investigation into harassment allegations against Concordia creative writing prof over,0
59,Tech giant is under pressure from lawmakers over its massive market power and record of privacy breaches,2019-10-09,CBC,Facebook CEO Mark Zuckerberg to appear before Congress on currency plan,0
60,"Purchases will made up of Treasury bills, stresses buying should not be seen as return of crisis-era quantitative easing programs",2019-10-08,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Jerome Powell says Fed to resume portfolio growth  — but it's not QE,0
61,"The strike has chopped US$400 million in direct wages out of the U.S. economy, with half of that loss coming in Michigan",2019-10-07,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","GM strike ripples across the economy, raising new recession fears",-1
62,Warning signs mounted today with wave of data showing slumping manufacturing,2019-10-01,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Trade conflicts are hitting the global economy with an impact reminiscent of the 1930s,-1
63,"We're always in need of new people as people leave, people retire, people transfer'",2019-09-28,CBC,Army reserves looking for recruits at P.E.I. open house,1
64,Dread over prospect plug-in cars — which have fewer parts and require less labour to build — will doom auto jobs helped spark GM strike,2019-09-27,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",'They don't need us anymore': Auto workers are deathly afraid electric cars will eliminate their jobs,-1
65,"Green Party Leader Elizabeth May also in N.B., says it's her third trip this year",2019-09-24,CBC,"NDP leader lands in New Brunswick, says he's sorry for not visiting sooner",0
66,"Also promises to raise basic personal income tax deduction, saving average family $585 a year",2019-09-23,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Trudeau pledges to cut Canadians’ cellphone bills by 25% within four years,0
67,FFAW's Keith Sullivan says more communication needed from processors,2019-09-13,CBC,"2-week turnaround tough bid for outside cod buyers, says Gerry Byrne",0
68,"Monica Rankin has been charged with theft under $5,000",2019-09-11,CBC,Windsor PSW charged with alleged theft from client,0
69,"The committee doesn't have enough youth on it, vice chair says, or enough people of colour",2019-09-05,CBC,City adding more voices to the group advising it on LGBTQ issues,0
70,"In the past 10 years, the TSX has dropped an average 1.5% in September",2019-09-03,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","If you thought August was bad, get ready for the worst month for Canadian stocks",0
71,The deal gives HBC a way to divest operations of the struggling chain while holding onto the more valuable asset — the real estate,2019-08-28,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Hudson's Bay selling Lord & Taylor for $100 million to Le Tote,0
72,Open pit mine began commercial production this summer,2019-08-27,CBC,Whale Tail mine expansion undergoes public hearings this week in Baker Lake,0
73,"The drumbeat of exits, rare for such a stable oil-producing country, adds an extra layer of gloom for an industry that accounts for about a fifth of Canada's exports",2019-08-22,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",The $30-billion exodus: Foreign oil firms keep bailing on Canada's energy sector,-1
74,"A slowing economy and growing trade tensions suggest a cut will happen more quickly than currently accounted for, Macquarie economist says",2019-08-20,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",A Bank of Canada rate cut is looking more likely and the first could come as early as September,-1
75,Federal program shuttered in 2010,2019-08-15,CBC,Ontario prison farms making a comeback,0
76,Survivor says she's frustrated by bail decision,2019-08-13,CBC,Awet Mehari granted bail pending appeal hearing for sexual assault conviction,0
77,"The best weather? Summerland, BC. The best place to retire is...Toronto",2019-08-12,CBC,Ontario wins big in ranking of best place to live in Canada,0
78,"Canada's economy lost 24,000 jobs last month",2019-08-09,CBC,Unemployment rate jumps to 5.7% in July as more people look for fewer jobs,-1
79,Unclear what signal will emerge about the scope for further easing,2019-07-31,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Fed looks locked in for quarter-point cut, but there may be drama",0
80,"West Coast Olefins says proposed facility will create up to 1,000 permanent jobs",2019-07-29,CBC,Plastic production could create jobs as mills shut down in B.C. Interior,1
81,"Close to 60,000 people are on social assistance in the province",2019-07-18,CBC,Number of Albertans on EI declines as those accessing social assistance increases,-1
82,"Tanya Smith turned down inheritance to avoid benefits problems, but government lost the paperwork",2019-07-17,CBC,Legally blind woman worried she'll lose benefits over father's will,0
83,"All parties involved should immediately come to the table to discuss solutions, Jerry Dias says",2019-07-11,CBC,Unifor wants urgent meeting to discuss pending layoffs at Bombardier Thunder Bay plant,-1
84,"Health authorities say it's difficult to replace staff during the summer months, but activities are reduced",2019-07-09,CBC,Hundreds of hospital beds shut down across Quebec as staff go on vacation,0
85,"Her views on central-banking issues fall in line with the ECB's — that is, with at least one exception",2019-07-03,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","The world of monetary policy, according to Christine Lagarde",0
86,Lagarde becomes the first woman to run euro-area monetary policy,2019-07-02,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens,-1
87,Pickup in oil and gas extraction in wake of Alberta production cuts helps boost GDP,2019-06-28,CBC,"Canada's economy shakes off doldrums, expands 0.3% in April",1
88,"The loss of the refinery will likely increase the region's dependence on supplies from Canada, Europe and the Gulf Coast",2019-06-26,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Biggest refinery on U.S. East Coast set to close after huge explosion, driving up fuel prices",0
89,Cash earmarked for energy-efficient gas turbines needed for the $40B project and a new bridge in Kitimat,2019-06-24,CBC,"Feds announce $275M for 'largest private sector investment in Canadian history' ‚Äö√Ñ√Æ Kitimat, B.C.'s LNG project",1
90,"Scott Michael Curtis was serving life sentence for murder when he died of 'apparent natural causes,' says CSC",2019-06-18,CBC,Convicted murderer and accomplice of notorious serial killer Allan Legere dead at 52,0
91,"Parity between Indigenous, non-Indigenous Canadians won't be reached by 2022 at current pace: NIEDB",2019-06-12,CBC,"Economic outcomes improving for Indigenous people ‚Äö√Ñ√Æ but not fast enough, report says",0
92,Finance Minister Vic Fedeli says Ontario is finding investor interest for an eventual deal in Europe,2019-06-11,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",'Sea of tranquility': Ontario pitches its debt as a haven to European investors amid Brexit,0
93,Data another sign Canada is on the path back to growth,2019-06-07,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Job surge helps push Canada’s unemployment rate to lowest in over 40 years,1
94,Some single adults getting an additional $27 a month while freeze leaves others behind: Make Poverty History,2019-06-05,CBC,"Freezing rental assistance while slashing PST misguided, Manitoba anti-poverty group says",0
95,Move comes after some federal departments microtargeted Facebook job ads,2019-05-30,CBC,Hiring watchdog to step up monitoring of government job ads,0
96,Some see the loonie falling below 74 cents after the central bank’s rate decision this week,2019-05-27,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Markets are more gloomy about our economy than the Bank of Canada — who’s right?,0
97,"Developers are having a harder time securing their projects, senior economist says, which will bruise employment and consumption",2019-05-14,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","The Bank of Canada is underestimating the housing slump, Capital Economics warns",-1
98,"Central bankers, who've been slammed by Trump for not doing more to support the economy, noted livelier growth while acknowledging weak inflation",2019-05-01,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Federal Reserve holds interest rate again, reiterates patience on future path",1
99,"UBS Group AG is telling executives in its large wealth management business to be more selective when hiring bankers as it seeks to cut costs following a challenging first quarter, according to people familiar with the matter.",2019-04-30,Bloomberg News,UBS said to tell some managers to only hire when five leave,-1
100,"Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market.",2019-04-25,Bloomberg News,"U.S. jobless claims rise most since 2017, topping estimates",-1
101,Economists had expected a gain,2019-04-05,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canada loses 7,200 jobs, its first employment drop in seven months",-1
102,Aren’t we supposed to be in a slowdown?,2019-03-08,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",What gives? Canada’s job market off to its best start in almost 40 years,1
103,Realtors warn of ‘hit to the economy’ in the billions of dollars if declines continue,2019-03-05,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Toronto Real Estate Board calls for looser mortgage rules as monthly sales drop most in a year,0
104,"Six miles from Apple's dazzling new Cupertino campus is an unidentified, non-descript building that could mirror how some workers are treated",2019-02-12,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Behind the scenes: What it’s like to work inside Apple’s ‘black site’,0
105,A sign of strength in an economy facing several other headwinds,2019-02-08,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canada unexpectedly gains almost 67,000 jobs as private-sector hiring hits record",1
106,"'Right now, we are continuing to forecast growth this year and for the forecastable future,' Finance Minister says in Davos",2019-01-25,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canadian expansion on track despite oil, trade headwinds: Morneau",1
107,Luxury-home markets across the biggest cities tumbled last year. Here's what Sotheby's expects in 2019,2019-01-09,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",The winners and losers of Canada's luxury housing market in 2019,0
108,"U.S. stocks fell back toward their session lows after Trump's outburst, with the S&P 500 Index on track to close at a 19-month low",2018-12-24,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Trump renews attacks on Federal Reserve, calls it the U.S. economy's 'only problem'",0
109,"U.S. stocks erased most of their gains after the decision, which struck a slightly less dovish tone than some investors had anticipated",2018-12-19,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Fed raises interest rates, turns more cautious on outlook for 2019 hikes",0
110,"Wall Street risks becoming more of a boy's club, rather than less of one",2018-12-03,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Men on Wall Street are so spooked by the #MeToo movement they're avoiding women at all costs,0
111,"Opinion: The group is unable to deliver sustainable reductions alone, and geopolitical forces may see other players unwilling to pitch in",2018-11-29,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Even if OPEC decides to cut, oil prices could still fall in 2019",-1
112,Affordable housing is almost impossible to find as tighter mortgage rules and a surge in immigrants has created an all-out war for rentals,2018-11-26,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",'We're at a crisis and we don't even realize it': The dark side of Toronto's housing boom,0
113,"Switzerland once again clinched the top spot in a global survey on fostering and attracting talent, in a top 10 list that includes Canada but not the U.S., and no Asian nations.",2018-11-19,Bloomberg News,Canada 6th in the world at attracting talent,1
114,"Want to join the payroll of a bankrupt retailer this holiday season? Well, has Sears Holdings Corp. got a job for you.",2018-10-15,Bloomberg News,Sears posts job openings with bankruptcy filing ink still wet,1
115,"The toll of one of the largest U.S. retail failures is evident in July employment statistics, which were held back by the collapse of Toys “R” Us.",2018-08-03,Bloomberg News,Toys ‘R’ Us job carnage drags on July U.S. payroll figures,-1
116,"The number of people receiving jobless benefits fell to a record low in February, another reflection of diminishing labor market slack as the Bank of Canada weighs when to raise interest rates again.",2018-04-19,Bloomberg News,Number of Canadians receiving EI benefits hits record low,1
