,Unnamed: 0,source,title_desc,publishedAt,title_desc_sent_1
113,113,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Dow plunges almost 800 points over flattening yield curve, lost confidence on U.S.-China trade deal. Observers calling out Trump over whether trade talks had created any meaningful breakthrough",2018-12-04,-1
17,17,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","IMF ready to mobilize $1 trillion in loans to help countries counter coronavirus outbreak. 'As the virus spreads, the case for a coordinated and synchronized global fiscal stimulus is becoming stronger by the hour'",2020-03-16,-1
49,49,CBC,"U.S. reports on GDP, consumer spending remain positive. Improvement in economic data seemingly reduces the risks of a recession in the near term",2019-11-27,1
33,33,Bloomberg News,Stephen Poloz enters home stretch hawkish on rates. Stephen Poloz is heading into the final few months of his term as Bank of Canada governor showing few signs of giving up his status as one of the industrialized world’s most hawkish central bankers.,2020-01-21,-1
78,78,CBC,"Up or down? Currency watchers split on which way the dollar is headed. Canada's economy is doing fine, but central banks headed in different directions likely to be driver of dollar",2019-07-31,0
42,42,CBC,"Bank of Canada's Poloz says global growth to remain slow, low global interest rates. Central bank kept key interest rate on hold last week at 1.75 per cent",2019-12-12,-1
13,13,CBC,"Canada's airline, tourism sectors facing 'catastrophic' decline due to COVID-19 pandemic. Airline lobby group warns that, without aid, companies will fold and thousands more will be laid off",2020-04-01,-1
100,100,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",IMF cuts global outlook to lowest since the financial crisis. It's the third time the IMF has downgraded its outlook in six months,2019-04-09,-1
22,22,BNN Bloomberg,Ex-Fed official urges coordinated rate cuts as virus spreads. Former U.S. Federal Reserve governor ​Kevin Warsh is making the case for the U.S. central bank to lead coordinated interest rate cuts in order to support the global economy amid the rapid spread of coronavirus.,2020-02-27,-1
61,61,CBC,"Rents have just gone sky high': Cardigan candidates, voters weigh in on housing crisis. It's nothing that a senior can really afford'",2019-10-02,1
52,52,Bloomberg News,"Fed warns prolonged low interest rates could spark instability. Continuing low interest rates could dent U.S. bank profits and push bankers into riskier behavior that might threaten the nation’s financial stability, the Federal Reserve said in a report released Friday.",2019-11-15,0
87,87,CBC,"Business sentiment improves after downturn early in year. Global trade tensions, weakness in oilpatch still hang over Canadian outlook",2019-06-28,1
