source,title_desc,publishedAt
CBC,TSX and Dow close near record highs as Trump pushes business-friendly agenda. TSX and Dow both within striking distance of all-time highs,2017-01-24
CBC,"TSX, New York make gains on first trading day of 2017. Gold stocks were the leading advancer on the S&P/TSX composite index ",2017-01-03
CBC,A new way to bet on legal marijuana hits the TSX. Horizons Medical Marijuana Life Sciences ETF focuses on producers and drug companies,2017-04-05
CBC,"S&P/TSX composite index gains over 150 points, North American markets rise. Loonie was relatively flat ahead of Wednesday's Bank of Canada interest rate decision",2016-10-18
CBC,"TSX, Dow tumble on global growth worries. Markets tumble around the world as worries about weakness in China intensify",2015-08-20
CBC,"Canadian dollar falls 16%, TSX down 11% in bleak 2015. Falling oil prices and stalled economy make 2015 a year to forget",2015-12-31
CBC,TSX sinks to lowest level in 4 years. U.S. markets plunge to five-year low,2008-11-19
CBC,"Canadian dollar rebounds, but TSX falls on yuan devaluation. China's move to devalue currency by further 1.6% causes global market turmoil",2015-08-13
CBC,Sleep Country Canada rejoins TSX on Thursday after $300M IPO. Shares will trade publicly after IPO pricing them at $17 each,2015-07-16
CBC,"Oil closes below $28 US a barrel, dragging TSX down 253 points. Canadian dollar manages to stay in positive territory",2016-02-09
CBC,"TSX, Dow rise at close of worst quarter since 2011. Stock markets are at a two-year low and investors are looking for bargains",2015-09-30
CBC,"Oil slides below $48, dragging TSX down another 145 points. Crude price now down more than 55% from recent highs",2015-01-06
CBC,"TSX down 10% since September, an official correction. Mining and energy companies take a hit",2014-10-14
CBC,TSX and Dow plunge again on fears of China-led slowdown. Dow in correction territory as investors hit 'sell' button,2015-08-22
CBC,"TSX closes in bear market territory amid plunging oil, stock prices. Benchmark Toronto index closes more than 20% below September 2014 peak",2016-01-08
CBC,"TSX, Dow head lower after Shanghai stock exchange dives 8%. Chinese stocks have biggest 1-day drop since 2007 despite Beijing's intervention in market",2015-07-27
CBC,"TSX rises as gold sector gets a boost from bargain-hunters. S&P nears record, Dow edges higher in quiet day of trading",2014-11-11
CBC,"Medical marijuana producer could soon be on TSX. Tweed Inc. of Smiths Falls, Ont.,  awaits Health Canada approval to produce medical marijuana",2014-01-08
CBC,TSX closes down 360 points as oil trades below $50 a barrel. Canadian dollar trades below 85-cent mark,2015-01-06
CBC,TSX down 329 points as oil slumps to new multiyear lows. Morgan Stanley predicts oil prices could drop to $43 US a barrel next year,2014-12-09
CBC,"TSX will beat U.S. stock markets this year, CIBC says. Earnings growth predicted to be almost twice as good than that of S&P, Dow",2014-01-14
CBC,TSX falls 373 points as commodities sell off again. Canadian dollar loses almost half a cent to close at 74.66 cents US.,2015-09-28
CBC,TSX loses another 8% as Canadian oil price falls to lowest level on record. Canadian dollar dips below 70 cents US,2020-03-18
CBC,Stock markets finish rough week with another dive into the red. TSX loses 3% as global stock sell-off continues for 6th day,2020-02-28
CBC,Stock markets finish rough week with another dive into the red. TSX loses 3% as global stock sell-off continues for 6th day,2020-02-28
CBC,"Skittish over coronavirus, stock markets end fearful week with more losses. Dow sheds 600 points, TSX down close to 1 per cent",2020-01-31
CBC,Battered stock markets post best day in years as governments fight coronavirus with cash. Is that light at the end of the tunnel? TSX and Dow rise more than 9%,2020-03-24
CBC,"TSX and Dow sell off sharply as global recession fears bubble up again. Dow loses almost 500 points, TSX down by 136.69",2019-10-02
CBC,"Canada's main stock index posts biggest gains in 3 years. TSX got a boost from higher oil price, Bank of Canada's latest rate announcement",2019-01-10
CBC,"Stock markets close higher as investors shake off coronavirus fears — for now. TSX and Dow start strong, sell off through the morning, rally again in the afternoon",2020-03-10
CBC,Why the Canadian stock market is performing so poorly compared to the U.S. market. TSX didn't benefit from the Trump bump and overseas investors don't see much opportunity here,2018-02-09
CBC,Stock markets slide as coronavirus fears spread. Worst day for TSX since October as travel and tourism sectors hit hard,2020-01-27
CBC,"TSX, Dow sharply higher Friday. Traders seek bargains among stocks beaten lower by weeks of volatility",2014-10-17
CBC,"Oil prices rebound, boosting Canadian dollar, TSX. WTI contract up 4%, overtaking Brent as U.S. crude stocks fall",2015-12-23
CBC,Ontario to sell more Hydro One shares on TSX Wednesday. The province hopes to raise $1.71B,2016-04-05
CBC,"TSX rises, Canadian dollar falls ahead of budget. Oil prices spike above $40 US a barrel as crude stockpiles drop",2016-03-21
CBC,Valeant passes RBC to become most valuable company on TSX. Quebec pharmaceutical company beats quarterly-earning expectations,2015-07-24
CBC,Stock markets swoon as reality of rising rates sets in. TSX moves lower for fourth day in a row,2018-10-10
CBC,TSX looks at delisting MagIndustries over 'black money' payments. Toronto-based mining company confirms internal probe uncovered payments to officials in Congo,2015-06-17
CBC,"TSX lower as oil retreats from 2016 high above $38 a barrel. After 8 days of gains, TSX falls along with loonie",2016-03-08
CBC,"Medical marijuana company Tweed Inc. to seek TSX listing. Smith Falls, Ont.-based Tweed Inc. won federal licence to grow weed",2014-01-29
CBC,Energy shares recover after earlier losses from Trans Mountain ruling to close down 0.3%. Energy shares were among the biggest losers on the S&P/TSX composite index after the decision,2018-08-30
CBC,"TSX, loonie sink as IEA data suggests oil glut will last through 2017. Loonie drops to below 74 cents, lowest level since February",2016-11-11
CBC,"Dow Jones industrials breach 24,000 for first time. On Bay Street, the S&P/TSX composite index gained 99.76 points to 16,067.48",2017-11-30
CBC,"Loonie loses more than a penny, TSX sheds 239 points after Britons vote to quit EU. Gold rallies to highest level in 2 years after Britain votes to leave European Union",2016-06-25
CBC,Hydro One shares on sale in biggest TSX IPO since 2000. Wynne government hopes to raise more than $1.6B from Hydro One shares,2015-11-05
CBC,Why Canadian stocks are doing so well when the economic data has been so poor. 'There is no alternative': Analysts cite low interest rates as one reason why the TSX is thriving,2016-08-09
CBC,"TSX volatility sparks investor fears, but financial experts preach staying in it for the long haul. Slumping stock markets can cause a panic, but experts advocate ignoring the noise",2016-01-21
CBC,"North American stocks slide lower, loonie down against U.S. dollar. S&P/TSX composite index closes at 6-month low",2018-10-11
CBC,Canadian dollar sinks to 73.6 cents US as TSX hits 2-year low. Oil trades below $37 US a barrel in early morning and is at levels not seen since 2009,2015-12-08
CBC,"North American stocks slide lower, loonie down against U.S. dollar. S&P/TSX composite index closes at 6-month low",2018-10-11
CBC,"Stock markets shoot higher ahead of U.S. voting day. S&P 500 shakes off 9-day losing streak, TSX adds 143 points",2016-11-08
CBC,"TSX launches 3 climate change indexes to track environmental footprint. Indexes created Thursday aren't investment vehicles themselves, but will likely be tracked by others",2015-10-30
CBC,TSX close: Stocks up 156 points as traders hunt for bargains. Canadian dollar moves higher after oil free fall halts,2014-12-17
CBC,"TSX tumbles 284 points as investors bail out of banks, energy. Falling oil prices and disappointing bank earnings hurt Toronto market's biggest sectors",2014-12-04
CBC,"TSX tumbles 284 points as investors bail out of banks, energy. Falling oil prices and disappointing bank earnings hurt Toronto market's biggest sectors",2014-12-04
CBC,North American markets end best year since 2013 thanks to big gains in tech stocks. The Toronto Stock Exchange's S&P/TSX composite index was up 19% on the year,2020-01-02
CBC,North American markets end best year since 2013 thanks to big gains in tech stocks. The Toronto Stock Exchange's S&P/TSX composite index was up 19% on the year,2020-01-02
CBC,"Canadian dollar gains a penny to 70 cents US as oil rebounds above $29 US. TSX rises above 12,000 as beaten-down energy stocks rebound",2016-01-21
CBC,Oil price collapse means lower gas prices for motorists. TSX and dollar down as global energy prices plunge,2014-11-28
CBC,Oil price collapse means lower gas prices for motorists. TSX and dollar down as global energy prices plunge,2014-11-28
CBC,Canadian dollar plunges to 5-year low as oil dips below $60. TSX bounces up from Thursday's steep drop,2014-12-11
CBC,"Oil slips below $27 amid stock market turmoil. TSX, Dow recover from steep lows as oil price continues to fall",2016-01-20
CBC,"Oil slips below $27 amid stock market turmoil. TSX, Dow recover from steep lows as oil price continues to fall",2016-01-20
CBC,"Stock market rally fizzles as oil turns negative again. TSX, Dow and S&P 500 all up by about three per cent early but gave up gains",2020-04-07
CBC,"Canadian dollar above 75 cents US after news on jobs, exports. TSX rises in 7th day of gains, oil price climbs above $36 US",2016-03-04
CBC,"Canadian dollar above 75 cents US after news on jobs, exports. TSX rises in 7th day of gains, oil price climbs above $36 US",2016-03-04
CBC,Fred Ketchen looks back on 57 years on Bay Street. Veteran trader and former chair of TSX ready to retire at 77,2014-04-16
CBC,"Stock market rally fizzles as oil turns negative again. TSX, Dow and S&P 500 all up by about three per cent early but gave up gains",2020-04-07
CBC,"Stock markets slide over VW scandal, commodity price swoon. TSX down 288, Dow loses 179, following lead of European stocks",2015-09-22
CBC,"Gold soars, markets slump on growth worries. TSX has 6th straight loss",2011-08-03
CBC,"Gold soars, markets slump on growth worries. TSX has 6th straight loss",2011-08-03
CBC,"Loonie shoots higher as oil rises, economy posts strong growth. S&P/TSX composite index lost 62.71 points to 15,128.65",2017-07-28
