REF_DATE,GEO,DGUID,Labour force characteristics,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019-07,Canada,2016A000011124,Employment rate,Both sexes,25 years and over,Percentage,242,units,0,v2091221,1.10.1.3,62.3,,,,1
2019-08,Canada,2016A000011124,Employment rate,Both sexes,25 years and over,Percentage,242,units,0,v2091221,1.10.1.3,62.4,,,,1
2019-09,Canada,2016A000011124,Employment rate,Both sexes,25 years and over,Percentage,242,units,0,v2091221,1.10.1.3,63.5,,,,1
2019-10,Canada,2016A000011124,Employment rate,Both sexes,25 years and over,Percentage,242,units,0,v2091221,1.10.1.3,63.3,,,,1
2019-11,Canada,2016A000011124,Employment rate,Both sexes,25 years and over,Percentage,242,units,0,v2091221,1.10.1.3,62.8,,,,1
2019-12,Canada,2016A000011124,Employment rate,Both sexes,25 years and over,Percentage,242,units,0,v2091221,1.10.1.3,62.7,,,,1
2020-01,Canada,2016A000011124,Employment rate,Both sexes,25 years and over,Percentage,242,units,0,v2091221,1.10.1.3,62.0,,,,1
2020-02,Canada,2016A000011124,Employment rate,Both sexes,25 years and over,Percentage,242,units,0,v2091221,1.10.1.3,62.0,,,,1
2020-03,Canada,2016A000011124,Employment rate,Both sexes,25 years and over,Percentage,242,units,0,v2091221,1.10.1.3,59.4,,,,1
2020-04,Canada,2016A000011124,Employment rate,Both sexes,25 years and over,Percentage,242,units,0,v2091221,1.10.1.3,54.1,,,,1
2019-01,Canada,2016A000011124,Employment rate,Both sexes,25 to 44 years,Percentage,242,units,0,v2091222,1.10.1.4,82.5,,,,1
2019-02,Canada,2016A000011124,Employment rate,Both sexes,25 to 44 years,Percentage,242,units,0,v2091222,1.10.1.4,82.7,,,,1
2019-03,Canada,2016A000011124,Employment rate,Both sexes,25 to 44 years,Percentage,242,units,0,v2091222,1.10.1.4,82.2,,,,1
2019-04,Canada,2016A000011124,Employment rate,Both sexes,25 to 44 years,Percentage,242,units,0,v2091222,1.10.1.4,82.8,,,,1
2019-05,Canada,2016A000011124,Employment rate,Both sexes,25 to 44 years,Percentage,242,units,0,v2091222,1.10.1.4,83.6,,,,1
2019-06,Canada,2016A000011124,Employment rate,Both sexes,25 to 44 years,Percentage,242,units,0,v2091222,1.10.1.4,83.7,,,,1
2019-07,Canada,2016A000011124,Employment rate,Both sexes,25 to 44 years,Percentage,242,units,0,v2091222,1.10.1.4,82.4,,,,1
2019-08,Canada,2016A000011124,Employment rate,Both sexes,25 to 44 years,Percentage,242,units,0,v2091222,1.10.1.4,82.4,,,,1
2019-09,Canada,2016A000011124,Employment rate,Both sexes,25 to 44 years,Percentage,242,units,0,v2091222,1.10.1.4,83.7,,,,1
2019-10,Canada,2016A000011124,Employment rate,Both sexes,25 to 44 years,Percentage,242,units,0,v2091222,1.10.1.4,83.7,,,,1
2019-11,Canada,2016A000011124,Employment rate,Both sexes,25 to 44 years,Percentage,242,units,0,v2091222,1.10.1.4,83.3,,,,1
2019-12,Canada,2016A000011124,Employment rate,Both sexes,25 to 44 years,Percentage,242,units,0,v2091222,1.10.1.4,83.3,,,,1
2020-01,Canada,2016A000011124,Employment rate,Both sexes,25 to 44 years,Percentage,242,units,0,v2091222,1.10.1.4,82.4,,,,1
2020-02,Canada,2016A000011124,Employment rate,Both sexes,25 to 44 years,Percentage,242,units,0,v2091222,1.10.1.4,82.4,,,,1
2020-03,Canada,2016A000011124,Employment rate,Both sexes,25 to 44 years,Percentage,242,units,0,v2091222,1.10.1.4,79.1,,,,1
2020-04,Canada,2016A000011124,Employment rate,Both sexes,25 to 44 years,Percentage,242,units,0,v2091222,1.10.1.4,71.3,,,,1
2019-01,Canada,2016A000011124,Employment rate,Both sexes,45 to 64 years,Percentage,242,units,0,v19650609,1.10.1.22,71.9,,,,1
2019-02,Canada,2016A000011124,Employment rate,Both sexes,45 to 64 years,Percentage,242,units,0,v19650609,1.10.1.22,72.1,,,,1
2019-03,Canada,2016A000011124,Employment rate,Both sexes,45 to 64 years,Percentage,242,units,0,v19650609,1.10.1.22,72.2,,,,1
2019-04,Canada,2016A000011124,Employment rate,Both sexes,45 to 64 years,Percentage,242,units,0,v19650609,1.10.1.22,72.8,,,,1
2019-05,Canada,2016A000011124,Employment rate,Both sexes,45 to 64 years,Percentage,242,units,0,v19650609,1.10.1.22,73.8,,,,1
2019-06,Canada,2016A000011124,Employment rate,Both sexes,45 to 64 years,Percentage,242,units,0,v19650609,1.10.1.22,74.1,,,,1
2019-07,Canada,2016A000011124,Employment rate,Both sexes,45 to 64 years,Percentage,242,units,0,v19650609,1.10.1.22,73.1,,,,1
2019-08,Canada,2016A000011124,Employment rate,Both sexes,45 to 64 years,Percentage,242,units,0,v19650609,1.10.1.22,73.0,,,,1
2019-09,Canada,2016A000011124,Employment rate,Both sexes,45 to 64 years,Percentage,242,units,0,v19650609,1.10.1.22,74.6,,,,1
2019-10,Canada,2016A000011124,Employment rate,Both sexes,45 to 64 years,Percentage,242,units,0,v19650609,1.10.1.22,73.9,,,,1
2019-11,Canada,2016A000011124,Employment rate,Both sexes,45 to 64 years,Percentage,242,units,0,v19650609,1.10.1.22,73.4,,,,1
2019-12,Canada,2016A000011124,Employment rate,Both sexes,45 to 64 years,Percentage,242,units,0,v19650609,1.10.1.22,73.0,,,,1
2020-01,Canada,2016A000011124,Employment rate,Both sexes,45 to 64 years,Percentage,242,units,0,v19650609,1.10.1.22,72.3,,,,1
2020-02,Canada,2016A000011124,Employment rate,Both sexes,45 to 64 years,Percentage,242,units,0,v19650609,1.10.1.22,72.5,,,,1
2020-03,Canada,2016A000011124,Employment rate,Both sexes,45 to 64 years,Percentage,242,units,0,v19650609,1.10.1.22,69.7,,,,1
2020-04,Canada,2016A000011124,Employment rate,Both sexes,45 to 64 years,Percentage,242,units,0,v19650609,1.10.1.22,64.1,,,,1
2019-01,Canada,2016A000011124,Employment rate,Both sexes,45 years and over,Percentage,242,units,0,v2091223,1.10.1.5,49.5,,,,1
2019-02,Canada,2016A000011124,Employment rate,Both sexes,45 years and over,Percentage,242,units,0,v2091223,1.10.1.5,49.7,,,,1
2019-03,Canada,2016A000011124,Employment rate,Both sexes,45 years and over,Percentage,242,units,0,v2091223,1.10.1.5,49.8,,,,1
2019-04,Canada,2016A000011124,Employment rate,Both sexes,45 years and over,Percentage,242,units,0,v2091223,1.10.1.5,50.1,,,,1
2019-05,Canada,2016A000011124,Employment rate,Both sexes,45 years and over,Percentage,242,units,0,v2091223,1.10.1.5,50.7,,,,1
2019-06,Canada,2016A000011124,Employment rate,Both sexes,45 years and over,Percentage,242,units,0,v2091223,1.10.1.5,50.7,,,,1
2019-07,Canada,2016A000011124,Employment rate,Both sexes,45 years and over,Percentage,242,units,0,v2091223,1.10.1.5,49.8,,,,1
2019-08,Canada,2016A000011124,Employment rate,Both sexes,45 years and over,Percentage,242,units,0,v2091223,1.10.1.5,49.9,,,,1
2019-09,Canada,2016A000011124,Employment rate,Both sexes,45 years and over,Percentage,242,units,0,v2091223,1.10.1.5,50.9,,,,1
2019-10,Canada,2016A000011124,Employment rate,Both sexes,45 years and over,Percentage,242,units,0,v2091223,1.10.1.5,50.6,,,,1
2019-11,Canada,2016A000011124,Employment rate,Both sexes,45 years and over,Percentage,242,units,0,v2091223,1.10.1.5,50.0,,,,1
2019-12,Canada,2016A000011124,Employment rate,Both sexes,45 years and over,Percentage,242,units,0,v2091223,1.10.1.5,49.8,,,,1
2020-01,Canada,2016A000011124,Employment rate,Both sexes,45 years and over,Percentage,242,units,0,v2091223,1.10.1.5,49.2,,,,1
2020-02,Canada,2016A000011124,Employment rate,Both sexes,45 years and over,Percentage,242,units,0,v2091223,1.10.1.5,49.3,,,,1
2020-03,Canada,2016A000011124,Employment rate,Both sexes,45 years and over,Percentage,242,units,0,v2091223,1.10.1.5,47.1,,,,1
2020-04,Canada,2016A000011124,Employment rate,Both sexes,45 years and over,Percentage,242,units,0,v2091223,1.10.1.5,43.4,,,,1
2019-01,Canada,2016A000011124,Employment rate,Both sexes,25 to 54 years,Percentage,242,units,0,v2091224,1.10.1.6,82.6,,,,1
2019-02,Canada,2016A000011124,Employment rate,Both sexes,25 to 54 years,Percentage,242,units,0,v2091224,1.10.1.6,82.8,,,,1
2019-03,Canada,2016A000011124,Employment rate,Both sexes,25 to 54 years,Percentage,242,units,0,v2091224,1.10.1.6,82.5,,,,1
2019-04,Canada,2016A000011124,Employment rate,Both sexes,25 to 54 years,Percentage,242,units,0,v2091224,1.10.1.6,83.1,,,,1
2019-05,Canada,2016A000011124,Employment rate,Both sexes,25 to 54 years,Percentage,242,units,0,v2091224,1.10.1.6,84.0,,,,1
2019-06,Canada,2016A000011124,Employment rate,Both sexes,25 to 54 years,Percentage,242,units,0,v2091224,1.10.1.6,84.0,,,,1
2019-07,Canada,2016A000011124,Employment rate,Both sexes,25 to 54 years,Percentage,242,units,0,v2091224,1.10.1.6,82.9,,,,1
2019-08,Canada,2016A000011124,Employment rate,Both sexes,25 to 54 years,Percentage,242,units,0,v2091224,1.10.1.6,82.9,,,,1
2019-09,Canada,2016A000011124,Employment rate,Both sexes,25 to 54 years,Percentage,242,units,0,v2091224,1.10.1.6,84.3,,,,1
2019-10,Canada,2016A000011124,Employment rate,Both sexes,25 to 54 years,Percentage,242,units,0,v2091224,1.10.1.6,83.8,,,,1
2019-11,Canada,2016A000011124,Employment rate,Both sexes,25 to 54 years,Percentage,242,units,0,v2091224,1.10.1.6,83.4,,,,1
2019-12,Canada,2016A000011124,Employment rate,Both sexes,25 to 54 years,Percentage,242,units,0,v2091224,1.10.1.6,83.3,,,,1
2020-01,Canada,2016A000011124,Employment rate,Both sexes,25 to 54 years,Percentage,242,units,0,v2091224,1.10.1.6,82.5,,,,1
2020-02,Canada,2016A000011124,Employment rate,Both sexes,25 to 54 years,Percentage,242,units,0,v2091224,1.10.1.6,82.6,,,,1
2020-03,Canada,2016A000011124,Employment rate,Both sexes,25 to 54 years,Percentage,242,units,0,v2091224,1.10.1.6,79.4,,,,1
2020-04,Canada,2016A000011124,Employment rate,Both sexes,25 to 54 years,Percentage,242,units,0,v2091224,1.10.1.6,72.3,,,,1
2019-01,Canada,2016A000011124,Employment rate,Both sexes,55 years and over,Percentage,242,units,0,v2091225,1.10.1.7,35.5,,,,1
2019-02,Canada,2016A000011124,Employment rate,Both sexes,55 years and over,Percentage,242,units,0,v2091225,1.10.1.7,35.7,,,,1
2019-03,Canada,2016A000011124,Employment rate,Both sexes,55 years and over,Percentage,242,units,0,v2091225,1.10.1.7,35.8,,,,1
2019-04,Canada,2016A000011124,Employment rate,Both sexes,55 years and over,Percentage,242,units,0,v2091225,1.10.1.7,36.1,,,,1
2019-05,Canada,2016A000011124,Employment rate,Both sexes,55 years and over,Percentage,242,units,0,v2091225,1.10.1.7,36.4,,,,1
2019-06,Canada,2016A000011124,Employment rate,Both sexes,55 years and over,Percentage,242,units,0,v2091225,1.10.1.7,36.6,,,,1
2019-07,Canada,2016A000011124,Employment rate,Both sexes,55 years and over,Percentage,242,units,0,v2091225,1.10.1.7,35.7,,,,1
2019-08,Canada,2016A000011124,Employment rate,Both sexes,55 years and over,Percentage,242,units,0,v2091225,1.10.1.7,35.9,,,,1
2019-09,Canada,2016A000011124,Employment rate,Both sexes,55 years and over,Percentage,242,units,0,v2091225,1.10.1.7,36.7,,,,1
2019-10,Canada,2016A000011124,Employment rate,Both sexes,55 years and over,Percentage,242,units,0,v2091225,1.10.1.7,36.9,,,,1
2019-11,Canada,2016A000011124,Employment rate,Both sexes,55 years and over,Percentage,242,units,0,v2091225,1.10.1.7,36.3,,,,1
2019-12,Canada,2016A000011124,Employment rate,Both sexes,55 years and over,Percentage,242,units,0,v2091225,1.10.1.7,36.2,,,,1
2020-01,Canada,2016A000011124,Employment rate,Both sexes,55 years and over,Percentage,242,units,0,v2091225,1.10.1.7,35.7,,,,1
2020-02,Canada,2016A000011124,Employment rate,Both sexes,55 years and over,Percentage,242,units,0,v2091225,1.10.1.7,35.7,,,,1
2020-03,Canada,2016A000011124,Employment rate,Both sexes,55 years and over,Percentage,242,units,0,v2091225,1.10.1.7,33.9,,,,1
2020-04,Canada,2016A000011124,Employment rate,Both sexes,55 years and over,Percentage,242,units,0,v2091225,1.10.1.7,30.9,,,,1
2019-01,Canada,2016A000011124,Employment rate,Both sexes,15 to 64 years,Percentage,242,units,0,v2091226,1.10.1.8,72.9,,,,1
2019-02,Canada,2016A000011124,Employment rate,Both sexes,15 to 64 years,Percentage,242,units,0,v2091226,1.10.1.8,73.1,,,,1
2019-03,Canada,2016A000011124,Employment rate,Both sexes,15 to 64 years,Percentage,242,units,0,v2091226,1.10.1.8,73.1,,,,1
2019-04,Canada,2016A000011124,Employment rate,Both sexes,15 to 64 years,Percentage,242,units,0,v2091226,1.10.1.8,73.8,,,,1
2019-05,Canada,2016A000011124,Employment rate,Both sexes,15 to 64 years,Percentage,242,units,0,v2091226,1.10.1.8,75.3,,,,1
2019-06,Canada,2016A000011124,Employment rate,Both sexes,15 to 64 years,Percentage,242,units,0,v2091226,1.10.1.8,75.9,,,,1
2019-07,Canada,2016A000011124,Employment rate,Both sexes,15 to 64 years,Percentage,242,units,0,v2091226,1.10.1.8,75.5,,,,1
2019-08,Canada,2016A000011124,Employment rate,Both sexes,15 to 64 years,Percentage,242,units,0,v2091226,1.10.1.8,75.4,,,,1
2019-09,Canada,2016A000011124,Employment rate,Both sexes,15 to 64 years,Percentage,242,units,0,v2091226,1.10.1.8,75.0,,,,1
2019-10,Canada,2016A000011124,Employment rate,Both sexes,15 to 64 years,Percentage,242,units,0,v2091226,1.10.1.8,74.8,,,,1
2019-11,Canada,2016A000011124,Employment rate,Both sexes,15 to 64 years,Percentage,242,units,0,v2091226,1.10.1.8,74.3,,,,1
2019-12,Canada,2016A000011124,Employment rate,Both sexes,15 to 64 years,Percentage,242,units,0,v2091226,1.10.1.8,74.2,,,,1
2020-01,Canada,2016A000011124,Employment rate,Both sexes,15 to 64 years,Percentage,242,units,0,v2091226,1.10.1.8,73.1,,,,1
2020-02,Canada,2016A000011124,Employment rate,Both sexes,15 to 64 years,Percentage,242,units,0,v2091226,1.10.1.8,73.4,,,,1
2020-03,Canada,2016A000011124,Employment rate,Both sexes,15 to 64 years,Percentage,242,units,0,v2091226,1.10.1.8,69.3,,,,1
2020-04,Canada,2016A000011124,Employment rate,Both sexes,15 to 64 years,Percentage,242,units,0,v2091226,1.10.1.8,62.0,,,,1
2019-01,Canada,2016A000011124,Employment rate,Both sexes,15 to 19 years,Percentage,242,units,0,v2091227,1.10.1.9,39.8,,,,1
2019-02,Canada,2016A000011124,Employment rate,Both sexes,15 to 19 years,Percentage,242,units,0,v2091227,1.10.1.9,40.3,,,,1
2019-03,Canada,2016A000011124,Employment rate,Both sexes,15 to 19 years,Percentage,242,units,0,v2091227,1.10.1.9,39.3,,,,1
2019-04,Canada,2016A000011124,Employment rate,Both sexes,15 to 19 years,Percentage,242,units,0,v2091227,1.10.1.9,40.2,,,,1
2019-05,Canada,2016A000011124,Employment rate,Both sexes,15 to 19 years,Percentage,242,units,0,v2091227,1.10.1.9,42.9,,,,1
2019-06,Canada,2016A000011124,Employment rate,Both sexes,15 to 19 years,Percentage,242,units,0,v2091227,1.10.1.9,45.6,,,,1
2019-07,Canada,2016A000011124,Employment rate,Both sexes,15 to 19 years,Percentage,242,units,0,v2091227,1.10.1.9,52.7,,,,1
2019-08,Canada,2016A000011124,Employment rate,Both sexes,15 to 19 years,Percentage,242,units,0,v2091227,1.10.1.9,51.8,,,,1
2019-09,Canada,2016A000011124,Employment rate,Both sexes,15 to 19 years,Percentage,242,units,0,v2091227,1.10.1.9,40.7,,,,1
2019-10,Canada,2016A000011124,Employment rate,Both sexes,15 to 19 years,Percentage,242,units,0,v2091227,1.10.1.9,40.5,,,,1
2019-11,Canada,2016A000011124,Employment rate,Both sexes,15 to 19 years,Percentage,242,units,0,v2091227,1.10.1.9,39.4,,,,1
2019-12,Canada,2016A000011124,Employment rate,Both sexes,15 to 19 years,Percentage,242,units,0,v2091227,1.10.1.9,40.3,,,,1
2020-01,Canada,2016A000011124,Employment rate,Both sexes,15 to 19 years,Percentage,242,units,0,v2091227,1.10.1.9,38.7,,,,1
2020-02,Canada,2016A000011124,Employment rate,Both sexes,15 to 19 years,Percentage,242,units,0,v2091227,1.10.1.9,39.3,,,,1
2020-03,Canada,2016A000011124,Employment rate,Both sexes,15 to 19 years,Percentage,242,units,0,v2091227,1.10.1.9,30.8,,,,1
2020-04,Canada,2016A000011124,Employment rate,Both sexes,15 to 19 years,Percentage,242,units,0,v2091227,1.10.1.9,23.1,,,,1
2019-01,Canada,2016A000011124,Employment rate,Both sexes,20 to 24 years,Percentage,242,units,0,v2091228,1.10.1.10,63.6,,,,1
2019-02,Canada,2016A000011124,Employment rate,Both sexes,20 to 24 years,Percentage,242,units,0,v2091228,1.10.1.10,64.7,,,,1
2019-03,Canada,2016A000011124,Employment rate,Both sexes,20 to 24 years,Percentage,242,units,0,v2091228,1.10.1.10,66.3,,,,1
2019-04,Canada,2016A000011124,Employment rate,Both sexes,20 to 24 years,Percentage,242,units,0,v2091228,1.10.1.10,67.6,,,,1
2019-05,Canada,2016A000011124,Employment rate,Both sexes,20 to 24 years,Percentage,242,units,0,v2091228,1.10.1.10,73.5,,,,1
2019-06,Canada,2016A000011124,Employment rate,Both sexes,20 to 24 years,Percentage,242,units,0,v2091228,1.10.1.10,75.6,,,,1
2019-07,Canada,2016A000011124,Employment rate,Both sexes,20 to 24 years,Percentage,242,units,0,v2091228,1.10.1.10,75.4,,,,1
2019-08,Canada,2016A000011124,Employment rate,Both sexes,20 to 24 years,Percentage,242,units,0,v2091228,1.10.1.10,75.9,,,,1
2019-09,Canada,2016A000011124,Employment rate,Both sexes,20 to 24 years,Percentage,242,units,0,v2091228,1.10.1.10,68.5,,,,1
2019-10,Canada,2016A000011124,Employment rate,Both sexes,20 to 24 years,Percentage,242,units,0,v2091228,1.10.1.10,69.1,,,,1
2019-11,Canada,2016A000011124,Employment rate,Both sexes,20 to 24 years,Percentage,242,units,0,v2091228,1.10.1.10,69.3,,,,1
2019-12,Canada,2016A000011124,Employment rate,Both sexes,20 to 24 years,Percentage,242,units,0,v2091228,1.10.1.10,68.5,,,,1
2020-01,Canada,2016A000011124,Employment rate,Both sexes,20 to 24 years,Percentage,242,units,0,v2091228,1.10.1.10,66.2,,,,1
2020-02,Canada,2016A000011124,Employment rate,Both sexes,20 to 24 years,Percentage,242,units,0,v2091228,1.10.1.10,67.3,,,,1
2020-03,Canada,2016A000011124,Employment rate,Both sexes,20 to 24 years,Percentage,242,units,0,v2091228,1.10.1.10,58.0,,,,1
2020-04,Canada,2016A000011124,Employment rate,Both sexes,20 to 24 years,Percentage,242,units,0,v2091228,1.10.1.10,46.0,,,,1
2019-01,Canada,2016A000011124,Employment rate,Both sexes,25 to 29 years,Percentage,242,units,0,v2091229,1.10.1.11,80.7,,,,1
2019-02,Canada,2016A000011124,Employment rate,Both sexes,25 to 29 years,Percentage,242,units,0,v2091229,1.10.1.11,80.5,,,,1
2019-03,Canada,2016A000011124,Employment rate,Both sexes,25 to 29 years,Percentage,242,units,0,v2091229,1.10.1.11,80.0,,,,1
2019-04,Canada,2016A000011124,Employment rate,Both sexes,25 to 29 years,Percentage,242,units,0,v2091229,1.10.1.11,80.8,,,,1
2019-05,Canada,2016A000011124,Employment rate,Both sexes,25 to 29 years,Percentage,242,units,0,v2091229,1.10.1.11,82.1,,,,1
2019-06,Canada,2016A000011124,Employment rate,Both sexes,25 to 29 years,Percentage,242,units,0,v2091229,1.10.1.11,81.7,,,,1
2019-07,Canada,2016A000011124,Employment rate,Both sexes,25 to 29 years,Percentage,242,units,0,v2091229,1.10.1.11,80.9,,,,1
2019-08,Canada,2016A000011124,Employment rate,Both sexes,25 to 29 years,Percentage,242,units,0,v2091229,1.10.1.11,81.6,,,,1
2019-09,Canada,2016A000011124,Employment rate,Both sexes,25 to 29 years,Percentage,242,units,0,v2091229,1.10.1.11,81.9,,,,1
2019-10,Canada,2016A000011124,Employment rate,Both sexes,25 to 29 years,Percentage,242,units,0,v2091229,1.10.1.11,81.6,,,,1
2019-11,Canada,2016A000011124,Employment rate,Both sexes,25 to 29 years,Percentage,242,units,0,v2091229,1.10.1.11,80.7,,,,1
2019-12,Canada,2016A000011124,Employment rate,Both sexes,25 to 29 years,Percentage,242,units,0,v2091229,1.10.1.11,81.4,,,,1
2020-01,Canada,2016A000011124,Employment rate,Both sexes,25 to 29 years,Percentage,242,units,0,v2091229,1.10.1.11,79.2,,,,1
2020-02,Canada,2016A000011124,Employment rate,Both sexes,25 to 29 years,Percentage,242,units,0,v2091229,1.10.1.11,79.4,,,,1
2020-03,Canada,2016A000011124,Employment rate,Both sexes,25 to 29 years,Percentage,242,units,0,v2091229,1.10.1.11,75.7,,,,1
2020-04,Canada,2016A000011124,Employment rate,Both sexes,25 to 29 years,Percentage,242,units,0,v2091229,1.10.1.11,65.7,,,,1
2019-01,Canada,2016A000011124,Employment rate,Both sexes,30 to 34 years,Percentage,242,units,0,v2091230,1.10.1.12,81.8,,,,1
2019-02,Canada,2016A000011124,Employment rate,Both sexes,30 to 34 years,Percentage,242,units,0,v2091230,1.10.1.12,81.7,,,,1
2019-03,Canada,2016A000011124,Employment rate,Both sexes,30 to 34 years,Percentage,242,units,0,v2091230,1.10.1.12,81.0,,,,1
2019-04,Canada,2016A000011124,Employment rate,Both sexes,30 to 34 years,Percentage,242,units,0,v2091230,1.10.1.12,82.1,,,,1
2019-05,Canada,2016A000011124,Employment rate,Both sexes,30 to 34 years,Percentage,242,units,0,v2091230,1.10.1.12,82.9,,,,1
2019-06,Canada,2016A000011124,Employment rate,Both sexes,30 to 34 years,Percentage,242,units,0,v2091230,1.10.1.12,83.3,,,,1
2019-07,Canada,2016A000011124,Employment rate,Both sexes,30 to 34 years,Percentage,242,units,0,v2091230,1.10.1.12,82.1,,,,1
2019-08,Canada,2016A000011124,Employment rate,Both sexes,30 to 34 years,Percentage,242,units,0,v2091230,1.10.1.12,81.9,,,,1
2019-09,Canada,2016A000011124,Employment rate,Both sexes,30 to 34 years,Percentage,242,units,0,v2091230,1.10.1.12,83.2,,,,1
