,source,title_desc,publishedAt,title_desc_sent_1
40,Bloomberg News,Poloz sees era of low global interest rates amid 'structural forces'. Bank of Canada Governor Stephen Poloz said he expects global interest rates to remain low for years to come due to the effects of structural forces such as sluggish productivity and population growth.,2019-12-12,-1
41,CBC,"For town looking to raise money, is a new credit program in the cards?. Gibbons administrator floats plan to have town issue credit cards and collect interest",2019-12-12,0
42,CBC,"Bank of Canada's Poloz says global growth to remain slow, low global interest rates. Central bank kept key interest rate on hold last week at 1.75 per cent",2019-12-12,-1
43,Bloomberg News,"U.S. core inflation modest in November. A key measure of U.S. consumer prices remained subdued in November, bolstering widespread expectations Federal Reserve policy makers will hold the line on interest rates.",2019-12-11,0
44,CBC,"Hamilton looks at an empty homes tax to ward off speculators and help local rents. More than half of vacant Vancouver homes are back on the market, but can it work in Hamilton?",2019-12-09,0
45,CBC,"Hamilton looks at an empty homes tax to ward off speculators and help local rents. More than half of vacant Vancouver homes are back on the market, but can it work in Hamilton?",2019-12-09,0
46,CBC,Sustainable' is a trendy word in the food industry — but farmers aren't getting enough credit for it. Saskatchewan has been a leader in sustainable farming practices,2019-11-29,0
47,CBC,This Canadian company shows a greener way to bottle water. Also: Interest in electric pickup trucks is picking up,2019-11-29,0
48,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canadian economy faces a prolonged period of sluggish growth. Canada's growth engines are sputtering, from investment and exports to weakening consumption as households cope with high debt levels",2019-11-28,-1
49,CBC,"U.S. reports on GDP, consumer spending remain positive. Improvement in economic data seemingly reduces the risks of a recession in the near term",2019-11-27,1
50,CBC,"Trans Mountain received $320M in government subsidies in 2019, report finds. Losses of $10.9 million were subsidized by a Crown corporation's earnings",2019-11-20,1
51,Bloomberg News,"Resilient growth in Canada just got a fresh warning signal. For the first time this year, the Canadian economy is coming in below analyst expectations, according to a closely watched gauge of economic surprises.",2019-11-19,-1
52,Bloomberg News,"Fed warns prolonged low interest rates could spark instability. Continuing low interest rates could dent U.S. bank profits and push bankers into riskier behavior that might threaten the nation’s financial stability, the Federal Reserve said in a report released Friday.",2019-11-15,0
53,CBC,"Trump barks at Fed but offers no fresh details on trade in speech. Trump said the U.S. is close to signing a ""phase one"" trade deal with China",2019-11-12,0
54,CBC,CMHC predicts moderate Sask. housing market rebound in next year. Rebound predicted after low 2019 numbers,2019-10-25,1
55,CBC,From income taxes to AirBnB rentals: How Alberta's new budget will affect your personal finances. There are a wide range of changes coming. Here's what they mean for your bottom line.,2019-10-25,0
56,Bloomberg News,"U.S. Fed seen cutting rates next week and then hitting pause button. Federal Reserve officials will signal they’re likely to take a break from cutting interest rates after lowering them again next week, according to a majority of economists surveyed by Bloomberg.",2019-10-25,-1
57,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",The IMF cuts its global growth forecast for the fifth time in a row to the weakest in a decade. 'The world economy faces difficult headwinds',2019-10-15,-1
58,CBC,People are anxious — and this election campaign isn't helping. The state of the 2019 campaign is giving us more reasons to worry ... about the quality of our leadership,2019-10-13,0
59,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Some of 2019's wackiest investment predictions are actually coming true. 2019 is proving to be bizarre for traders,2019-10-10,0
60,CBC,N.W.T.'s incoming MLAs already have long list of asks for new federal gov't. Feds will have to decide which territorial platform promises they will back with investment,2019-10-07,0
61,CBC,"Rents have just gone sky high': Cardigan candidates, voters weigh in on housing crisis. It's nothing that a senior can really afford'",2019-10-02,1
62,BNN Bloomberg,"Lower rates giving Canadian housing 'nine lives': CIBC's Tal. If the Canadian housing market had a spirit animal, a cat could be fitting.",2019-09-20,-1
63,CBC,"So far, families with children are the real winners in this election campaign. Parties compete in offering new programs for young families",2019-09-18,0
64,CBC,"Manitoba police watchdog investigates off-duty drinking and driving, excessive force. 13 investigations revealed after election blackout lifted",2019-09-17,0
65,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Oil-price shock couldn't come at a worse time for global economy in grip of deepening downturn. 'A negative supply shock like this ... is just what we don't need',2019-09-16,-1
66,CBC,To pay off or borrow more is the question facing Canadians: Don Pittis. As recession threatens and an election beckons is it time for us to borrow or time to shuck debt?,2019-09-12,0
67,CBC,European Central Bank introduces aggressive stimulus package to revive ailing economy. Chief Mario Draghi pledge indefinite stimulus Thursday,2019-09-12,-1
68,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Donald Trump’s tweets are moving markets. So JPMorgan created a ‘Volfefe’ index to track the impact. The number of market-moving Trump tweets has ballooned in the past month,2019-09-09,0
69,CBC,"All eyes on Bank of Canada's interest rate decision, view of global economic climate. Governor Stephen Poloz to give 1st policy announcement since early July",2019-09-04,0
70,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Trump says the U.S. is 'very far from a recession' but floats stimulus ideas anyway. Trump said he's open to a range of possible actions, including a payroll tax cut or bypassing Congress to reduce taxes by indexing capital gains",2019-08-21,0
71,CBC,Greater Sudbury borrowing $205M for large projects. Money will go toward seven large projects already approved,2019-08-15,0
72,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","'The genie is out of the bottle': Gold is having its best week in 3 years after breaching $1,500. Gold has risen 4.3 per cent this week, the largest increase since April 2016",2019-08-09,0
73,CBC,"Why these artists rejected city life (and how they're making it big in their small town). This beautiful residence for creatives in Picton, Ont. helps couple build ideal artists' life.",2019-08-09,0
74,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Canadian yield curve inversion dives to deepest level since 2000. Traders are adding to bets the Bank of Canada will 'roll over' and cut interest rates,2019-08-06,-1
75,CBC,"Chinese yuan falls to 11-year low amid trade tensions. After Trump pledges more tariffs, China allows currency to fall and threatens agricultural tariffs",2019-08-05,-1
76,CBC,Why increasing minimum credit card payments could be beneficial. Quebec banks require a two per cent minimum payment and more provinces could follow suit,2019-08-04,1
77,CBC,"Former Edmonton bus trainer convicted for giving out fake certificates. Fraud over $5,000 charge dropped as Crown and defence agree to breach of public trust",2019-08-01,0
78,CBC,"Up or down? Currency watchers split on which way the dollar is headed. Canada's economy is doing fine, but central banks headed in different directions likely to be driver of dollar",2019-07-31,0
79,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Surprise slump in retail sales bolsters case that Bank of Canada would follow Fed in rate cut. Food sales down 2%, booze and clothing sales down 2.7%",2019-07-19,-1
80,CBC,How much will the defence file matter to voters?. The Canada Votes newsletter is your weekly tip-sheet as we count down to Oct. 21,2019-07-14,0
81,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Interest rate cuts are no cure-all in a trade war, Bank of Canada's Poloz warns. Investors may think central banks can prevent a trade war-induced recession by cutting interest rates, but it's never that simple, Poloz says",2019-07-11,0
82,CBC,Windsor pursuing motorized watercraft ban along shoreline. The city will petition Transport Canada to prohibit water vessels within 30 metres of the shoreline,2019-07-10,0
83,CBC,"Expect Bank of Canada to take heart from an improving U.S. economic climate: Don Pittis. The sun is shining, the birds are chirping, but central bankers must plan for storms",2019-07-08,1
84,CBC,"Pallister government wants to privatize Manitoba Public Insurance, NDP says. NDP Leader Wab Kinew says Premier Brian Pallister plans to whittle away at MPI, piece by piece",2019-07-05,0
85,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens. Lagarde becomes the first woman to run euro-area monetary policy,2019-07-02,0
86,CBC,Conflicted and worried: CBC News poll takes snapshot of Canadians ahead of fall election. Poll finds high levels of anxiety - and a low level of confidence in politicians - ahead of fall election,2019-06-30,-1
87,CBC,"Business sentiment improves after downturn early in year. Global trade tensions, weakness in oilpatch still hang over Canadian outlook",2019-06-28,1
88,CBC,Vet says to keep paws off pot as cases of marijuana toxicity in dogs increase. Maggie Brown-Bury says she sees about 1 dog a week that has consumed cannabis,2019-06-28,0
89,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Gold is still gaining today, bringing prices near the highest level since 2013 with bulls 'back in control'. There's a raft of bullish factors for the precious metal right now",2019-06-24,0
90,CBC,"Canada's military feeling the strain responding to climate change. Soldiers deployed at home sent to cope with fires, floods",2019-06-24,0
91,CBC,Federal Reserve holds key interest rate steady — but its patience is wearing thin. U.S. central bank keeps benchmark rate in range between 2.25% and 2.5%,2019-06-19,1
92,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",The same type of debt blamed in the U.S. credit crisis could help Canada with housing risk. Mortgage backed securities would be a good way for lenders to hedge their residential real estate exposure,2019-06-05,0
93,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Donald Trump's trade war has already cost investors up to $7 trillion. Trump's effort to reorient the U.S.'s place in world trade could end up being much more costly than most people think,2019-06-03,0
94,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Bank of Canada set to keep rates on hold today — and won't hike until at least after the election. Most analysts predict rates won't rise again until next year at the earliest,2019-05-28,0
95,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Markets are more gloomy about our economy than the Bank of Canada — who’s right?. Some see the loonie falling below 74 cents after the central bank’s rate decision this week,2019-05-27,0
96,CBC,"Province not prepared to ease policies as housing market sputters. Vancouver homeowners cite rising taxes, falling equity; NDP argues moderation is improving affordability",2019-05-23,-1
97,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Fed signals patience on rate moves ‘for some time’. No strong case to move in either direction,2019-05-22,0
98,CBC,"Seafood storage facility to create jobs for Eskasoni First Nation. Cold storage business can handle live, frozen seafood",2019-05-21,0
99,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Trump is slamming the Fed again, saying stocks should be 5,000-10,000 higher. Policy makers gathered for IMF meeting worry about central bank independence ‘in the most important jurisdiction in the world’",2019-04-15,-1
100,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",IMF cuts global outlook to lowest since the financial crisis. It's the third time the IMF has downgraded its outlook in six months,2019-04-09,-1
101,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Stephen Poloz confident slowdown is temporary, but low rates still needed. Governor’s speech suggests Bank of Canada rates won’t be moving up or down any time soon",2019-04-01,-1
102,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Canada emerges from slump with best growth gain in eight months. The unexpected gain paints a much less bleak picture for an economy than we have been seeing lately,2019-03-29,1
103,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canadian dollar could sink to record low of 62 cents as economy slides closer to recession, says David Wolf. Former adviser to Bank of Canada is not the only one bearish on the loonie",2019-03-18,-1
104,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Bill Gross says this secret condition made him a successful investor — and infamously short-tempered. Even after one of the most storied careers in financial markets, Bill Gross has a few surprises left",2019-03-01,0
105,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Interest rate hikes don't seem to be hurting Canadian households after all. Telephone poll shows a clear majority continue to say higher borrowing costs are either having no impact, or a positive one, on personal spending",2019-02-14,1
106,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Paul Krugman says the U.S. is headed for a possible recession and the Fed won't be able to combat it. While Krugman doesn't expect a crisis of the magnitude of 2008, he said policy makers in Washington would struggle to contain large shocks",2019-02-11,-1
107,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Toronto new home sales plunge to lowest in almost 20 years as unsold condos pile up. 'Greater caution' should be taken when investing in new condo units, warns research firm",2019-02-01,0
108,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",TD to focus on home-equity lines of credit in push for banking dominance. Canadian personal banking group head is out to capture 'embedded growth opportunity' in loans despite widespread concerns over high household debt,2019-01-29,0
109,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","In Canada's housing slowdown, Vancouver proves to be the weakest link. Vancouver is in 'full-blown correction mode,' RBC economist says, with more price depreciations expected",2019-01-16,0
110,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Stephen Poloz sees signs of hope for his hometown of Oshawa after GM closes plant. Poloz says Oshawa has grown despite the decline in auto manufacturing and current GM workers will be retrained,2019-01-09,0
111,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Toronto condo party to sober up in 2019, developers say, but don't expect prices to go down. Developers may be cautious short-term, but are confident prices will continue to rise longer term due to supply constraints and Toronto's growth prospects",2018-12-18,0
112,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Trump blasts Fed on eve of policy meeting for 'even considering' another interest rate hike. Trump suggested the central bank has no reason to move because inflation is low and the U.S. currency is strong,2018-12-17,0
113,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Dow plunges almost 800 points over flattening yield curve, lost confidence on U.S.-China trade deal. Observers calling out Trump over whether trade talks had created any meaningful breakthrough",2018-12-04,-1
114,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Brace yourselves — the global rout in stocks is getting worse. Time to go back to the Warren Buffett-style of investment,2018-11-20,0
115,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",This week’s fiscal update will have Trudeau seeking redemption from a frustrated business community. The update will likely include incentives for capital investment but not an across-the-board reduction in corporate taxes,2018-11-19,0
116,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Ontario sharpens axe as it readies plan to cut mounting $15-billion deficit. Ontario has the world's largest largest pile of sub-sovereign debt, clocking in at $338 billion",2018-11-15,0
