title,description,annotator_1,note
Unemployment rate jumps to 5.7% in July as more people look for fewer jobs,"Canada's economy lost 24,000 jobs last month",-1,
Whale Tail mine expansion undergoes public hearings this week in Baker Lake,Open pit mine began commercial production this summer,0,
Awet Mehari granted bail pending appeal hearing for sexual assault conviction,Survivor says she's frustrated by bail decision ,0,
Ontario prison farms making a comeback,Federal program shuttered in 2010,0,
City adding more voices to the group advising it on LGBTQ issues,"The committee doesn't have enough youth on it, vice chair says, or enough people of colour",0,
"2-week turnaround tough bid for outside cod buyers, says Gerry Byrne",FFAW's Keith Sullivan says more communication needed from processors,0,
Army reserves looking for recruits at P.E.I. open house,"'We're always in need of new people as people leave, people retire, people transfer'",1,
Windsor PSW charged with alleged theft from client,"Monica Rankin has been charged with theft under $5,000",0,
"NDP leader lands in New Brunswick, says he's sorry for not visiting sooner","Green Party Leader Elizabeth May also in N.B., says it's her third trip this year",0,
Hospital laundry workers ordered back to work,Walkout deemed illegal by New Brunswick Labour and Employment Board,0,Unrelated to employment numbers
Investigation into harassment allegations against Concordia creative writing prof over,"Jon Paul Fiorentino no longer works at university, but school won't say if it's connected to findings",0,
Facebook CEO Mark Zuckerberg to appear before Congress on currency plan,Tech giant is under pressure from lawmakers over its massive market power and record of privacy breaches,0,
MLB conducting wider probe of Astros after assistant GM fired,Brandon Taubman directed inappropriate comments at female reporters following team's pennant-clinching win,0,
"Provincial budget cuts could take toll on Edmonton and public sector, critics say","'This will protect jobs now and in the future,' finance minister says",-1,More negative in title
'Sophisticated' fraud scheme tripped by power bill error,Saint John police believe ID thieves from Montreal are part of criminal organization,0,
Labour leaders vow to fight bill on essential services in nursing homes,"Proposed amendments are a 'direct assault' on collective bargaining rights, they say",0,
Nova Scotia eyes ride sharing to ease rural transportation woes,Province plans to put $250K into ride-sharing projects in up to 3 rural areas,1,New employment stream starting
Scammers spoofing more than a dozen federal government departments to defraud Canadians,It's a new version of a scam that has ripped off thousands of individuals,0,
Municipal investigator contradicts allegations in Norman Wells lawsuit,Management consultant says SAO being sued by the town was a dedicated employee,0,
"Retirement payments for city workers date back to at least 1964, city clerk says",It was previously thought the payments began in the 1980s,0,
Stella's Circle holds Light Up Hope ceremony for fifth year,'When they come to Stella's Circle... they experience hope',0,
Windsor's unemployment rate third highest in Canada,Canada's unemployment rate is 5.9 per cent,-1,
Employees shocked after Athlete Factory suddenly shuts its doors,'Dec. 15 we expected to get a paycheque and instead we got an email saying the company is shut down',-1,
New draft ethics guidelines for judges caution them about post-bench work,It will be up to law societies across Canada to give the new rules teeth,0,
