title,description,annotator_1,notes
Bombardier job cuts raise questions on impact of Buy America Act,Blaming U.S. legislation for causing 550 layoffs called 'a little bit convenient',0,
Mining boom to drive economic growth in territories beyond rest of Canada: report,"The Conference Board of Canada says outlook rosy for Nunavut and Yukon, but N.W.T. in for a bumpy ride",1,
Companies look to cash in on out-of-this-world profits in new space economy,Canadian firms among many investing billions in extraterrestrial ventures,1,
C.D. Howe report finds no winners in Canada-U.S.-Mexico free trade agreement,Report says agreement that replaced NAFTA will hit Mexico the hardest,-1,
Companies look to cash in on out-of-this-world profits in new space economy,Canadian firms among many investing billions in extraterrestrial ventures,1,
Why these artists rejected city life (and how they're making it big in their small town),"This beautiful residence for creatives in Picton, Ont. helps couple build ideal artists' life.",0,
Ambrose disagrees with Scheer's assertion that Trudeau caved to Trump on NAFTA,Former Tory interim-leader says Canada made sacrifices to secure gains in NAFTA negotiation,0,
"Alberta faces 'mild recession in 2019' due largely to pipeline uncertainty, Conference Board forecasts","Economic contraction of 0.8% 'not nearly as severe as the 2015-16 recession,' with recovery in 2020",-1,
"Alberta government focuses on high debt, not improved deficit, revenue numbers in Q1 update", Government says debt would have been $120B by 2024 under previous NDP plan,0,Ambiguous
Hamilton hits $1B in building permits in just 8 months,"It's the fastest the city has ever hit $1B, according to officials",0,
"Canadian industry is 'addicted to fossil fuels,' but the Green Party can change that, says Elizabeth May","Goal isn't to come up with something politically palatable, it's to secure future: May",0,
Where are Thomas Cook travellers stranded? Here's how 17 countries are responding,"About 600,000 people affected around world by travel company's bankruptcy",0,
Trudeau's big — and underfunded — health care promises,Liberals' pledge to 'fix' gaps in health care system would cost billions more,0,
The candidates: Great Slave,"Patrick Scott, Katrina Nokleby face off for seat vacated by former minister Glen Abernethy",0,
The candidates for Regina‒Lewvan and where they stand on the issues,Candidates gathered for panel discussion Friday,0,
"OPINION | Yes, Alberta's budget raises taxes. Yes, it cuts AISH. No, it's not 'austerity.'",Trevor Tombe cuts through the spin and extracts the facts from 'the most consequential budget in years',0,
"Canada's economy grew 0.1% in August, Statistics Canada reports","Gross domestic product edged up slightly, but fell short of expectations",1,
All eyes on Canadian jobs numbers as election heads into 5th week: Don Pittis,"Still few signs of Canadian recession, but this week's data may tell us more",0,
Alberta looks to private sector and pipelines to deliver better times,Kenney government reveals 'ambitious' plan for economic growth ,0,
'Stroller brigades' across B.C. make plea for national child-care strategy,"All the major federal parties have committed to current levels of funding, but B.C. group wants more",0,
PBO forecasts slower growth and deeper federal deficits,PBO cites weaker exports because of trade disputes and protectionism,-1,
North American markets reach new record highs on stronger U.S. economic growth,"In New York, Dow Jones industrial average up 42.32 points to 28,164",1,
"Canadian economy cooled off in 3rd quarter, Statistics Canada says",Bank of Canada expected to hold line on interest rates next week,-1,
Lessons from the Great Crash of 1929 for investing in an ever-rising market: Don Pittis,"Having escaped an October crash, can we finally talk about irrational markets?",0,
"Carbon tax must hit $210 per tonne by 2030 to meet Paris targets, report concludes","The tax remains the most cost-effective tool for fighting climate change, says Ecofiscal Commission",-1,
"Canada's economy 'sound and growing,' says Morneau as he unveils fiscal update","Update shows deficits for next 5 years, with no sign of a planned return to balance",1,
"Canada 'slightly delinquent' on defence spending, Trump says at NATO gathering","Trudeau met with Latvian President Egils Levits, Prince Charles earlier Tuesday",0,
"Quebec to hike hourly minimum wage by 60 cents, reaching $13.10 on May 1","CAQ government honours campaign promise to increase minimum wage over time, working toward $15 per hour",0,
"Canada's economy shrinks 0.1% in October, StatsCan reports",UAW strike weighted down manufacturing sector which declined for the 4th time in 5 months,-1,
"Vancouver needs 10,000 affordable housing units a year to address rental 'backlog,' report advises","There’s a mismatch between what’s being built and what renters need, says economist Mark Lee",0,
