source,title_desc,publishedAt
CBC,"'We make zero': How COVID-19 is likely to impact B.C.'s economy. Extent of damage largely dependent on the time it takes to contain the virus, economists say",2020-04-12
CBC,"Conference Board slashes Manitoba's 2019 economic growth projection ahead of election. Trade tensions, less robust consumer and government spending weigh down province's economy",2019-08-22
CBC,"Canada's economy expanded 0.2% in June despite manufacturing slowdown. For the second month in a row, Toronto Raptors playoff run helped boost spending to have impact on GDP",2019-08-30
CBC,"For Alberta, the day of fiscal reckoning has arrived. Province’s economy and budget can recover, but it will require hard choices",2020-04-28
CBC,"Rising home prices encourage consumers to borrow and spend, giving economy a boost. Bank of Canada study analyzes spending triggered by borrowing against the house",2019-09-20
CBC,How COVID-19 blew up the Doug Ford government's budget. Ontario’s 2020-21 spending plan makes optimistic assumption that economy won’t shrink this year,2020-03-25
CBC,'This is not a new story': ATB report shows economic growth stalled in Alberta. 'We're not expecting a recession ... but we are seeing essentially a stalled economy',2019-09-10
CBC,U.S. Federal Reserve leaves rates near zero as COVID-19 savages U.S. economy. Economists forecast sharpest downturn in U.S. history this quarter,2020-04-29
CBC,"India's COVID-19 lockdown is among the strictest in the world but has yet to slow the spread. Phase 2 of India's lockdown includes some loosening of restrictions, but much of the economy remains shut down",2020-04-20
CBC,"Here's what to expect from Ontario's not-quite-a-budget, as COVID-19 throws economy off track. Support for health system, businesses will feature in Finance Minister Rod Phillips' 'fiscal update'",2020-03-25
CBC,"'So much uncertainty': New data highlights global economic pain from COVID-19. France's economy shrank by 5.8%, the biggest quarterly drop since 1949, as Germany projects 6.3% GDP decline",2020-04-30
CBC,"Economic forecasts for Alberta point to recession, thousands of job losses. Province's economy to be hit hard by double whammy of COVID-19 and oil-price shock",2020-03-13
CBC,Why Manitoba's middle-of-the-road economy cannot weather a pandemic on its own. Premier Brian Pallister wants Manitoba to be the 1st province to reopen,2020-04-22
CBC,"Summer telecommunication outages cost Yellowknife economy $10M, says chamber. Businesses had trouble accepting payment during disruptions, says Yellowknife Chamber of Commerce ",2019-09-04
CBC,"As COVID-19 hits the economy, bailouts are a fresh reminder why governments matter: Don Pittis. When this is all over, will penny-pinchers remember the value of governments?",2020-03-20
CBC,1/4 of P.E.I.'s jobs could disappear by May. Some banks predicting economy will shrink as COVID-19 hits P.E.I.’s primary industries hard,2020-04-09
CBC,"Tax the rich, spend on the poor: 3 years in, this is still an NDP government. But with an economy still performing tops in Canada, the government can comfortably stay the course",2020-02-19
CBC,"How slower economic growth could put pressure on the federal Liberals. Newsletter: As China’s influence grows, shocks to its economy will be felt by us all",2020-02-16
CBC,Some provinces skeptical after money laundering wake-up call. New report finds criminals wash billions in dirty money through Canadian economy,2019-05-20
CBC,"Manitoba government delivers cautious budget as COVID-19 rattles economy. Revised budget estimates negative economic growth in 1st half of 2020, rebound by end of year",2020-03-19
CBC,"Despite a strong economy, cost of living still top of mind for Canadians. An accounting of the economic data shows that perceptions don't quite match reality",2019-07-02
CBC,What Canada's economy would look like if Alberta's recession never happened. Politicians often say a 'strong Alberta' means a 'strong Canada.' Economist Trevor Tombe brought the receipts,2019-09-30
CBC,"Canada's economy would be less hurt by climate change than other countries, Moody's says. Consulting firm says climate change will come with winners and losers, economically speaking",2019-07-04
