date,value_GDP,value_TSX,value_mortgage_rates,value_employment,value_housing_prices,value_interest_rates
2019-11-28,,,,,,1.75
2019-11-29,,,,,,1.75
2019-11-30,1.7748215961018936,17040.199219,3.13,61.8,0.12798634812287174,
2019-12-02,,,,,,1.75
2019-12-03,,,,,,1.75
2019-12-04,,,,,,1.75
2019-12-05,,,,,,1.75
2019-12-06,,,,,,1.75
2019-12-09,,,,,,1.75
2019-12-10,,,,,,1.75
2019-12-11,,,,,,1.75
2019-12-12,,,,,,1.75
2019-12-13,,,,,,1.75
2019-12-16,,,,,,1.75
2019-12-17,,,,,,1.75
2019-12-18,,,,,,1.75
2019-12-19,,,,,,1.75
2019-12-20,,,,,,1.75
2019-12-23,,,,,,1.75
2019-12-24,,,,,,1.75
2019-12-25,,,,,,1.75
2019-12-26,,,,,,1.75
2019-12-27,,,,,,1.75
2019-12-30,,,,,,1.75
2019-12-31,2.0614459594416616,17063.400391,3.23,61.7,0.3401360544217614,1.75
2020-01-01,,,,,,1.75
2020-01-02,,,,,,1.75
2020-01-03,,,,,,1.75
2020-01-06,,,,,,1.75
2020-01-07,,,,,,1.75
2020-01-08,,,,,,1.75
2020-01-09,,,,,,1.75
2020-01-10,,,,,,1.75
2020-01-13,,,,,,1.75
2020-01-14,,,,,,1.75
2020-01-15,,,,,,1.75
2020-01-16,,,,,,1.75
2020-01-17,,,,,,1.75
2020-01-20,,,,,,1.75
2020-01-21,,,,,,1.75
2020-01-22,,,,,,1.75
2020-01-23,,,,,,1.75
2020-01-24,,,,,,1.75
2020-01-27,,,,,,1.75
2020-01-28,,,,,,1.75
2020-01-29,,,,,,1.75
2020-01-30,,,,,,1.75
2020-01-31,1.8581266215907544,17318.5,3.24,60.8,1.176470588235299,1.75
2020-02-03,,,,,,1.75
2020-02-04,,,,,,1.75
2020-02-05,,,,,,1.75
2020-02-06,,,,,,1.75
2020-02-07,,,,,,1.75
2020-02-10,,,,,,1.75
2020-02-11,,,,,,1.75
2020-02-12,,,,,,1.75
2020-02-13,,,,,,1.75
2020-02-14,,,,,,1.75
2020-02-17,,,,,,1.75
2020-02-18,,,,,,1.75
2020-02-19,,,,,,1.75
2020-02-20,,,,,,1.75
2020-02-21,,,,,,1.75
2020-02-24,,,,,,1.75
2020-02-25,,,,,,1.75
2020-02-26,,,,,,1.75
2020-02-27,,,,,,1.75
2020-02-28,,,,,,1.75
2020-02-29,2.1372312874239974,16263.099609,3.19,61.0,1.4900662251655605,
2020-03-02,,,,,,1.75
2020-03-03,,,,,,1.75
2020-03-04,,,,,,1.25
2020-03-05,,,,,,1.25
2020-03-06,,,,,,1.25
2020-03-09,,,,,,1.25
2020-03-10,,,,,,1.25
2020-03-11,,,,,,1.25
2020-03-12,,,,,,1.25
2020-03-13,,,,,,1.25
2020-03-16,,,,,,0.75
2020-03-17,,,,,,0.75
2020-03-18,,,,,,0.75
2020-03-19,,,,,,0.75
2020-03-20,,,,,,0.75
2020-03-23,,,,,,0.75
2020-03-24,,,,,,0.75
2020-03-25,,,,,,0.75
2020-03-26,,,,,,0.75
2020-03-27,,,,,,0.25
2020-03-30,,,,,,0.25
2020-03-31,-5.834350516851596,13378.799805,3.03,57.5,1.788617886178864,0.25
2020-04-01,,,,,,0.25
2020-04-02,,,,,,0.25
2020-04-03,,,,,,0.25
2020-04-06,,,,,,0.25
2020-04-07,,,,,,0.25
2020-04-08,,,,,,0.25
2020-04-09,,,,,,0.25
2020-04-10,,,,,,0.25
2020-04-13,,,,,,0.25
2020-04-14,,,,,,0.25
2020-04-15,,,,,,0.25
2020-04-16,,,,,,0.25
2020-04-17,,,,,,0.25
2020-04-20,,,,,,0.25
2020-04-21,,,,,,0.25
2020-04-22,,,,,,0.25
2020-04-23,,,,,,0.25
2020-04-24,,,,,,0.25
2020-04-27,,,,,,0.25
2020-04-28,,,,,,0.25
2020-04-29,,,,,,0.25
2020-04-30,,14780.700195,,51.5,0.08123476848090522,0.25
2020-05-01,,,,,,0.25
2020-05-04,,,,,,0.25
2020-05-05,,,,,,0.25
2020-05-06,,,,,,0.25
2020-05-07,,,,,,0.25
2020-05-08,,,,,,0.25
2020-05-11,,,,,,0.25
2020-05-12,,,,,,0.25
2020-05-13,,,,,,0.25
2020-05-14,,,,,,0.25
2020-05-15,,,,,,0.25
2020-05-18,,,,,,0.25
2020-05-19,,,,,,0.25
2020-05-20,,,,,,0.25
2020-05-21,,,,,,0.25
2020-05-22,,,,,,0.25
2020-05-25,,,,,,0.25
2020-05-26,,,,,,0.25
2020-05-27,,,,,,0.25
2020-05-28,,,,,,0.25
2020-05-29,,,,,,0.25
2020-05-31,,15192.799805,,,,
2020-06-01,,,,,,0.25
