,description,publishedAt,title,title_desc_sent_1,title_desc
45,"One woman actually said ... my expiry date has come and gone,' says researcher",2019-11-18,Thesis project shares stories of older women in insecure housing,0,"Thesis project shares stories of older women in insecure housing. One woman actually said ... my expiry date has come and gone,' says researcher"
26,"Representatives of churches, charities, shelters and aid agencies met to cook up ideas for the cause",2020-01-29,"As London's homeless problem grows, so do attempts to find solutions",0,"As London's homeless problem grows, so do attempts to find solutions. Representatives of churches, charities, shelters and aid agencies met to cook up ideas for the cause"
94,"Current wait times for affordable units are lengthy, says Housing Cambridge GM",2019-05-21,How the city of Cambridge hopes to pay for more affordable housing,1,"How the city of Cambridge hopes to pay for more affordable housing. Current wait times for affordable units are lengthy, says Housing Cambridge GM"
53,Newly released documents show Tarion CEO made $769K in 2018,2019-10-16,"Advocate slams 'outrageous' Tarion executive salaries, calls for cap",0,"Advocate slams 'outrageous' Tarion executive salaries, calls for cap. Newly released documents show Tarion CEO made $769K in 2018"
18,"Trading leases is perfectly legal, but landlords must sign off on the swap",2020-02-29,Montreal tenants are swapping apartments to avoid rising rents,1,"Montreal tenants are swapping apartments to avoid rising rents. Trading leases is perfectly legal, but landlords must sign off on the swap"
0,The federal deficit could rise close to $400 billion as the government extends emergency programs to buffer impact of shutdowns,2020-05-13,"Canada's soaring deficit may jeopardize its AAA rating, Macquarie says",0,"Canada's soaring deficit may jeopardize its AAA rating, Macquarie says. The federal deficit could rise close to $400 billion as the government extends emergency programs to buffer impact of shutdowns"
56,The sprawling suburbs around Toronto the Liberals swept in 2015 are turning to the Conservatives as the cost of living soars,2019-10-09,Liberals face tough battle over wallets in key part of Ontario that will decide Trudeau's fate,1,Liberals face tough battle over wallets in key part of Ontario that will decide Trudeau's fate. The sprawling suburbs around Toronto the Liberals swept in 2015 are turning to the Conservatives as the cost of living soars
85,"A new study says we’re particularly bad at saving, so we enlisted an expert for help",2019-06-12,Why Canadians find saving so hard — and how to get better at it ASAP,0,"Why Canadians find saving so hard — and how to get better at it ASAP. A new study says we’re particularly bad at saving, so we enlisted an expert for help"
109,Many Canadian equity strategists are predicting double-digit gains for 2019,2019-01-02,"Canadian stocks just suffered the worst year in a decade, but analysts say the future looks brighter",0,"Canadian stocks just suffered the worst year in a decade, but analysts say the future looks brighter. Many Canadian equity strategists are predicting double-digit gains for 2019"
100,"It's a new world for Vancouver's housing market, where Chinese investors are decamping and low-ball offers are the norm",2019-04-16,"In Vancouver, college kids live like kings in empty mansions: Stories from a real estate market in upheaval",-1,"In Vancouver, college kids live like kings in empty mansions: Stories from a real estate market in upheaval. It's a new world for Vancouver's housing market, where Chinese investors are decamping and low-ball offers are the norm"
93,Jobandeep Singh Sandhu says he had no choice but to work extra hours to pay for his program,2019-05-24,"Thousands join effort to stop international student from being deported for 'working too hard,' he says",0,"Thousands join effort to stop international student from being deported for 'working too hard,' he says. Jobandeep Singh Sandhu says he had no choice but to work extra hours to pay for his program"
88,Latest report shows property sales 23 per cent below 10-year average,2019-06-05,Metro Vancouver housing sales remain sluggish in May,-1,Metro Vancouver housing sales remain sluggish in May. Latest report shows property sales 23 per cent below 10-year average
67,Housing advocates say the project still doesn't address the growing need for middle-income family housing,2019-08-21,Government says new Victoria micro-apartments will help with middle-income housing crisis,1,Government says new Victoria micro-apartments will help with middle-income housing crisis. Housing advocates say the project still doesn't address the growing need for middle-income family housing
12,"Child welfare an essential service, but it's not being handled like others during this pandemic, advocate says",2020-03-29,There isn't consistency': COVID-19 response varies for children in care,0,"There isn't consistency': COVID-19 response varies for children in care. Child welfare an essential service, but it's not being handled like others during this pandemic, advocate says"
