,description,publishedAt,title,title_desc_sent_1,title_desc
78,"Canada's economy lost 24,000 jobs last month",2019-08-09,Unemployment rate jumps to 5.7% in July as more people look for fewer jobs,-1,"Unemployment rate jumps to 5.7% in July as more people look for fewer jobs. Canada's economy lost 24,000 jobs last month"
3,Central bank officials cited risk of the potential for massive bankruptcies that could create a lasting scar,2020-05-12,Stocks tumble after double whammy of warnings from Fauci and Fed over pandemic economy,-1,Stocks tumble after double whammy of warnings from Fauci and Fed over pandemic economy. Central bank officials cited risk of the potential for massive bankruptcies that could create a lasting scar
20,It's time for Ottawa to have Alberta's back',2020-03-11,"Kenney heads to Ottawa to demand urgent help from federal Liberals, warning Alberta faces 'triple whammy'",-1,"Kenney heads to Ottawa to demand urgent help from federal Liberals, warning Alberta faces 'triple whammy'. It's time for Ottawa to have Alberta's back'"
86,Lagarde becomes the first woman to run euro-area monetary policy,2019-07-02,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens,-1,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens. Lagarde becomes the first woman to run euro-area monetary policy
2,The Fed chair in his speech outlined the worrying scenario posed by mass bankruptcies and unemployment,2020-05-13,Fed’s Jerome Powell warns coronavirus could do lasting damage to economy; policy makers will need to do more,-1,Fed’s Jerome Powell warns coronavirus could do lasting damage to economy; policy makers will need to do more. The Fed chair in his speech outlined the worrying scenario posed by mass bankruptcies and unemployment
81,"Close to 60,000 people are on social assistance in the province",2019-07-18,Number of Albertans on EI declines as those accessing social assistance increases,-1,"Number of Albertans on EI declines as those accessing social assistance increases. Close to 60,000 people are on social assistance in the province"
78,"Canada's economy lost 24,000 jobs last month",2019-08-09,Unemployment rate jumps to 5.7% in July as more people look for fewer jobs,-1,"Unemployment rate jumps to 5.7% in July as more people look for fewer jobs. Canada's economy lost 24,000 jobs last month"
1,"Supply and service sector also on edge as business slows, while government pushes for federal help",2020-05-13,"As Suncor ponders Terra Nova's future, N.L. offshore workers worry about their own",-1,"As Suncor ponders Terra Nova's future, N.L. offshore workers worry about their own. Supply and service sector also on edge as business slows, while government pushes for federal help"
86,Lagarde becomes the first woman to run euro-area monetary policy,2019-07-02,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens,-1,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens. Lagarde becomes the first woman to run euro-area monetary policy
43,Canada's unemployment rate is 5.9 per cent,2019-12-06,Windsor's unemployment rate third highest in Canada,-1,Windsor's unemployment rate third highest in Canada. Canada's unemployment rate is 5.9 per cent
115,"The toll of one of the largest U.S. retail failures is evident in July employment statistics, which were held back by the collapse of Toys “R” Us.",2018-08-03,Toys ‘R’ Us job carnage drags on July U.S. payroll figures,-1,"Toys ‘R’ Us job carnage drags on July U.S. payroll figures. The toll of one of the largest U.S. retail failures is evident in July employment statistics, which were held back by the collapse of Toys “R” Us."
16,Most downtown businesses are closed and the effect on tourism has been ‚Äö√Ñ√∫devastating‚Äö√Ñ√π,2020-03-25,London reeling from the economic impact of COVID-19: deputy mayor,-1,London reeling from the economic impact of COVID-19: deputy mayor. Most downtown businesses are closed and the effect on tourism has been ‚Äö√Ñ√∫devastating‚Äö√Ñ√π
1,"Supply and service sector also on edge as business slows, while government pushes for federal help",2020-05-13,"As Suncor ponders Terra Nova's future, N.L. offshore workers worry about their own",-1,"As Suncor ponders Terra Nova's future, N.L. offshore workers worry about their own. Supply and service sector also on edge as business slows, while government pushes for federal help"
101,Economists had expected a gain,2019-04-05,"Canada loses 7,200 jobs, its first employment drop in seven months",-1,"Canada loses 7,200 jobs, its first employment drop in seven months. Economists had expected a gain"
78,"Canada's economy lost 24,000 jobs last month",2019-08-09,Unemployment rate jumps to 5.7% in July as more people look for fewer jobs,-1,"Unemployment rate jumps to 5.7% in July as more people look for fewer jobs. Canada's economy lost 24,000 jobs last month"
0,"Goldman Sachs Group Inc. economists revised their forecasts to reflect a gloomier outlook for the U.S. labor market, though also the potential for a faster recovery from the coronavirus pandemic.",2020-05-13,"Goldman Sachs now sees U.S. jobless rate peaking at 25%, not 15%",-1,"Goldman Sachs now sees U.S. jobless rate peaking at 25%, not 15%. Goldman Sachs Group Inc. economists revised their forecasts to reflect a gloomier outlook for the U.S. labor market, though also the potential for a faster recovery from the coronavirus pandemic."
43,Canada's unemployment rate is 5.9 per cent,2019-12-06,Windsor's unemployment rate third highest in Canada,-1,Windsor's unemployment rate third highest in Canada. Canada's unemployment rate is 5.9 per cent
99,"UBS Group AG is telling executives in its large wealth management business to be more selective when hiring bankers as it seeks to cut costs following a challenging first quarter, according to people familiar with the matter.",2019-04-30,UBS said to tell some managers to only hire when five leave,-1,"UBS said to tell some managers to only hire when five leave. UBS Group AG is telling executives in its large wealth management business to be more selective when hiring bankers as it seeks to cut costs following a challenging first quarter, according to people familiar with the matter."
81,"Close to 60,000 people are on social assistance in the province",2019-07-18,Number of Albertans on EI declines as those accessing social assistance increases,-1,"Number of Albertans on EI declines as those accessing social assistance increases. Close to 60,000 people are on social assistance in the province"
111,"Opinion: The group is unable to deliver sustainable reductions alone, and geopolitical forces may see other players unwilling to pitch in",2018-11-29,"Even if OPEC decides to cut, oil prices could still fall in 2019",-1,"Even if OPEC decides to cut, oil prices could still fall in 2019. Opinion: The group is unable to deliver sustainable reductions alone, and geopolitical forces may see other players unwilling to pitch in"
43,Canada's unemployment rate is 5.9 per cent,2019-12-06,Windsor's unemployment rate third highest in Canada,-1,Windsor's unemployment rate third highest in Canada. Canada's unemployment rate is 5.9 per cent
97,"Developers are having a harder time securing their projects, senior economist says, which will bruise employment and consumption",2019-05-14,"The Bank of Canada is underestimating the housing slump, Capital Economics warns",-1,"The Bank of Canada is underestimating the housing slump, Capital Economics warns. Developers are having a harder time securing their projects, senior economist says, which will bruise employment and consumption"
62,Warning signs mounted today with wave of data showing slumping manufacturing,2019-10-01,Trade conflicts are hitting the global economy with an impact reminiscent of the 1930s,-1,Trade conflicts are hitting the global economy with an impact reminiscent of the 1930s. Warning signs mounted today with wave of data showing slumping manufacturing
100,"Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market.",2019-04-25,"U.S. jobless claims rise most since 2017, topping estimates",-1,"U.S. jobless claims rise most since 2017, topping estimates. Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market."
100,"Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market.",2019-04-25,"U.S. jobless claims rise most since 2017, topping estimates",-1,"U.S. jobless claims rise most since 2017, topping estimates. Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market."
38,Bank of Canada Governor Stephen Poloz said losses from the trade conflict are likely to be permanent even if growth picks up,2020-01-09,"U.S.-China pact signals global trade progress, but Poloz says it’s uncertain if Canada will benefit",-1,"U.S.-China pact signals global trade progress, but Poloz says it’s uncertain if Canada will benefit. Bank of Canada Governor Stephen Poloz said losses from the trade conflict are likely to be permanent even if growth picks up"
101,Economists had expected a gain,2019-04-05,"Canada loses 7,200 jobs, its first employment drop in seven months",-1,"Canada loses 7,200 jobs, its first employment drop in seven months. Economists had expected a gain"
101,Economists had expected a gain,2019-04-05,"Canada loses 7,200 jobs, its first employment drop in seven months",-1,"Canada loses 7,200 jobs, its first employment drop in seven months. Economists had expected a gain"
61,"The strike has chopped US$400 million in direct wages out of the U.S. economy, with half of that loss coming in Michigan",2019-10-07,"GM strike ripples across the economy, raising new recession fears",-1,"GM strike ripples across the economy, raising new recession fears. The strike has chopped US$400 million in direct wages out of the U.S. economy, with half of that loss coming in Michigan"
56,"This will protect jobs now and in the future,' finance minister says",2019-10-25,"Provincial budget cuts could take toll on Edmonton and public sector, critics say",-1,"Provincial budget cuts could take toll on Edmonton and public sector, critics say. This will protect jobs now and in the future,' finance minister says"
115,"The toll of one of the largest U.S. retail failures is evident in July employment statistics, which were held back by the collapse of Toys “R” Us.",2018-08-03,Toys ‘R’ Us job carnage drags on July U.S. payroll figures,-1,"Toys ‘R’ Us job carnage drags on July U.S. payroll figures. The toll of one of the largest U.S. retail failures is evident in July employment statistics, which were held back by the collapse of Toys “R” Us."
115,"The toll of one of the largest U.S. retail failures is evident in July employment statistics, which were held back by the collapse of Toys “R” Us.",2018-08-03,Toys ‘R’ Us job carnage drags on July U.S. payroll figures,-1,"Toys ‘R’ Us job carnage drags on July U.S. payroll figures. The toll of one of the largest U.S. retail failures is evident in July employment statistics, which were held back by the collapse of Toys “R” Us."
56,"This will protect jobs now and in the future,' finance minister says",2019-10-25,"Provincial budget cuts could take toll on Edmonton and public sector, critics say",-1,"Provincial budget cuts could take toll on Edmonton and public sector, critics say. This will protect jobs now and in the future,' finance minister says"
115,"The toll of one of the largest U.S. retail failures is evident in July employment statistics, which were held back by the collapse of Toys “R” Us.",2018-08-03,Toys ‘R’ Us job carnage drags on July U.S. payroll figures,-1,"Toys ‘R’ Us job carnage drags on July U.S. payroll figures. The toll of one of the largest U.S. retail failures is evident in July employment statistics, which were held back by the collapse of Toys “R” Us."
73,"The drumbeat of exits, rare for such a stable oil-producing country, adds an extra layer of gloom for an industry that accounts for about a fifth of Canada's exports",2019-08-22,The $30-billion exodus: Foreign oil firms keep bailing on Canada's energy sector,-1,"The $30-billion exodus: Foreign oil firms keep bailing on Canada's energy sector. The drumbeat of exits, rare for such a stable oil-producing country, adds an extra layer of gloom for an industry that accounts for about a fifth of Canada's exports"
43,Canada's unemployment rate is 5.9 per cent,2019-12-06,Windsor's unemployment rate third highest in Canada,-1,Windsor's unemployment rate third highest in Canada. Canada's unemployment rate is 5.9 per cent
83,"All parties involved should immediately come to the table to discuss solutions, Jerry Dias says",2019-07-11,Unifor wants urgent meeting to discuss pending layoffs at Bombardier Thunder Bay plant,-1,"Unifor wants urgent meeting to discuss pending layoffs at Bombardier Thunder Bay plant. All parties involved should immediately come to the table to discuss solutions, Jerry Dias says"
74,"A slowing economy and growing trade tensions suggest a cut will happen more quickly than currently accounted for, Macquarie economist says",2019-08-20,A Bank of Canada rate cut is looking more likely and the first could come as early as September,-1,"A Bank of Canada rate cut is looking more likely and the first could come as early as September. A slowing economy and growing trade tensions suggest a cut will happen more quickly than currently accounted for, Macquarie economist says"
97,"Developers are having a harder time securing their projects, senior economist says, which will bruise employment and consumption",2019-05-14,"The Bank of Canada is underestimating the housing slump, Capital Economics warns",-1,"The Bank of Canada is underestimating the housing slump, Capital Economics warns. Developers are having a harder time securing their projects, senior economist says, which will bruise employment and consumption"
2,The Fed chair in his speech outlined the worrying scenario posed by mass bankruptcies and unemployment,2020-05-13,Fed’s Jerome Powell warns coronavirus could do lasting damage to economy; policy makers will need to do more,-1,Fed’s Jerome Powell warns coronavirus could do lasting damage to economy; policy makers will need to do more. The Fed chair in his speech outlined the worrying scenario posed by mass bankruptcies and unemployment
14,'A lot of the bad news is already built into the market',2020-04-02,Stocks suffer weekly loss after dismal jobs report,-1,Stocks suffer weekly loss after dismal jobs report. 'A lot of the bad news is already built into the market'
73,"The drumbeat of exits, rare for such a stable oil-producing country, adds an extra layer of gloom for an industry that accounts for about a fifth of Canada's exports",2019-08-22,The $30-billion exodus: Foreign oil firms keep bailing on Canada's energy sector,-1,"The $30-billion exodus: Foreign oil firms keep bailing on Canada's energy sector. The drumbeat of exits, rare for such a stable oil-producing country, adds an extra layer of gloom for an industry that accounts for about a fifth of Canada's exports"
18,"Prime Minister Justin Trudeau said half a million Canadians, or about 2.5 per cent of the labor force, have applied for jobless claims this week, smashing previous records and suggesting the nation is already in a deep recession.",2020-03-20,"Canada received over 500,000 EI applications this week",-1,"Canada received over 500,000 EI applications this week. Prime Minister Justin Trudeau said half a million Canadians, or about 2.5 per cent of the labor force, have applied for jobless claims this week, smashing previous records and suggesting the nation is already in a deep recession."
78,"Canada's economy lost 24,000 jobs last month",2019-08-09,Unemployment rate jumps to 5.7% in July as more people look for fewer jobs,-1,"Unemployment rate jumps to 5.7% in July as more people look for fewer jobs. Canada's economy lost 24,000 jobs last month"
22,Decision to cut rates before scheduled meeting reflects the urgency Fed feels to fend off threat of coronavirus,2020-03-03,Fed cuts rate half point over coronavirus in first emergency move since the financial crisis,-1,Fed cuts rate half point over coronavirus in first emergency move since the financial crisis. Decision to cut rates before scheduled meeting reflects the urgency Fed feels to fend off threat of coronavirus
18,"Prime Minister Justin Trudeau said half a million Canadians, or about 2.5 per cent of the labor force, have applied for jobless claims this week, smashing previous records and suggesting the nation is already in a deep recession.",2020-03-20,"Canada received over 500,000 EI applications this week",-1,"Canada received over 500,000 EI applications this week. Prime Minister Justin Trudeau said half a million Canadians, or about 2.5 per cent of the labor force, have applied for jobless claims this week, smashing previous records and suggesting the nation is already in a deep recession."
64,Dread over prospect plug-in cars — which have fewer parts and require less labour to build — will doom auto jobs helped spark GM strike,2019-09-27,'They don't need us anymore': Auto workers are deathly afraid electric cars will eliminate their jobs,-1,'They don't need us anymore': Auto workers are deathly afraid electric cars will eliminate their jobs. Dread over prospect plug-in cars — which have fewer parts and require less labour to build — will doom auto jobs helped spark GM strike
3,Central bank officials cited risk of the potential for massive bankruptcies that could create a lasting scar,2020-05-12,Stocks tumble after double whammy of warnings from Fauci and Fed over pandemic economy,-1,Stocks tumble after double whammy of warnings from Fauci and Fed over pandemic economy. Central bank officials cited risk of the potential for massive bankruptcies that could create a lasting scar
97,"Developers are having a harder time securing their projects, senior economist says, which will bruise employment and consumption",2019-05-14,"The Bank of Canada is underestimating the housing slump, Capital Economics warns",-1,"The Bank of Canada is underestimating the housing slump, Capital Economics warns. Developers are having a harder time securing their projects, senior economist says, which will bruise employment and consumption"
101,Economists had expected a gain,2019-04-05,"Canada loses 7,200 jobs, its first employment drop in seven months",-1,"Canada loses 7,200 jobs, its first employment drop in seven months. Economists had expected a gain"
45,Unemployment rate jumps the most since 2009 to 5.9%,2019-12-06,"Canada loses 71,200 jobs in biggest employment drop in decade",-1,"Canada loses 71,200 jobs in biggest employment drop in decade. Unemployment rate jumps the most since 2009 to 5.9%"
64,Dread over prospect plug-in cars — which have fewer parts and require less labour to build — will doom auto jobs helped spark GM strike,2019-09-27,'They don't need us anymore': Auto workers are deathly afraid electric cars will eliminate their jobs,-1,'They don't need us anymore': Auto workers are deathly afraid electric cars will eliminate their jobs. Dread over prospect plug-in cars — which have fewer parts and require less labour to build — will doom auto jobs helped spark GM strike
84,"Health authorities say it's difficult to replace staff during the summer months, but activities are reduced",2019-07-09,Hundreds of hospital beds shut down across Quebec as staff go on vacation,0,"Hundreds of hospital beds shut down across Quebec as staff go on vacation. Health authorities say it's difficult to replace staff during the summer months, but activities are reduced"
26,Could be good news for the nation's increasingly tight real estate markets,2020-02-10,Condo gains push Canadian housing starts to 4-month high,0,Condo gains push Canadian housing starts to 4-month high. Could be good news for the nation's increasingly tight real estate markets
103,Realtors warn of ‘hit to the economy’ in the billions of dollars if declines continue,2019-03-05,Toronto Real Estate Board calls for looser mortgage rules as monthly sales drop most in a year,0,Toronto Real Estate Board calls for looser mortgage rules as monthly sales drop most in a year. Realtors warn of ‘hit to the economy’ in the billions of dollars if declines continue
33,Lawyers for Deborah Dugan filed a discrimination complaint with the Equal Employment Opportunity Commission,2020-01-24,Grammys CEO says she was ousted after reporting harassment,0,Grammys CEO says she was ousted after reporting harassment. Lawyers for Deborah Dugan filed a discrimination complaint with the Equal Employment Opportunity Commission
39,"(Bloomberg) — After two years of setbacks, the euro is enjoying a wave of much-needed investor optimism as 2019 draws to a close.",2019-12-27,Euro Forecasters See a World-Beating Run in 2020,0,"Euro Forecasters See a World-Beating Run in 2020. (Bloomberg) — After two years of setbacks, the euro is enjoying a wave of much-needed investor optimism as 2019 draws to a close."
6,"Trump asks Americans to be 'warriors' during pandemic, Pelosi accuses him of having no plan",2020-05-06,Trump clarifies that coronavirus task force will 'continue on indefinitely',0,"Trump clarifies that coronavirus task force will 'continue on indefinitely'. Trump asks Americans to be 'warriors' during pandemic, Pelosi accuses him of having no plan"
34,RoboHub is a robotics incubator that provides researchers with expertise and equipment,2020-01-24,University of Waterloo's RoboHub to be featured in YouTube AI series,0,University of Waterloo's RoboHub to be featured in YouTube AI series. RoboHub is a robotics incubator that provides researchers with expertise and equipment
85,"Her views on central-banking issues fall in line with the ECB's — that is, with at least one exception",2019-07-03,"The world of monetary policy, according to Christine Lagarde",0,"The world of monetary policy, according to Christine Lagarde. Her views on central-banking issues fall in line with the ECB's — that is, with at least one exception"
5,"Already strained by COVID-19, institutions could be further challenged by lack of new students",2020-05-07,Post-secondary schools face rough autumn if pandemic keeps foreign students away,0,"Post-secondary schools face rough autumn if pandemic keeps foreign students away. Already strained by COVID-19, institutions could be further challenged by lack of new students"
50,"Insolvencies are accelerating at a pace that's been associated with periods of distress, yet the economic backdrop has been positive",2019-11-18,Surge in number of Canadians who can't pay their debts has economists worried — and scratching their heads,0,"Surge in number of Canadians who can't pay their debts has economists worried — and scratching their heads. Insolvencies are accelerating at a pace that's been associated with periods of distress, yet the economic backdrop has been positive"
60,"Purchases will made up of Treasury bills, stresses buying should not be seen as return of crisis-era quantitative easing programs",2019-10-08,Jerome Powell says Fed to resume portfolio growth  — but it's not QE,0,"Jerome Powell says Fed to resume portfolio growth  — but it's not QE. Purchases will made up of Treasury bills, stresses buying should not be seen as return of crisis-era quantitative easing programs"
5,"Already strained by COVID-19, institutions could be further challenged by lack of new students",2020-05-07,Post-secondary schools face rough autumn if pandemic keeps foreign students away,0,"Post-secondary schools face rough autumn if pandemic keeps foreign students away. Already strained by COVID-19, institutions could be further challenged by lack of new students"
108,"U.S. stocks fell back toward their session lows after Trump's outburst, with the S&P 500 Index on track to close at a 19-month low",2018-12-24,"Trump renews attacks on Federal Reserve, calls it the U.S. economy's 'only problem'",0,"Trump renews attacks on Federal Reserve, calls it the U.S. economy's 'only problem'. U.S. stocks fell back toward their session lows after Trump's outburst, with the S&P 500 Index on track to close at a 19-month low"
96,Some see the loonie falling below 74 cents after the central bank’s rate decision this week,2019-05-27,Markets are more gloomy about our economy than the Bank of Canada — who’s right?,0,Markets are more gloomy about our economy than the Bank of Canada — who’s right?. Some see the loonie falling below 74 cents after the central bank’s rate decision this week
33,Lawyers for Deborah Dugan filed a discrimination complaint with the Equal Employment Opportunity Commission,2020-01-24,Grammys CEO says she was ousted after reporting harassment,0,Grammys CEO says she was ousted after reporting harassment. Lawyers for Deborah Dugan filed a discrimination complaint with the Equal Employment Opportunity Commission
54,Saint John police believe ID thieves from Montreal are part of criminal organization,2019-11-04,Sophisticated' fraud scheme tripped by power bill error,0,Sophisticated' fraud scheme tripped by power bill error. Saint John police believe ID thieves from Montreal are part of criminal organization
94,Some single adults getting an additional $27 a month while freeze leaves others behind: Make Poverty History,2019-06-05,"Freezing rental assistance while slashing PST misguided, Manitoba anti-poverty group says",0,"Freezing rental assistance while slashing PST misguided, Manitoba anti-poverty group says. Some single adults getting an additional $27 a month while freeze leaves others behind: Make Poverty History"
34,RoboHub is a robotics incubator that provides researchers with expertise and equipment,2020-01-24,University of Waterloo's RoboHub to be featured in YouTube AI series,0,University of Waterloo's RoboHub to be featured in YouTube AI series. RoboHub is a robotics incubator that provides researchers with expertise and equipment
77,"The best weather? Summerland, BC. The best place to retire is...Toronto",2019-08-12,Ontario wins big in ranking of best place to live in Canada,0,"Ontario wins big in ranking of best place to live in Canada. The best weather? Summerland, BC. The best place to retire is...Toronto"
95,Move comes after some federal departments microtargeted Facebook job ads,2019-05-30,Hiring watchdog to step up monitoring of government job ads,0,Hiring watchdog to step up monitoring of government job ads. Move comes after some federal departments microtargeted Facebook job ads
68,"Monica Rankin has been charged with theft under $5,000",2019-09-11,Windsor PSW charged with alleged theft from client,0,"Windsor PSW charged with alleged theft from client. Monica Rankin has been charged with theft under $5,000"
96,Some see the loonie falling below 74 cents after the central bank’s rate decision this week,2019-05-27,Markets are more gloomy about our economy than the Bank of Canada — who’s right?,0,Markets are more gloomy about our economy than the Bank of Canada — who’s right?. Some see the loonie falling below 74 cents after the central bank’s rate decision this week
26,Could be good news for the nation's increasingly tight real estate markets,2020-02-10,Condo gains push Canadian housing starts to 4-month high,0,Condo gains push Canadian housing starts to 4-month high. Could be good news for the nation's increasingly tight real estate markets
104,"Six miles from Apple's dazzling new Cupertino campus is an unidentified, non-descript building that could mirror how some workers are treated",2019-02-12,Behind the scenes: What it’s like to work inside Apple’s ‘black site’,0,"Behind the scenes: What it’s like to work inside Apple’s ‘black site’. Six miles from Apple's dazzling new Cupertino campus is an unidentified, non-descript building that could mirror how some workers are treated"
104,"Six miles from Apple's dazzling new Cupertino campus is an unidentified, non-descript building that could mirror how some workers are treated",2019-02-12,Behind the scenes: What it’s like to work inside Apple’s ‘black site’,0,"Behind the scenes: What it’s like to work inside Apple’s ‘black site’. Six miles from Apple's dazzling new Cupertino campus is an unidentified, non-descript building that could mirror how some workers are treated"
75,Federal program shuttered in 2010,2019-08-15,Ontario prison farms making a comeback,0,Ontario prison farms making a comeback. Federal program shuttered in 2010
104,"Six miles from Apple's dazzling new Cupertino campus is an unidentified, non-descript building that could mirror how some workers are treated",2019-02-12,Behind the scenes: What it’s like to work inside Apple’s ‘black site’,0,"Behind the scenes: What it’s like to work inside Apple’s ‘black site’. Six miles from Apple's dazzling new Cupertino campus is an unidentified, non-descript building that could mirror how some workers are treated"
82,"Tanya Smith turned down inheritance to avoid benefits problems, but government lost the paperwork",2019-07-17,Legally blind woman worried she'll lose benefits over father's will,0,"Legally blind woman worried she'll lose benefits over father's will. Tanya Smith turned down inheritance to avoid benefits problems, but government lost the paperwork"
90,"Scott Michael Curtis was serving life sentence for murder when he died of 'apparent natural causes,' says CSC",2019-06-18,Convicted murderer and accomplice of notorious serial killer Allan Legere dead at 52,0,"Convicted murderer and accomplice of notorious serial killer Allan Legere dead at 52. Scott Michael Curtis was serving life sentence for murder when he died of 'apparent natural causes,' says CSC"
108,"U.S. stocks fell back toward their session lows after Trump's outburst, with the S&P 500 Index on track to close at a 19-month low",2018-12-24,"Trump renews attacks on Federal Reserve, calls it the U.S. economy's 'only problem'",0,"Trump renews attacks on Federal Reserve, calls it the U.S. economy's 'only problem'. U.S. stocks fell back toward their session lows after Trump's outburst, with the S&P 500 Index on track to close at a 19-month low"
6,"Trump asks Americans to be 'warriors' during pandemic, Pelosi accuses him of having no plan",2020-05-06,Trump clarifies that coronavirus task force will 'continue on indefinitely',0,"Trump clarifies that coronavirus task force will 'continue on indefinitely'. Trump asks Americans to be 'warriors' during pandemic, Pelosi accuses him of having no plan"
82,"Tanya Smith turned down inheritance to avoid benefits problems, but government lost the paperwork",2019-07-17,Legally blind woman worried she'll lose benefits over father's will,0,"Legally blind woman worried she'll lose benefits over father's will. Tanya Smith turned down inheritance to avoid benefits problems, but government lost the paperwork"
