,description,publishedAt,title,title_desc_sent_1,title_desc
111,"Opinion: The group is unable to deliver sustainable reductions alone, and geopolitical forces may see other players unwilling to pitch in",2018-11-29,"Even if OPEC decides to cut, oil prices could still fall in 2019",-1,"Even if OPEC decides to cut, oil prices could still fall in 2019. Opinion: The group is unable to deliver sustainable reductions alone, and geopolitical forces may see other players unwilling to pitch in"
60,"Purchases will made up of Treasury bills, stresses buying should not be seen as return of crisis-era quantitative easing programs",2019-10-08,Jerome Powell says Fed to resume portfolio growth  — but it's not QE,0,"Jerome Powell says Fed to resume portfolio growth  — but it's not QE. Purchases will made up of Treasury bills, stresses buying should not be seen as return of crisis-era quantitative easing programs"
115,"The toll of one of the largest U.S. retail failures is evident in July employment statistics, which were held back by the collapse of Toys “R” Us.",2018-08-03,Toys ‘R’ Us job carnage drags on July U.S. payroll figures,-1,"Toys ‘R’ Us job carnage drags on July U.S. payroll figures. The toll of one of the largest U.S. retail failures is evident in July employment statistics, which were held back by the collapse of Toys “R” Us."
27,Jobless rate ticks down to 5.5 per cent on surge in full-time work,2020-02-08,"Canada added 35K full-time jobs last month, twice what was expected",1,"Canada added 35K full-time jobs last month, twice what was expected. Jobless rate ticks down to 5.5 per cent on surge in full-time work"
15,"Spending, including direct payments to individuals, dwarfs the $800 billion Obama stimulus that passed five months after the 2008 financial crash",2020-03-25,"White House, senators strike deal on America's biggest rescue package ever — $2 trillion in spending and tax breaks",1,"White House, senators strike deal on America's biggest rescue package ever — $2 trillion in spending and tax breaks. Spending, including direct payments to individuals, dwarfs the $800 billion Obama stimulus that passed five months after the 2008 financial crash"
77,"The best weather? Summerland, BC. The best place to retire is...Toronto",2019-08-12,Ontario wins big in ranking of best place to live in Canada,0,"Ontario wins big in ranking of best place to live in Canada. The best weather? Summerland, BC. The best place to retire is...Toronto"
25,"Canadians have become more confident in the prospect of wage hikes if they leave their job, another sign of health for the country’s labour market.",2020-02-13,Healthy labour market is providing wage relief in Canada,1,"Healthy labour market is providing wage relief in Canada. Canadians have become more confident in the prospect of wage hikes if they leave their job, another sign of health for the country’s labour market."
97,"Developers are having a harder time securing their projects, senior economist says, which will bruise employment and consumption",2019-05-14,"The Bank of Canada is underestimating the housing slump, Capital Economics warns",-1,"The Bank of Canada is underestimating the housing slump, Capital Economics warns. Developers are having a harder time securing their projects, senior economist says, which will bruise employment and consumption"
89,Cash earmarked for energy-efficient gas turbines needed for the $40B project and a new bridge in Kitimat,2019-06-24,"Feds announce $275M for 'largest private sector investment in Canadian history' ‚Äö√Ñ√Æ Kitimat, B.C.'s LNG project",1,"Feds announce $275M for 'largest private sector investment in Canadian history' ‚Äö√Ñ√Æ Kitimat, B.C.'s LNG project. Cash earmarked for energy-efficient gas turbines needed for the $40B project and a new bridge in Kitimat"
64,Dread over prospect plug-in cars — which have fewer parts and require less labour to build — will doom auto jobs helped spark GM strike,2019-09-27,'They don't need us anymore': Auto workers are deathly afraid electric cars will eliminate their jobs,-1,'They don't need us anymore': Auto workers are deathly afraid electric cars will eliminate their jobs. Dread over prospect plug-in cars — which have fewer parts and require less labour to build — will doom auto jobs helped spark GM strike
1,"Supply and service sector also on edge as business slows, while government pushes for federal help",2020-05-13,"As Suncor ponders Terra Nova's future, N.L. offshore workers worry about their own",-1,"As Suncor ponders Terra Nova's future, N.L. offshore workers worry about their own. Supply and service sector also on edge as business slows, while government pushes for federal help"
87,Pickup in oil and gas extraction in wake of Alberta production cuts helps boost GDP,2019-06-28,"Canada's economy shakes off doldrums, expands 0.3% in April",1,"Canada's economy shakes off doldrums, expands 0.3% in April. Pickup in oil and gas extraction in wake of Alberta production cuts helps boost GDP"
65,"Green Party Leader Elizabeth May also in N.B., says it's her third trip this year",2019-09-24,"NDP leader lands in New Brunswick, says he's sorry for not visiting sooner",0,"NDP leader lands in New Brunswick, says he's sorry for not visiting sooner. Green Party Leader Elizabeth May also in N.B., says it's her third trip this year"
81,"Close to 60,000 people are on social assistance in the province",2019-07-18,Number of Albertans on EI declines as those accessing social assistance increases,-1,"Number of Albertans on EI declines as those accessing social assistance increases. Close to 60,000 people are on social assistance in the province"
83,"All parties involved should immediately come to the table to discuss solutions, Jerry Dias says",2019-07-11,Unifor wants urgent meeting to discuss pending layoffs at Bombardier Thunder Bay plant,-1,"Unifor wants urgent meeting to discuss pending layoffs at Bombardier Thunder Bay plant. All parties involved should immediately come to the table to discuss solutions, Jerry Dias says"
98,"Central bankers, who've been slammed by Trump for not doing more to support the economy, noted livelier growth while acknowledging weak inflation",2019-05-01,"Federal Reserve holds interest rate again, reiterates patience on future path",1,"Federal Reserve holds interest rate again, reiterates patience on future path. Central bankers, who've been slammed by Trump for not doing more to support the economy, noted livelier growth while acknowledging weak inflation"
89,Cash earmarked for energy-efficient gas turbines needed for the $40B project and a new bridge in Kitimat,2019-06-24,"Feds announce $275M for 'largest private sector investment in Canadian history' ‚Äö√Ñ√Æ Kitimat, B.C.'s LNG project",1,"Feds announce $275M for 'largest private sector investment in Canadian history' ‚Äö√Ñ√Æ Kitimat, B.C.'s LNG project. Cash earmarked for energy-efficient gas turbines needed for the $40B project and a new bridge in Kitimat"
111,"Opinion: The group is unable to deliver sustainable reductions alone, and geopolitical forces may see other players unwilling to pitch in",2018-11-29,"Even if OPEC decides to cut, oil prices could still fall in 2019",-1,"Even if OPEC decides to cut, oil prices could still fall in 2019. Opinion: The group is unable to deliver sustainable reductions alone, and geopolitical forces may see other players unwilling to pitch in"
1,"Supply and service sector also on edge as business slows, while government pushes for federal help",2020-05-13,"As Suncor ponders Terra Nova's future, N.L. offshore workers worry about their own",-1,"As Suncor ponders Terra Nova's future, N.L. offshore workers worry about their own. Supply and service sector also on edge as business slows, while government pushes for federal help"
7,We recognize these decisions have significant impacts on employees',2020-04-27,MRU expands mandatory unpaid leave for employees as COVID crisis continues,0,MRU expands mandatory unpaid leave for employees as COVID crisis continues. We recognize these decisions have significant impacts on employees'
40,Dec.¬¨‚Ä†15¬¨‚Ä†we expected to get a paycheque and instead we got an email saying the company is shut down',2019-12-17,Employees shocked after Athlete Factory suddenly shuts its doors,-1,Employees shocked after Athlete Factory suddenly shuts its doors. Dec.¬¨‚Ä†15¬¨‚Ä†we expected to get a paycheque and instead we got an email saying the company is shut down'
99,"UBS Group AG is telling executives in its large wealth management business to be more selective when hiring bankers as it seeks to cut costs following a challenging first quarter, according to people familiar with the matter.",2019-04-30,UBS said to tell some managers to only hire when five leave,-1,"UBS said to tell some managers to only hire when five leave. UBS Group AG is telling executives in its large wealth management business to be more selective when hiring bankers as it seeks to cut costs following a challenging first quarter, according to people familiar with the matter."
87,Pickup in oil and gas extraction in wake of Alberta production cuts helps boost GDP,2019-06-28,"Canada's economy shakes off doldrums, expands 0.3% in April",1,"Canada's economy shakes off doldrums, expands 0.3% in April. Pickup in oil and gas extraction in wake of Alberta production cuts helps boost GDP"
25,"Canadians have become more confident in the prospect of wage hikes if they leave their job, another sign of health for the country’s labour market.",2020-02-13,Healthy labour market is providing wage relief in Canada,1,"Healthy labour market is providing wage relief in Canada. Canadians have become more confident in the prospect of wage hikes if they leave their job, another sign of health for the country’s labour market."
96,Some see the loonie falling below 74 cents after the central bank’s rate decision this week,2019-05-27,Markets are more gloomy about our economy than the Bank of Canada — who’s right?,0,Markets are more gloomy about our economy than the Bank of Canada — who’s right?. Some see the loonie falling below 74 cents after the central bank’s rate decision this week
51,Allowing more non oilsands output could have an outsized effect on employment without resulting in too much additional output,2019-11-08,Alberta loosens oil curbs by exempting new conventional wells in hopes it will spur drilling and create jobs,1,Alberta loosens oil curbs by exempting new conventional wells in hopes it will spur drilling and create jobs. Allowing more non oilsands output could have an outsized effect on employment without resulting in too much additional output
73,"The drumbeat of exits, rare for such a stable oil-producing country, adds an extra layer of gloom for an industry that accounts for about a fifth of Canada's exports",2019-08-22,The $30-billion exodus: Foreign oil firms keep bailing on Canada's energy sector,-1,"The $30-billion exodus: Foreign oil firms keep bailing on Canada's energy sector. The drumbeat of exits, rare for such a stable oil-producing country, adds an extra layer of gloom for an industry that accounts for about a fifth of Canada's exports"
3,Central bank officials cited risk of the potential for massive bankruptcies that could create a lasting scar,2020-05-12,Stocks tumble after double whammy of warnings from Fauci and Fed over pandemic economy,-1,Stocks tumble after double whammy of warnings from Fauci and Fed over pandemic economy. Central bank officials cited risk of the potential for massive bankruptcies that could create a lasting scar
75,Federal program shuttered in 2010,2019-08-15,Ontario prison farms making a comeback,0,Ontario prison farms making a comeback. Federal program shuttered in 2010
15,"Spending, including direct payments to individuals, dwarfs the $800 billion Obama stimulus that passed five months after the 2008 financial crash",2020-03-25,"White House, senators strike deal on America's biggest rescue package ever — $2 trillion in spending and tax breaks",1,"White House, senators strike deal on America's biggest rescue package ever — $2 trillion in spending and tax breaks. Spending, including direct payments to individuals, dwarfs the $800 billion Obama stimulus that passed five months after the 2008 financial crash"
49,Province plans to put $250K into ride-sharing projects in up to 3 rural areas,2019-11-19,Nova Scotia eyes ride sharing to ease rural transportation woes,1,Nova Scotia eyes ride sharing to ease rural transportation woes. Province plans to put $250K into ride-sharing projects in up to 3 rural areas
18,"Prime Minister Justin Trudeau said half a million Canadians, or about 2.5 per cent of the labor force, have applied for jobless claims this week, smashing previous records and suggesting the nation is already in a deep recession.",2020-03-20,"Canada received over 500,000 EI applications this week",-1,"Canada received over 500,000 EI applications this week. Prime Minister Justin Trudeau said half a million Canadians, or about 2.5 per cent of the labor force, have applied for jobless claims this week, smashing previous records and suggesting the nation is already in a deep recession."
98,"Central bankers, who've been slammed by Trump for not doing more to support the economy, noted livelier growth while acknowledging weak inflation",2019-05-01,"Federal Reserve holds interest rate again, reiterates patience on future path",1,"Federal Reserve holds interest rate again, reiterates patience on future path. Central bankers, who've been slammed by Trump for not doing more to support the economy, noted livelier growth while acknowledging weak inflation"
106,"'Right now, we are continuing to forecast growth this year and for the forecastable future,' Finance Minister says in Davos",2019-01-25,"Canadian expansion on track despite oil, trade headwinds: Morneau",1,"Canadian expansion on track despite oil, trade headwinds: Morneau. 'Right now, we are continuing to forecast growth this year and for the forecastable future,' Finance Minister says in Davos"
33,Lawyers for Deborah Dugan filed a discrimination complaint with the Equal Employment Opportunity Commission,2020-01-24,Grammys CEO says she was ousted after reporting harassment,0,Grammys CEO says she was ousted after reporting harassment. Lawyers for Deborah Dugan filed a discrimination complaint with the Equal Employment Opportunity Commission
30,"IT systems may not be able to handle service improvements promised by Liberals, briefing document says",2020-02-02,"Aging government computer systems at risk of 'critical failure,' Trudeau warned",0,"Aging government computer systems at risk of 'critical failure,' Trudeau warned. IT systems may not be able to handle service improvements promised by Liberals, briefing document says"
101,Economists had expected a gain,2019-04-05,"Canada loses 7,200 jobs, its first employment drop in seven months",-1,"Canada loses 7,200 jobs, its first employment drop in seven months. Economists had expected a gain"
56,"This will protect jobs now and in the future,' finance minister says",2019-10-25,"Provincial budget cuts could take toll on Edmonton and public sector, critics say",-1,"Provincial budget cuts could take toll on Edmonton and public sector, critics say. This will protect jobs now and in the future,' finance minister says"
114,"Want to join the payroll of a bankrupt retailer this holiday season? Well, has Sears Holdings Corp. got a job for you.",2018-10-15,Sears posts job openings with bankruptcy filing ink still wet,1,"Sears posts job openings with bankruptcy filing ink still wet. Want to join the payroll of a bankrupt retailer this holiday season? Well, has Sears Holdings Corp. got a job for you."
101,Economists had expected a gain,2019-04-05,"Canada loses 7,200 jobs, its first employment drop in seven months",-1,"Canada loses 7,200 jobs, its first employment drop in seven months. Economists had expected a gain"
38,Bank of Canada Governor Stephen Poloz said losses from the trade conflict are likely to be permanent even if growth picks up,2020-01-09,"U.S.-China pact signals global trade progress, but Poloz says it’s uncertain if Canada will benefit",-1,"U.S.-China pact signals global trade progress, but Poloz says it’s uncertain if Canada will benefit. Bank of Canada Governor Stephen Poloz said losses from the trade conflict are likely to be permanent even if growth picks up"
5,"Already strained by COVID-19, institutions could be further challenged by lack of new students",2020-05-07,Post-secondary schools face rough autumn if pandemic keeps foreign students away,0,"Post-secondary schools face rough autumn if pandemic keeps foreign students away. Already strained by COVID-19, institutions could be further challenged by lack of new students"
105,A sign of strength in an economy facing several other headwinds,2019-02-08,"Canada unexpectedly gains almost 67,000 jobs as private-sector hiring hits record",1,"Canada unexpectedly gains almost 67,000 jobs as private-sector hiring hits record. A sign of strength in an economy facing several other headwinds"
102,Aren’t we supposed to be in a slowdown?,2019-03-08,What gives? Canada’s job market off to its best start in almost 40 years,1,What gives? Canada’s job market off to its best start in almost 40 years. Aren’t we supposed to be in a slowdown?
115,"The toll of one of the largest U.S. retail failures is evident in July employment statistics, which were held back by the collapse of Toys “R” Us.",2018-08-03,Toys ‘R’ Us job carnage drags on July U.S. payroll figures,-1,"Toys ‘R’ Us job carnage drags on July U.S. payroll figures. The toll of one of the largest U.S. retail failures is evident in July employment statistics, which were held back by the collapse of Toys “R” Us."
86,Lagarde becomes the first woman to run euro-area monetary policy,2019-07-02,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens,-1,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens. Lagarde becomes the first woman to run euro-area monetary policy
27,Jobless rate ticks down to 5.5 per cent on surge in full-time work,2020-02-08,"Canada added 35K full-time jobs last month, twice what was expected",1,"Canada added 35K full-time jobs last month, twice what was expected. Jobless rate ticks down to 5.5 per cent on surge in full-time work"
89,Cash earmarked for energy-efficient gas turbines needed for the $40B project and a new bridge in Kitimat,2019-06-24,"Feds announce $275M for 'largest private sector investment in Canadian history' ‚Äö√Ñ√Æ Kitimat, B.C.'s LNG project",1,"Feds announce $275M for 'largest private sector investment in Canadian history' ‚Äö√Ñ√Æ Kitimat, B.C.'s LNG project. Cash earmarked for energy-efficient gas turbines needed for the $40B project and a new bridge in Kitimat"
33,Lawyers for Deborah Dugan filed a discrimination complaint with the Equal Employment Opportunity Commission,2020-01-24,Grammys CEO says she was ousted after reporting harassment,0,Grammys CEO says she was ousted after reporting harassment. Lawyers for Deborah Dugan filed a discrimination complaint with the Equal Employment Opportunity Commission
100,"Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market.",2019-04-25,"U.S. jobless claims rise most since 2017, topping estimates",-1,"U.S. jobless claims rise most since 2017, topping estimates. Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market."
27,Jobless rate ticks down to 5.5 per cent on surge in full-time work,2020-02-08,"Canada added 35K full-time jobs last month, twice what was expected",1,"Canada added 35K full-time jobs last month, twice what was expected. Jobless rate ticks down to 5.5 per cent on surge in full-time work"
56,"This will protect jobs now and in the future,' finance minister says",2019-10-25,"Provincial budget cuts could take toll on Edmonton and public sector, critics say",-1,"Provincial budget cuts could take toll on Edmonton and public sector, critics say. This will protect jobs now and in the future,' finance minister says"
82,"Tanya Smith turned down inheritance to avoid benefits problems, but government lost the paperwork",2019-07-17,Legally blind woman worried she'll lose benefits over father's will,0,"Legally blind woman worried she'll lose benefits over father's will. Tanya Smith turned down inheritance to avoid benefits problems, but government lost the paperwork"
80,"West Coast Olefins says proposed facility will create up to 1,000 permanent jobs",2019-07-29,Plastic production could create jobs as mills shut down in B.C. Interior,1,"Plastic production could create jobs as mills shut down in B.C. Interior. West Coast Olefins says proposed facility will create up to 1,000 permanent jobs"
61,"The strike has chopped US$400 million in direct wages out of the U.S. economy, with half of that loss coming in Michigan",2019-10-07,"GM strike ripples across the economy, raising new recession fears",-1,"GM strike ripples across the economy, raising new recession fears. The strike has chopped US$400 million in direct wages out of the U.S. economy, with half of that loss coming in Michigan"
51,Allowing more non oilsands output could have an outsized effect on employment without resulting in too much additional output,2019-11-08,Alberta loosens oil curbs by exempting new conventional wells in hopes it will spur drilling and create jobs,1,Alberta loosens oil curbs by exempting new conventional wells in hopes it will spur drilling and create jobs. Allowing more non oilsands output could have an outsized effect on employment without resulting in too much additional output
56,"This will protect jobs now and in the future,' finance minister says",2019-10-25,"Provincial budget cuts could take toll on Edmonton and public sector, critics say",-1,"Provincial budget cuts could take toll on Edmonton and public sector, critics say. This will protect jobs now and in the future,' finance minister says"
24,Privacy commissioner's office says it has found 'strong indications of systemic under-reporting',2020-02-14,"Personal information belonging to 144,000 Canadians breached by federal departments and agencies",0,"Personal information belonging to 144,000 Canadians breached by federal departments and agencies. Privacy commissioner's office says it has found 'strong indications of systemic under-reporting'"
97,"Developers are having a harder time securing their projects, senior economist says, which will bruise employment and consumption",2019-05-14,"The Bank of Canada is underestimating the housing slump, Capital Economics warns",-1,"The Bank of Canada is underestimating the housing slump, Capital Economics warns. Developers are having a harder time securing their projects, senior economist says, which will bruise employment and consumption"
39,"(Bloomberg) — After two years of setbacks, the euro is enjoying a wave of much-needed investor optimism as 2019 draws to a close.",2019-12-27,Euro Forecasters See a World-Beating Run in 2020,0,"Euro Forecasters See a World-Beating Run in 2020. (Bloomberg) — After two years of setbacks, the euro is enjoying a wave of much-needed investor optimism as 2019 draws to a close."
106,"'Right now, we are continuing to forecast growth this year and for the forecastable future,' Finance Minister says in Davos",2019-01-25,"Canadian expansion on track despite oil, trade headwinds: Morneau",1,"Canadian expansion on track despite oil, trade headwinds: Morneau. 'Right now, we are continuing to forecast growth this year and for the forecastable future,' Finance Minister says in Davos"
