title,description,date,title_desc_sent_1
No decision made on Terra Nova oilfield shutdown: Suncor,Premier Dwight Ball says 'offshore industry has undergone tremendous challenges',2020-05-12,0
Trump clarifies that coronavirus task force will 'continue on indefinitely',"Trump asks Americans to be 'warriors' during pandemic, Pelosi accuses him of having no plan",2020-05-06,0
Post-secondary schools face rough autumn if pandemic keeps foreign students away,"Already strained by COVID-19, institutions could be further challenged by lack of new students",2020-05-07,0
"Economic outcomes improving for Indigenous people ‚Äî but not fast enough, report says","Parity between Indigenous, non-Indigenous Canadians won't be reached by 2022 at current pace: NIEDB",2019-06-12,0
"Feds announce $275M for 'largest private sector investment in Canadian history' ‚Äî Kitimat, B.C.'s LNG project",Cash earmarked for energy-efficient gas turbines needed for the $40B project and a new bridge in Kitimat,2019-06-24,1
"Freezing rental assistance while slashing PST misguided, Manitoba anti-poverty group says",Some single adults getting an additional $27 a month while freeze leaves others behind: Make Poverty History,2019-06-05,0
"Canada's economy shakes off doldrums, expands 0.3% in April",Pickup in oil and gas extraction in wake of Alberta production cuts helps boost GDP,2019-06-28,1
Convicted murderer and accomplice of notorious serial killer Allan Legere dead at 52,"Scott Michael Curtis was serving life sentence for murder when he died of 'apparent natural causes,' says CSC",2019-06-18,0
Number of Albertans on EI declines as those accessing social assistance increases,"Close to 60,000 people are on social assistance in the province",2019-07-18,-1
Unifor wants urgent meeting to discuss pending layoffs at Bombardier Thunder Bay plant,"All parties involved should immediately come to the table to discuss solutions, Jerry Dias says",2019-07-11,-1
Plastic production could create jobs as mills shut down in B.C. Interior,"West Coast Olefins says proposed facility will create up to 1,000 permanent jobs",2019-07-29,1
Legally blind woman worried she'll lose benefits over father's will,"Tanya Smith turned down inheritance to avoid benefits problems, but government lost the paperwork",2019-07-17,0
Hundreds of hospital beds shut down across Quebec as staff go on vacation,"Health authorities say it's difficult to replace staff during the summer months, but activities are reduced",2019-07-09,0
Ontario wins big in ranking of best place to live in Canada,"The best weather? Summerland, BC. The best place to retire is...Toronto",2019-08-12,0
Unemployment rate jumps to 5.7% in July as more people look for fewer jobs,"Canada's economy lost 24,000 jobs last month",2019-08-09,-1
Whale Tail mine expansion undergoes public hearings this week in Baker Lake,Open pit mine began commercial production this summer,2019-08-27,0
Awet Mehari granted bail pending appeal hearing for sexual assault conviction,Survivor says she's frustrated by bail decision,2019-08-13,0
Ontario prison farms making a comeback,Federal program shuttered in 2010,2019-08-15,0
City adding more voices to the group advising it on LGBTQ issues,"The committee doesn't have enough youth on it, vice chair says, or enough people of colour",2019-09-05,0
"2-week turnaround tough bid for outside cod buyers, says Gerry Byrne",FFAW's Keith Sullivan says more communication needed from processors,2019-09-13,0
Army reserves looking for recruits at P.E.I. open house,"We're always in need of new people as people leave, people retire, people transfer'",2019-09-28,1
Windsor PSW charged with alleged theft from client,"Monica Rankin has been charged with theft under $5,000",2019-09-11,0
"NDP leader lands in New Brunswick, says he's sorry for not visiting sooner","Green Party Leader Elizabeth May also in N.B., says it's her third trip this year",2019-09-24,0
Hospital laundry workers ordered back to work,Walkout deemed illegal by New Brunswick Labour and Employment Board,2019-10-18,0
Investigation into harassment allegations against Concordia creative writing prof over,"Jon Paul Fiorentino no longer works at university, but school won't say if it's connected to findings",2019-10-16,0
Facebook CEO Mark Zuckerberg to appear before Congress on currency plan,Tech giant is under pressure from lawmakers over its massive market power and record of privacy breaches,2019-10-09,0
MLB conducting wider probe of Astros after assistant GM fired,Brandon Taubman directed inappropriate comments at female reporters following team's pennant-clinching win,2019-10-25,0
"Provincial budget cuts could take toll on Edmonton and public sector, critics say","This will protect jobs now and in the future,' finance minister says",2019-10-25,-1
Sophisticated' fraud scheme tripped by power bill error,Saint John police believe ID thieves from Montreal are part of criminal organization,2019-11-04,0
Labour leaders vow to fight bill on essential services in nursing homes,"Proposed amendments are a 'direct assault' on collective bargaining rights, they say",2019-11-28,0
Nova Scotia eyes ride sharing to ease rural transportation woes,Province plans to put $250K into ride-sharing projects in up to 3 rural areas,2019-11-19,1
Scammers spoofing more than a dozen federal government departments to defraud Canadians,It's a new version of a scam that has ripped off thousands of individuals,2019-11-06,0
Municipal investigator contradicts allegations in Norman Wells lawsuit,Management consultant says SAO being sued by the town was a dedicated employee,2019-11-27,0
"Retirement payments for city workers date back to at least 1964, city clerk says",It was previously thought the payments began in the 1980s,2019-12-14,0
Stella's Circle holds Light Up Hope ceremony for fifth year,When they come to Stella's Circle... they experience hope',2019-12-04,0
Windsor's unemployment rate third highest in Canada,Canada's unemployment rate is 5.9 per cent,2019-12-06,-1
Employees shocked after Athlete Factory suddenly shuts its doors,Dec.¬†15¬†we expected to get a paycheque and instead we got an email saying the company is shut down',2019-12-17,-1
New draft ethics guidelines for judges caution them about post-bench work,It will be up to law societies across Canada to give the new rules teeth,2019-12-15,0
