,description,publishedAt,source,title,title_desc_sent_1
22,Boost comes from news that finance ministers and bankers to hold teleconference on coronavirus response Tuesday,2020-03-02,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",TSX snaps six-day losing streak as global stocks rally on central bank hopes,1
23,Schools could close and elective surgeries could be cancelled as officials work to stop spread of virus,2020-02-29,CBC,What's next for Canada if the WHO calls COVID-19 a pandemic?,0
24,Heavy selling may have contributed to the technical problem,2020-02-28,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",TSX ready for opening bell after early close yesterday over technical issue,0
25,Net income rises 3.5 per cent to $2.33 billion,2020-02-25,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Scotiabank profit tops estimates in revival of capital markets,1
26,American won 82 tournaments including 13 majors,2020-02-18,CBC,Hall of Fame golfer and LPGA great Mickey Wright dies at 85,0
27,"Earnings affected by drop in production, costs of rolling out edibles and vapes",2020-02-13,CBC,"Aurora Cannabis reports quarterly loss following layoffs, writedown and CEO departure",-1
28,"Statistics Canada says Alberta lost 19,000 jobs last month",2020-02-08,CBC,What Alberta job losses in January mean for Edmonton,-1
29,"UN agency has been sending testing kits, masks, gloves, respirators and gowns",2020-02-08,CBC,"As China deaths hit 722, WHO warns of global shortage of coronavirus protective equipment",0
30,Shares up 10 per cent,2020-02-04,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Bombardier shares jump on report it's in talks to sell business-jet unit to Textron,0
31,"While it's too early to assess the full impact, it will definitely have economic repercussions",2020-01-31,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",What China's unexpected coronavirus contagion could mean for Canada,0
32,Construction authorized across a swath of federal land in Montana,2020-01-22,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Keystone XL pipeline wins green light from U.S. to go ahead with key stretch of construction,0
33,Some fund managers say they're wondering if now is the time to cash in,2020-01-17,CBC,"Google parent, Alphabet, just became trillion-dollar company",1
34,Tenants' advocates worry critical housing shortage will lead to 'renters finding¬†themselves on the streets',2020-01-16,CBC,"Now is the time for action,' says Mayor Val√©rie Plante, as Montreal vacancy rate hits 15-year low",0
35,Bank of Canada Governor Stephen Poloz said losses from the trade conflict are likely to be permanent even if growth picks up,2020-01-09,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","U.S.-China pact signals global trade progress, but Poloz says it’s uncertain if Canada will benefit",0
36,Baker group poised to gain control of retailer after agreeing to Catalyst Capital's higher asking price,2020-01-06,CBC,HBC shares up on news of likely takeover deal,1
37,"Central bank noted U.S. economy 'showing resilience' despite trade war, according to minutes of Dec. meeting",2020-01-03,CBC,Fed saw last month less risk of U.S. recession,1
38,Montreal-based company holds 50% stake in Bombardier Sifang Transportation Ltd.,2020-01-02,CBC,Bombardier joint venture lands $427 million US contract to build high-speed trains in China,0
39,Jim Pattison Group's $16-per-share offer had just 45% support from lumber producer's minority shareholders,2019-12-17,CBC,Canfor privatization deal called off after failing to win shareholder support,-1
40,"Tenants will begin moving in this week, mayor says",2019-12-15,CBC,Brand new TCHC residence opens in Regent Park just in time for the holidays,0
41,Americans upped the minimum allowable size of lobster for import in 1989,2019-12-13,CBC,The small change that meant big losses for lobstermen,0
42,President Donald Trump says U.S. is 'very close' to nailing down trade deal with China,2019-12-12,CBC,U.S. stocks reach new highs after rumours of 50% cut on Chinese tariffs,1
43,World's most valuable listed company,2019-12-10,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Saudi Aramco overtakes Microsoft, Apple in debut to hit market value of $1.88 trillion",0
44,Royal Bank of Canada’s record-breaking profit engine may be running out of steam,2019-12-04,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Royal Bank of Canada misses expectations in tough times for investment banking,-1
45,"Canada's Food Price Report 2020 cites changing weather patterns, 'elephant in the room,' as big factor",2019-12-04,CBC,"Canadian families will pay nearly $500 more in 2020 for food, report says",0
46,BMO hikes dividend as earnings beat expectations,2019-12-03,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Bank of Montreal slashes workforce in deepest cuts the industry has seen in years,1
47,Local foodie eats his way through Regina to share his take on what‚Äôs good,2019-11-28,CBC,Cabbage rolls by the thousand: Peg's Kitchen's success lies in bringing 'down-home' Sask. cooking to the city,0
48,"The U.S. stock market's record-setting rally will lose some steam in 2020, with the risk of a pullback increasing in the next few months",2019-11-27,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","RBC sees stock turbulence ahead as S&P 500 pushes toward 3,350",-1
49,"Stock exchanges aren’t what they used to be. You can tell just by stepping onto the floor of the most powerful one in the world, on Wall Street in New York.",2019-11-27,Bloomberg News,Old stock exchange buildings are being turned into swanky hotels,0
50,"TD Bank will own about 13% of combined company, which will control about control 24 million accounts",2019-11-25,CBC,TD Ameritrade to be bought by Charles Schwab in $26B brokerage blockbuster,1
51,"Shifting strategies and inconsistencies have frustrated investors, including a mortgage misstep that saw CIBC go from leader to laggard in two years",2019-11-19,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",CIBC’s 'day late and a dollar short' missteps turn investors off,-1
52,The $1.42-billion US deal will be the ninth cloud-focused acquisition for the Canadian-based company,2019-11-11,CBC,OpenText Corp. to buy cloud-focused Carbonite Inc. in billion dollar deal,1
53,Saudi Arabian oil giant Aramco will sell shares publicly for the first time in December,2019-11-08,CBC,What the Saudi Aramco IPO could mean for the future of the oil industry,1
54,"While politicians may choose to ignore climate science, money managers cannot",2019-11-06,CBC,The market battle for climate supremacy heats up: Don Pittis,0
55,"Richard Branson plucks a dried grasshopper from a jar, takes a bite, and pronounces the insect surprisingly tasty before slurping down a vegan yogurt and offering to trial the concoction on Virgin Atlantic Airways flights.",2019-10-28,Bloomberg News,Branson ready for his biggest test yet as space shot beckons,0
56,"During a year in which pot stocks have cratered, the outlook for earnings has become hazier than almost any other sector",2019-10-25,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Cannabis earnings confound analysts after sector's horrible year,-1
57,Financial rescue package from Japanese tech giant offers Adam Neumann 'a golden helicopter',2019-10-23,CBC,WeWork co-founder pushed aside in $5B SoftBank takeover,-1
58,Group has agreed to pay $10.30 per share in cash to take the company private,2019-10-21,CBC,Sweetened bid for HBC by Baker-led shareholder group gets board's approval,0
59,"Tight regulations have unintended consequences, create waste, retailers and producers say",2019-10-17,CBC,"Alberta cannabis industry readies for edibles, but details still murky",0
60,The U.S. held off on tariffs set to kick in Tuesday but has yet to cancel plans for more tariffs in December,2019-10-16,CBC,U.S. stock indexes wobble as traders turn cautious over trade,-1
61,"After initial 'bubble' in cannabis stocks, analyst expects about a half dozen companies to survive, thrive",2019-10-14,CBC,"Prairies 'bright spot' in Canadian cannabis market as legalization anniversary nears, expert says",1
62,"It’s like a gravitational field the S&P 500 can’t get free from, the place to which all rallies must return. And it was back in force Wednesday, eliciting angry notice from President Donald Trump as waves of selling dragged the benchmark within points of where it stood 21 months ago.",2019-10-02,Bloomberg News,"Actually, the stock market has barely moved in the two years under Trump",-1
63,The veteran CBC News correspondent took calls from Checkup listeners,2019-09-30,CBC,Peter Mansbridge on the federal election and his new CBC documentary,0
64,Experts weigh in on refining your search and getting your profiles right,2019-09-24,CBC,Job hunting advice: Tips for how to be effective today,0
65,"Lender is considering issuing two residential mortgage-backed securities each year, helping to establish private RMBS market in Canada",2019-09-24,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Home Capital gives Canada’s mortgage-backed market a boost,0
66,"I think this kind of a catch-your-breath moment for the markets, analyst said",2019-09-23,CBC,"TSX falls from record high after a week of gains, U.S. markets mixed",-1
67,Strength of banks and oil companies driving recent gains,2019-09-20,CBC,TSX closes at record high as oil rally continues,1
68,Things are about to get interesting,2019-09-16,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","After stellar September, stock bulls now see choppy markets ahead for Canada",0
69,Chief Mario Draghi pledge indefinite stimulus Thursday,2019-09-12,CBC,European Central Bank introduces aggressive stimulus package to revive ailing economy,0
70,"Before China suspended Canadian shipments a, companies like Maple Leaf Foods were enjoying a windfall from surging Chinese demand and prices",2019-09-03,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Processors, not ranchers, bearing the brunt of China's ban on Canadian meat",-1
71,"Commentary: Judging by the record haul of cash he's hoarding, it's safe to assume he doesn't expect the market to remain elevated forever",2019-08-26,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","In elevated market, Warren Buffett is missing from the chatter. That doesn't mean his views are any less clear",-1
72,With training camps fast approaching these valued vets are worth watching,2019-08-14,CBC,NHL free agency: Plenty of talented players still up for grabs,0
73,Dow tumbles 800 points; TSX down 300,2019-08-14,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Stocks get hammered as bond market’s warning spooks investors,-1
74,Kicking the tires on the federal party's new energy and environment plan,2019-08-12,CBC,OPINION | Greens' climate plan adds up to Mission: Improbable,0
75,"Gold has risen 4.3 per cent this week, the largest increase since April 2016",2019-08-09,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","'The genie is out of the bottle': Gold is having its best week in 3 years after breaching $1,500",0
76,Ride-hailing giant said it paid $3.9 billion in stock-based compensation and expenses during the quarter,2019-08-08,CBC,Uber loses $5.24B in Q2 after post-IPO stock payouts,-1
77,Average selling price of a home has risen 11% in last 12 months,2019-08-08,CBC,Rising Vanier house prices spark gentrification fears,0
78,"After Trump pledges more tariffs, China allows currency to fall and threatens agricultural tariffs",2019-08-05,CBC,Chinese yuan falls to 11-year low amid trade tensions,0
79,"New stock, new uses driving prices",2019-07-31,CBC,How Charlottetown has become one of the hottest housing markets in Canada,0
80,Gavin Hattersley will replace Mark Hunter as Molson Coors Brewing Co. CEO who retires next month,2019-07-31,CBC,New Molson Coors CEO to address flat beer market with spiked seltzers,-1
81,"As competitors shut down locations and slash costs, Aritzia's strategy of affordable luxury is working",2019-07-30,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Meghan Markle’s favourite affordable Canadian brand is defying the trend of retail decline,0
82,"Spending on big ticket items is about to resume, says strategist",2019-07-26,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","With the Bank of Canada on hold, watch our $2.19 trillion household debt load grow",0
83,Couche-Tard makes strategic cannabis move with investment in Fire & Flower,2019-07-24,CBC,Edmonton-based cannabis retailer set to grow with investment from global retailer,1
84,"Company cautions consumers to expect shortages, analyst warns of financial impact",2019-07-08,CBC,CannTrust's cannabis sales put on hold by Health Canada for unlicensed growing,-1
85,Crown corporation's annual report released Thursday,2019-07-04,CBC,SaskEnergy to launch rebate program for high-efficiency furnaces,0
86,"Billionaire holds 11 per cent of Well Health, 'the WeWork of doctors'",2019-07-04,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Li Ka-Shing buys into Canadian startup out to digitize doctors’ outdated paper files,0
87,Treasury Secretary Steven Mnuchin expressed optimism that a deal could be reached by year end,2019-06-26,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",U.S. set to delay more China tariffs ahead of Trump-Xi meeting,1
88,Calgary and Edmonton's young demographics make it a good fit for creating new rental units,2019-06-18,CBC,"Office buildings turn to apartments, bring downtown Calgary back to life",0
89,"Federal cabinet approved controversial project Tuesday, but hurdles remain",2019-06-18,CBC,Oilpatch pushes for construction to start immediately on green-lit Trans Mountain pipeline,0
90,"President Donald Trump, gearing up for the official start of his 2020 campaign, warned that the U.S. would face an epic stock market crash if he’s not re-elected.",2019-06-15,Bloomberg News,Trump warns of epic stock market crash if he's not re-elected,0
91,"Company shuttered its Montreal sales office in March, and local businesses say it's been hard to get in touch",2019-06-07,CBC,Quebec business owners say Groupon owes them cash as its northern presence fades,0
92,"'You have to be very, very brave to call the top for the tech sector'",2019-06-05,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Are tech's glory days over? This US$442 billion money manager thinks so,-1
93,"Officials didn't say which firms are being investigated, as shares in Facebook, Google, Amazon and Apple fall",2019-06-04,CBC,U.S. Congress launches antitrust probe into big tech companies,-1
94,"From sorrel sauce to berry cordials to a new kind of pesto, here‚Äôs how to make the most of it",2019-06-04,CBC,"What to cook in June: Spring's bounty of sorrel, radishes, garlic scapes and strawberries is finally here",0
95,Quebec engineering giant accused of bribing Libyan officials while Gadhafi in power,2019-05-29,CBC,"SNC-Lavalin to stand trial on corruption charges, Quebec judge rules",0
96,Stocks tumbled after the President shocked investors by threatening to hike tariffs on Chinese goods — just when things seemed to be going so well,2019-05-06,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","With two tweets, Trump shatters historic calm in global markets",-1
97,"Stephen Poloz has inverted Canada’s yield curve. The central bank’s decision to remove a bias to higher interest rates pushed longer-term government bond yields lower, dropping them below short-term debt.",2019-04-24,Bloomberg News,Poloz inverts Canada’s yield curve by removing rate-hike bias,-1
98,Policy makers gathered for IMF meeting worry about central bank independence ‘in the most important jurisdiction in the world’,2019-04-15,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Trump is slamming the Fed again, saying stocks should be 5,000-10,000 higher",0
99,'We got in two months what we thought we'd achieve through the course of the year. It's a bit disconcerting',2019-04-01,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Cannabis gives Canadian stocks their best high in 19 years. Will it last?,1
100,"Aramco plans to invest US$500 billion over the next decade, and much of that will be on refineries and chemical plants",2019-03-27,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Saudi Aramco to buy $69 billion Sabic stake in biggest ever Middle East deal,0
101,"Step aside, yoga pants: Levi Strauss & Co.’s IPO plan shows jeans are back in the game.",2019-03-11,Bloomberg News,Levi’s IPO shows denim is back in the war against yoga pants,0
102,"The decision of the world’s largest sovereign wealth fund to reduce holdings in oil stocks wasn’t as far-reaching as the industry feared, but dealt a symbolic blow to fossil fuels that will reverberate for energy companies and their investors.",2019-03-08,Bloomberg News,Norway deals a blow to an oil industry that's quickly losing friends,-1
103,"Trichome Financial, led by Michael Ruscetta, will only lend to Canadian firms at first but wants to develop a structure that will allow it to lend elsewhere",2019-02-20,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Goldman Sachs alumnus readies $100-million war chest to jump into cannabis debt financing,0
104,"Right now, he says, there's a spirit of thinking the lengthy bull market 'ought to come to an end soon'",2019-02-12,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Recession risk looks elevated, says Nobel economist Robert Shiller",-1
105,Investors urged to ‘recalibrate’ their expectations to what is arguably one of the most important trends in the industry in years,2019-02-05,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Mortgage growth, the bread and butter of Canadian banks, has shrunk to 17-year low",-1
106,Oil cuts that boosted price send clear signal 'You can't grow. Don't even try',2019-01-21,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Why are energy stocks so cold when Canadian oil prices are so hot?,-1
107,TSX up seven per cent since Jan. 1 on 11th straight day of gains. But what's that got to do with Cheech & Chong?,2019-01-18,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Canadian stocks post their best start to the year since 1980,1
108,"Slack Technologies Inc. plans to forgo a traditional initial public offering and instead intends to sell its shares to bidders in a direct listing, a person familiar with the matter.",2019-01-11,Bloomberg News,Slack is planning for direct share listing instead of an IPO,0
109,"As a turbulent December in equity markets draws to a close, there’s one thing traders and investors can agree on: these are not usual times, especially for this time of year.",2018-12-27,Bloomberg News,‘Completely bizarre’ stock moves leave traders scratching heads,-1
110,Ottawa warned it could face ‘severe consequences’ if Wanzhou Meng not released immediately,2018-12-10,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",China accuses Canada of violating bilateral agreement in Huawei arrest,0
111,Stocks go south and President Donald Trump goes quiet.,2018-12-06,Bloomberg News,Trump hasn’t tweeted about the stock market since Nov. 12,-1
112,"Apple Inc. analysts expect continued volatility as the company grapples with the prospect of slowing iPhone sales and tariffs against mobile devices made in China, but they also see an opportunity emerging after the biggest monthly decline for the stock in more than a decade.",2018-11-28,Bloomberg News,Apple bulls see long-term potential despite recent ‘horror show’,-1
113,"Brookfield is weighing options that would give it control of some retail properties from Meraas, including entering into a joint venture for those developments, sources say",2018-11-27,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Brookfield in talks to invest in Dubai property developer Meraas,1
114,"The flood of U.S. pot companies onto Canadian stock exchanges continued Friday, with DionyMed Holdings Inc. receiving conditional approval for its listing after raising $35 million in a private placement.",2018-11-23,Bloomberg News,U.S. pot rush continues as DionyMed prepares to list in Canada,1
115,"Chinese equities have already lost US$3 trillion in market value since January, and hopes for better days ahead are fading.",2018-10-26,Bloomberg News,Here are the reasons China's equity rout is getting even worse,-1
116,The rout in Chinese equities is throwing the spotlight on US$613 billion of shares pledged as collateral for loans.,2018-10-16,Bloomberg News,China’s stock rout puts US$613B of share pledges at risk,-1
117,"For some Philippine money managers, it’s still too soon to scoop up shares in the world’s worst-performing stock market.",2018-10-03,Bloomberg News,The world's worst stock market is still not cheap enough to buy,0
118,"U.S. stocks dropped from early session highs to cap a record-breaking week with something of a whimper. Declines in tech giants including Apple Inc. (AAPL.O), Amazon.com Inc. (AMZN.O) and Facebook Inc. (FB.O) dragged on benchmarks as quarterly rebalancing spurred trading.",2018-09-20,Bloomberg News,U.S. stocks weather quad witching to cap record week,-1
119,"Crypto stocks were all the rage last year, until they weren’t. Will cannabis companies meet the same fate?",2018-09-19,Bloomberg News,Hype around pot stocks has echoes of crypto craze,0
120,"While Europe’s second-tier airlines collapse or wrestle with stretched finances, Wow Air plans to sell shares to the public.",2018-09-19,Bloomberg News,A low-cost airline is planning a rare IPO,0
