,description,publishedAt,source,title,title_desc_sent_1
34,Liberals' promised tax cut may help 20 million Canadians - but only a little,2019-12-31,CBC,Are 2020's tax changes 'significant' or 'a wash'?,0
35,Liberals' promised tax cut may help 20 million Canadians - but only a little,2019-12-31,CBC,Are 2020's tax changes 'significant' or 'a wash'?,0
36,"Sales of new U.S. homes increased in November, capping the best three months for demand since 2007 and reflecting sustained momentum in a residential real estate market that’s helping to underpin the economy.",2019-12-23,Bloomberg News,"New home sales rise in U.S., cap best three months since 2007",0
37,Michelle Paquette cares for 5 children; 2 have disabilities,2019-12-13,CBC,A mother should never ever have to be put in this position': Chilliwack mom on brink of homelessness,0
38,"Some are angry, others are optimistic — but there's no shortage of opinion",2019-12-07,CBC,The day after the deal: How do Calgarians feel about funding a new arena?,0
39,The board has begun a search to select the next Governor of the Bank,2019-12-06,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Bank of Canada governor Stephen Poloz to step down June 2020,0
40,Realtors are cautioning values could continue rising given the dearth of listings and supply,2019-12-04,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Toronto home prices grow at fastest pace in two years,1
41,170 housing units sat empty for years after the Faro mine closed in 1997,2019-12-03,CBC,Faro's abandoned homes have all been sold,1
42,"Canadians living in the North should receive higher rebates to compensate for federal carbon tax, he says",2019-11-28,CBC,Nunavut premier calls for bigger carbon tax rebates in the North,0
43,Compared to a 3.7 per cent national increase for the average home price,2019-11-27,CBC,"Hamilton-Burlington average home price to rise 3.8 per cent in 2020, ReMax estimates",1
44,"Rosenberg is starting his own independent consulting firm, Rosenberg Research and Associates",2019-11-19,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",David Rosenberg leaving Gluskin Sheff to start his own research firm,0
45,"One woman actually said ... my expiry date has come and gone,' says researcher",2019-11-18,CBC,Thesis project shares stories of older women in insecure housing,0
46,British Columbia to introduce legislation late next year that would establish a joint financial-services and real estate watchdog by spring 2021,2019-11-12,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Crackdown on dirty money in Vancouver real estate continues with creation of new watchdog,-1
47,"Shelters are full, wait lists are long and market rents are too high for most single mothers",2019-11-12,CBC,She fled domestic abuse. Now she and her daughter are victims of the housing crisis,1
48,Squamish Nation plans to build 11 housing towers on reserve land in the heart of the city,2019-11-08,CBC,Vancouver mayor calls massive First Nation development a 'gift to the city',0
49,Investors who bet on the equity version of real estate see massive returns,2019-11-07,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","If you thought Toronto real estate was the best way to get rich, you'd be wrong — stocks have done better",1
50,"Provincial, municipal policy will have a more direct effect",2019-10-27,CBC,What a Liberal minority government means to Vancouver real estate,0
51,"Some condo owners forced to pay $6,000 more each year for insurance",2019-10-25,CBC,Wood Buffalo council will lobby province over condo insurance crisis,1
52,Nutritious food basket survey calculates cost of healthy food in region,2019-10-18,CBC,Paying for healthy food and rent 'absolutely impossible' for many in K-W,0
53,Newly released documents show Tarion CEO made $769K in 2018,2019-10-16,CBC,"Advocate slams 'outrageous' Tarion executive salaries, calls for cap",0
54,"Northerners say they've heard promises, but see little action on critical issues",2019-10-15,CBC,Nothing short of disappointing': North a low priority in federal election,0
55,Fort McMurray has become a showcase for the debt troubles many Canadians are facing,2019-10-11,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",From binge to bust: A Canadian oil town lines up at the food bank,0
56,The sprawling suburbs around Toronto the Liberals swept in 2015 are turning to the Conservatives as the cost of living soars,2019-10-09,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Liberals face tough battle over wallets in key part of Ontario that will decide Trudeau's fate,1
57,"Canada’s political party leaders are making affordability the central talking point of their election campaigns, rolling out targeted measures to alleviate the financial strain besetting voters.",2019-10-04,Bloomberg News,"From childcare to transit, Canadian voters are feeling pinched",0
58,What do booming housing markets mean for Canadian communities?,2019-09-28,CBC,"Higher home prices, higher debt levels and how they affect our choices",1
59,"Lender is considering issuing two residential mortgage-backed securities each year, helping to establish private RMBS market in Canada",2019-09-24,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Home Capital gives Canada’s mortgage-backed market a boost,0
60,6 candidates in crowded field find common ground on most issues,2019-09-18,CBC,Kam Lake candidates trade cost of living solutions in community debate,0
61,Rylund Johnson and Jan Vallillee challenge incumbent Cory Vanthuyne in Yellowknife riding,2019-09-18,CBC,The candidates: Yellowknife North,0
62,Candidates pare back some of the bickering that marked 2 earlier debates,2019-09-13,CBC,"Biden clashes with Warren, Sanders on health care in 3rd Democratic debate",0
63,"Liberal Party Leader Justin Trudeau said if re-elected his government would introduce new measures aimed at improving housing affordability, which would include a federal speculation tax on non-residents.",2019-09-12,BNN Bloomberg,Trudeau promises new speculation tax on foreign buyers if re-elected,-1
64,It would bring life to an area that is usually not utilized',2019-09-06,CBC,"Small space, big impact: Tiny homes could soon be coming to Edmonton properties",-1
65,"In a policy statement due at 10 a.m., economists expect Poloz to underline his unease with the global trade outlook and signal a willingness to cut rates",2019-09-04,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",It's getting harder for the Bank of Canada to ignore the trade war,0
66,Edmonton-Strathcona is the lone riding for the federal NDP,2019-08-25,CBC,"Federal NDP leader Singh makes stop in Edmonton, party's lone Alberta riding",0
67,Housing advocates say the project still doesn't address the growing need for middle-income family housing,2019-08-21,CBC,Government says new Victoria micro-apartments will help with middle-income housing crisis,1
68,"Sales up in most large markets, including Calgary, Edmonton, Toronto, Montreal, B.C. Lower Mainland",2019-08-15,CBC,"Home sales climb higher in July, Canadian Real Estate Association reports",1
69,People are doing things like installing wood-burning stoves ... they're really moving in',2019-08-15,CBC,"You aren't allowed to live in your RV year round, regional district warns",0
70,Already owns about 51 per cent of Canfor's shares,2019-08-12,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Canfor soars 70% on billionaire Jim Pattison’s bid to take it private,0
71,"But 'residential construction activity remains rock solid,' BMO economist says",2019-08-09,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Canadian housing starts decline 9.6% in July on multi-unit drop,-1
72,Townhouse sales saw a particularly sharp increase of 45.1 per cent over July 2018,2019-08-07,CBC,"Hot housing market in K-W matched hot temperatures in July, realtors say",1
73,"The benchmark price rose 4.4 per cent to $800,900, largely driven by gains in the condo segment",2019-08-06,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Toronto home sales jump 24%, prices climb amid housing supply crunch",1
74,"Spending on big ticket items is about to resume, says strategist",2019-07-26,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","With the Bank of Canada on hold, watch our $2.19 trillion household debt load grow",0
75,‘I wouldn't want to see some markets cool a lot more than they have’,2019-07-25,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Royal Bank CEO says housing market now ‘well-balanced’ but stress test could be tweaked,0
76,‘I wouldn't want to see some markets cool a lot more than they have’,2019-07-25,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Royal Bank CEO says housing market now ‘well-balanced’ but stress test could be tweaked,0
77,"Renovation and construction dot Tyendinaga Mohawk Territory in Ontario, much of it fuelled by marijuana",2019-07-21,CBC,"THC slushies, pirate radio and the cannabis-driven boom in a Mohawk community",0
78,Housing policies have been aggressive and climate change is a let-down to voters,2019-07-19,CBC,It's been 2 years since the B.C. NDP formed government. How is it faring?,0
79,Poloz and Wilkins warn that markets overestimate the power of a rate-cut quick fix,2019-07-11,CBC,Canadian and U.S. economies are converging but danger lurks: Don Pittis,-1
80,35 units will available priced at 80 per cent of the local average market rent,2019-07-06,CBC,Stratford accepting applications for affordable housing project,1
81,"Mayor John Tory says 11 sites already identified for conversion to affordable housing, report coming this fall",2019-07-04,CBC,Anti-poverty group wants vacant downtown properties turned into affordable housing,1
82,"Plans call for two office towers, of 58 and 48 stories, about 800 rental apartments across two buildings and 200,000 square feet for retail",2019-06-26,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Oxford Properties Group is planning one of Canada's biggest real estate projects in Toronto,1
83,"Trains, trucks deliver pipes to Alberta and B.C. for delayed pipeline project",2019-06-17,CBC,We're anxious to get it in the ground': Pipe yards fill ahead of federal decision on Trans Mountain expansion,0
84,"New rules for developers will come into effect in 2 years, but new homes can't be built fast enough for some",2019-06-15,CBC,"As Montreal families desperately hunt for affordable housing, advocates warn of looming crisis",1
85,"A new study says we’re particularly bad at saving, so we enlisted an expert for help",2019-06-12,CBC,Why Canadians find saving so hard — and how to get better at it ASAP,0
86,"Salt Spring Island laundering claim by B.C. government had tenuous link to the Indian owner, who had purchased years before alleged crime",2019-06-10,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Another misstep as B.C. fails to prove this tycoon's idyllic estate was bought with embezzled money,-1
87,Signs that financial strains are higher here in Canada,2019-06-10,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Three reasons Canadians will feel the pain of the next recession more than Americans,0
88,Latest report shows property sales 23 per cent below 10-year average,2019-06-05,CBC,Metro Vancouver housing sales remain sluggish in May,-1
89,"Parking during peak times will cost $3 an hour during the summer, $2 an hour the rest of the year",2019-06-01,CBC,New parking fees come into effect this weekend on Granville Island,0
90,Newsletter: A closer look at the day's most notable stories,2019-05-27,CBC,Why the Fiat Chrysler-Renault merger proposal is more shotgun wedding than fairy-tale romance,0
91,"Move to towns near secondary cities is growing in popularity, real estate agents say",2019-05-26,CBC,Homebuyers escape high housing costs by relocating to secondary cities,1
92,"Bill 108 meant to spur new homes, but Ottawa sees 'one-size-fits-all' solution",2019-05-24,CBC,"Housing bill threatens funds for parks and rec, city fears",0
93,Jobandeep Singh Sandhu says he had no choice but to work extra hours to pay for his program,2019-05-24,CBC,"Thousands join effort to stop international student from being deported for 'working too hard,' he says",0
94,"Current wait times for affordable units are lengthy, says Housing Cambridge GM",2019-05-21,CBC,How the city of Cambridge hopes to pay for more affordable housing,1
95,"A closer reading of the studies show there's little hard evidence of actual money laundering, and even then, the amounts could be much smaller",2019-05-16,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Vancouver’s dirty money figures: The smoking gun that wasn’t,1
96,"From Vancouver penthouses to Whistler chalets, $7 billion in dirty money was funnelled through the province last year",2019-05-10,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",How Vancouver became the world’s 'laundromat for foreign organized crime’,-1
97,"Average selling price climbs 1.9% to $820,148",2019-05-06,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Toronto housing market starts buying season with a bang, sales up 17%",1
98,"Falling resource production was the main culprit, with the mining and oil and gas sector down 1.6% — its sixth consecutive drop",2019-04-30,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Canada’s economy unexpectedly shrinks as resource sector stalls,0
99,But underlying demand was weaker than the headline number,2019-04-26,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Trump hails America’s blockbuster GDP growth — 'far higher than the high expectations',0
100,"It's a new world for Vancouver's housing market, where Chinese investors are decamping and low-ball offers are the norm",2019-04-16,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","In Vancouver, college kids live like kings in empty mansions: Stories from a real estate market in upheaval",-1
101,"Retail sales were the big disappointment, underscoring a broader trend of slowing consumption by households",2019-03-22,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",No quick exit to our economy’s slow patch seen as today's retail sales and inflation numbers disappoint,-1
102,"Help for first-time homebuyers doesn't come into effect until the fall, meaning some might hold off on jumping into real estate until they can take advantage",2019-03-21,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Trudeau's new housing measures could end up crushing sales in an already depressed market,-1
103,Bank of Canada Governor Stephen Poloz acknowledges he's getting heat over higher borrowing costs from Canadians themselves,2019-03-14,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Why central banks — including Canada's — are finding it so hard to get interest rates back to 'normal' territory,0
104,Manulife plans to more than double assets in its wealth unit and hire five new portfolio managers,2019-02-21,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Manulife zeroes in on Canada's rich as it looks to grab a bigger slice of growing wealth industry,0
105,January saw home sales in Montreal climb the fastest in a decade as lower prices and a booming economy lured buyers,2019-02-19,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Montreal poised to overtake Vancouver as Canada’s second largest housing market,1
106,Investors urged to ‘recalibrate’ their expectations to what is arguably one of the most important trends in the industry in years,2019-02-05,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Mortgage growth, the bread and butter of Canadian banks, has shrunk to 17-year low",-1
107,Supply side measures that include removing red tape to get more homes built more quickly are seen as a better way to get the affordability in check,2019-01-28,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Doug Ford’s fix for Toronto's housing crisis is easy: Just build more homes,-1
108,It's a worrying sign for an economy that has relied so heavily on consumer spending and the housing market to drive growth,2019-01-08,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",More people are going broke in Canada as interest rates rise,-1
109,Many Canadian equity strategists are predicting double-digit gains for 2019,2019-01-02,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canadian stocks just suffered the worst year in a decade, but analysts say the future looks brighter",0
110,"U.S. stocks fell back toward their session lows after Trump's outburst, with the S&P 500 Index on track to close at a 19-month low",2018-12-24,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Trump renews attacks on Federal Reserve, calls it the U.S. economy's 'only problem'",0
111,"Record debt burdens, rising borrowing costs and, in some cases, bigger payday loans are driving many Canadians to insolvency",2018-12-20,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Higher interest rates pushing more Canadians to seek debt relief as business booms for insolvency trustees,-1
112,New listings down 26%,2018-12-05,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Toronto housing sales fall the most in eight months, but prices stay steady",-1
113,Canada's home builders are urging the federal government to relax the mortgage rules that have succeeded in cooling the housing market,2018-11-30,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Mortgage rules now 'overkill' that are hitting millennials particularly hard, home builders say",-1
114,"'We're making an unprecedented commitment here to below-market housing. Our approach here ensures a truly mixed-income community,' exec says",2018-11-30,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Sidewalk Labs' latest pitch to win over skeptical Toronto: Help for housing gridlock,-1
115,A Federal Reserve paper says there's little evidence millennials have different tastes when it comes to what they spend their money on,2018-11-29,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Millennials are no different from their baby boomer parents — they're just poorer,-1
