,description,publishedAt,source,title,title_desc_sent_1
11,"Provinces need help to keep costs of COVID-19 down, Manitoba premier says",2020-04-06,CBC,Pallister repeats call for Ottawa to borrow on behalf of provinces,0
12,"Ontario projects between 3,000 and 15,000 deaths over 18-24 months of pandemic",2020-04-04,CBC,Coronavirus: What's happening in Canada and around the world on April 3,0
13,"Airline lobby group warns that, without aid, companies will fold and thousands more will be laid off",2020-04-01,CBC,"Canada's airline, tourism sectors facing 'catastrophic' decline due to COVID-19 pandemic",-1
14,"When this is all over, will penny-pinchers remember the value of governments?",2020-03-20,CBC,"As COVID-19 hits the economy, bailouts are a fresh reminder why governments matter: Don Pittis",0
15,The Bank of England cut interest rates to a record-low 0.1 per cent and added 200 billion pounds (US$230 billion) to its asset-purchase program in its latest emergency action to mitigate the economic impact of the coronavirus pandemic.,2020-03-19,Bloomberg News,BOE cuts rate in second emergency move to combat virus shock,-1
16,"When stock markets go down by 7%, automatic trading halts kick in to calm the situation",2020-03-16,CBC,TSX and Dow Jones lose another 10% as coronavirus sell-off continues,-1
17,"'As the virus spreads, the case for a coordinated and synchronized global fiscal stimulus is becoming stronger by the hour'",2020-03-16,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",IMF ready to mobilize $1 trillion in loans to help countries counter coronavirus outbreak,-1
18,"Kathy Dunderdale, premier at time of project's sanctioning, says it's 'difficult' to read report",2020-03-11,CBC,An unrepentant Ed Martin goes on the attack in response to Muskrat Falls inquiry report,0
19,"Alberta Premier Kenney, with softened tone, shifts emphasis from restraint to protection of economy, jobs",2020-03-10,CBC,"Oil prices take biggest plunge in decades, taking another bite out of reeling Alberta",-1
20,Wide sector of industries affected — from manufacturing to tourism,2020-03-05,CBC,Businesses in B.C. 'feeling the pinch' of coronavirus outbreak on global markets,-1
21,Chance Fed could make emergency cut before March meeting,2020-03-02,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Central banks vow to act as OECD warns world economy faces ‘greatest danger’ since the financial crisis,-1
22,Former U.S. Federal Reserve governor ​Kevin Warsh is making the case for the U.S. central bank to lead coordinated interest rate cuts in order to support the global economy amid the rapid spread of coronavirus.,2020-02-27,BNN Bloomberg,Ex-Fed official urges coordinated rate cuts as virus spreads,-1
23,Annual 100-megatonne cap was introduced by Alberta's previous NDP government,2020-02-19,CBC,Ottawa formally asks Alberta to enact cap on oilsands emissions as Teck Frontier decision looms,0
24,Ball says in statement he plans to spend time with family as House besieged by scandal,2020-02-17,CBC,Dwight Ball stepping down as Newfoundland and Labrador premier,0
25,Hearings into a rate application to offer cheaper power to Port Hawkesbury Paper opened on Tuesday,2020-02-12,CBC,Nova Scotia Power tells regulators why paper mill should be given discount,0
26,"In 2019, shares of the banks gained 14 per cent; life insurers, on the other hand, enjoyed a 40 per cent surge",2020-02-06,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Canada’s once-loved bank stocks are being left behind for a new favourite: Life insurers,0
27,EGT Northwind Ltd. had requested a 50% discount on dumping fees for Imperial Oil project in Tuktoyaktuk,2020-02-05,CBC,Inuvik council approves lower dump fees for contractor working on remediation project,0
28,"Canadian banks will continue to underperform in 2020 as declines in lending activity weigh on earnings, according to strategists at Canaccord Genuity who are advising clients to underweight the group.",2020-02-04,BNN Bloomberg,Canaccord downgrades Canadian banks amid 'toxic mix' of risks,-1
29,Finance columnist Mark Ting expects more short term volatility with further drops in the Chinese stock markets,2020-02-02,CBC,How coronavirus fears could impact your investment portfolio,-1
30,At least 121 wealthy people have signed letter titled Millionaires Against Pitchforks,2020-01-22,CBC,Patriotic Millionaires urge the rich to pay 'higher and fairer taxes',0
31,Stakeholders make final arguments for and against $92M plan before EUB,2020-01-22,CBC,NB Power's smart meter plan gets major boost with critical endorsements,0
32,"Stephen Poloz, one of the few central bankers to resist the global push toward easier monetary policy last year, said the door is open for the Bank of Canada to cut interest rates if the current economic slowdown persists.",2020-01-22,Bloomberg News,Bank of Canada opens door to rate cut on persistent slowdown,-1
33,Stephen Poloz is heading into the final few months of his term as Bank of Canada governor showing few signs of giving up his status as one of the industrialized world’s most hawkish central bankers.,2020-01-21,Bloomberg News,Stephen Poloz enters home stretch hawkish on rates,-1
34,"Last year, WHO named vaccine hesitancy a Top 10 threat to global health",2020-01-20,CBC,Nearly half of Canadians are concerned about vaccine safety. Here's why.,0
35,"Details to be worked out, but government wants targets to determine grant allocation",2020-01-20,CBC,Alberta post-secondary funding will be tied to performance,0
36,Debt from all sectors — ranging from household to government to corporate bonds — has surged,2020-01-13,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Global debt-to-GDP ratio has now hit an all-time high of 322%,0
37,Consultant’s report says long-term revenue much higher than upfront infrastructure costs,2020-01-07,CBC,NB Power could energize electric car sales for $20M,0
38,Company said board of directors thought a change of leadership would help re-establish confidence in Boeing,2019-12-23,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Boeing CEO ousted as 737 Max crisis deepens,0
39,"Woodlawn United Church in Darmouth, N.S., ends year with $131 credit, rather than $9K power bill",2019-12-20,CBC,Let there be light': Solar power means church no longer pays a power bill,0
40,Bank of Canada Governor Stephen Poloz said he expects global interest rates to remain low for years to come due to the effects of structural forces such as sluggish productivity and population growth.,2019-12-12,Bloomberg News,Poloz sees era of low global interest rates amid 'structural forces',-1
41,Gibbons administrator floats plan to have town issue credit cards and collect interest,2019-12-12,CBC,"For town looking to raise money, is a new credit program in the cards?",0
42,Central bank kept key interest rate on hold last week at 1.75 per cent,2019-12-12,CBC,"Bank of Canada's Poloz says global growth to remain slow, low global interest rates",-1
43,"A key measure of U.S. consumer prices remained subdued in November, bolstering widespread expectations Federal Reserve policy makers will hold the line on interest rates.",2019-12-11,Bloomberg News,U.S. core inflation modest in November,0
44,"More than half of vacant Vancouver homes are back on the market, but can it work in Hamilton?",2019-12-09,CBC,Hamilton looks at an empty homes tax to ward off speculators and help local rents,0
45,"More than half of vacant Vancouver homes are back on the market, but can it work in Hamilton?",2019-12-09,CBC,Hamilton looks at an empty homes tax to ward off speculators and help local rents,0
46,Saskatchewan has been a leader in sustainable farming practices,2019-11-29,CBC,Sustainable' is a trendy word in the food industry — but farmers aren't getting enough credit for it,0
47,Also: Interest in electric pickup trucks is picking up,2019-11-29,CBC,This Canadian company shows a greener way to bottle water,0
48,"Canada's growth engines are sputtering, from investment and exports to weakening consumption as households cope with high debt levels",2019-11-28,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Canadian economy faces a prolonged period of sluggish growth,-1
49,Improvement in economic data seemingly reduces the risks of a recession in the near term,2019-11-27,CBC,"U.S. reports on GDP, consumer spending remain positive",1
50,Losses of $10.9 million were subsidized by a Crown corporation's earnings,2019-11-20,CBC,"Trans Mountain received $320M in government subsidies in 2019, report finds",1
51,"For the first time this year, the Canadian economy is coming in below analyst expectations, according to a closely watched gauge of economic surprises.",2019-11-19,Bloomberg News,Resilient growth in Canada just got a fresh warning signal,-1
52,"Continuing low interest rates could dent U.S. bank profits and push bankers into riskier behavior that might threaten the nation’s financial stability, the Federal Reserve said in a report released Friday.",2019-11-15,Bloomberg News,Fed warns prolonged low interest rates could spark instability,0
53,"Trump said the U.S. is close to signing a ""phase one"" trade deal with China",2019-11-12,CBC,Trump barks at Fed but offers no fresh details on trade in speech,0
54,Rebound predicted after low 2019 numbers,2019-10-25,CBC,CMHC predicts moderate Sask. housing market rebound in next year,1
55,There are a wide range of changes coming. Here's what they mean for your bottom line.,2019-10-25,CBC,From income taxes to AirBnB rentals: How Alberta's new budget will affect your personal finances,0
56,"Federal Reserve officials will signal they’re likely to take a break from cutting interest rates after lowering them again next week, according to a majority of economists surveyed by Bloomberg.",2019-10-25,Bloomberg News,U.S. Fed seen cutting rates next week and then hitting pause button,-1
57,'The world economy faces difficult headwinds',2019-10-15,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",The IMF cuts its global growth forecast for the fifth time in a row to the weakest in a decade,-1
58,The state of the 2019 campaign is giving us more reasons to worry ... about the quality of our leadership,2019-10-13,CBC,People are anxious — and this election campaign isn't helping,0
59,2019 is proving to be bizarre for traders,2019-10-10,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Some of 2019's wackiest investment predictions are actually coming true,0
60,Feds will have to decide which territorial platform promises they will back with investment,2019-10-07,CBC,N.W.T.'s incoming MLAs already have long list of asks for new federal gov't,0
61,It's nothing that a senior can really afford',2019-10-02,CBC,"Rents have just gone sky high': Cardigan candidates, voters weigh in on housing crisis",1
62,"If the Canadian housing market had a spirit animal, a cat could be fitting.",2019-09-20,BNN Bloomberg,Lower rates giving Canadian housing 'nine lives': CIBC's Tal,-1
63,Parties compete in offering new programs for young families,2019-09-18,CBC,"So far, families with children are the real winners in this election campaign",0
64,13 investigations revealed after election blackout lifted,2019-09-17,CBC,"Manitoba police watchdog investigates off-duty drinking and driving, excessive force",0
65,'A negative supply shock like this ... is just what we don't need',2019-09-16,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Oil-price shock couldn't come at a worse time for global economy in grip of deepening downturn,-1
66,As recession threatens and an election beckons is it time for us to borrow or time to shuck debt?,2019-09-12,CBC,To pay off or borrow more is the question facing Canadians: Don Pittis,0
67,Chief Mario Draghi pledge indefinite stimulus Thursday,2019-09-12,CBC,European Central Bank introduces aggressive stimulus package to revive ailing economy,-1
68,The number of market-moving Trump tweets has ballooned in the past month,2019-09-09,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Donald Trump’s tweets are moving markets. So JPMorgan created a ‘Volfefe’ index to track the impact,0
69,Governor Stephen Poloz to give 1st policy announcement since early July,2019-09-04,CBC,"All eyes on Bank of Canada's interest rate decision, view of global economic climate",0
70,"Trump said he's open to a range of possible actions, including a payroll tax cut or bypassing Congress to reduce taxes by indexing capital gains",2019-08-21,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Trump says the U.S. is 'very far from a recession' but floats stimulus ideas anyway,0
71,Money will go toward seven large projects already approved,2019-08-15,CBC,Greater Sudbury borrowing $205M for large projects,0
72,"Gold has risen 4.3 per cent this week, the largest increase since April 2016",2019-08-09,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","'The genie is out of the bottle': Gold is having its best week in 3 years after breaching $1,500",0
73,"This beautiful residence for creatives in Picton, Ont. helps couple build ideal artists' life.",2019-08-09,CBC,Why these artists rejected city life (and how they're making it big in their small town),0
74,Traders are adding to bets the Bank of Canada will 'roll over' and cut interest rates,2019-08-06,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Canadian yield curve inversion dives to deepest level since 2000,-1
75,"After Trump pledges more tariffs, China allows currency to fall and threatens agricultural tariffs",2019-08-05,CBC,Chinese yuan falls to 11-year low amid trade tensions,-1
76,Quebec banks require a two per cent minimum payment and more provinces could follow suit,2019-08-04,CBC,Why increasing minimum credit card payments could be beneficial,1
77,"Fraud over $5,000 charge dropped as Crown and defence agree to breach of public trust",2019-08-01,CBC,Former Edmonton bus trainer convicted for giving out fake certificates,0
78,"Canada's economy is doing fine, but central banks headed in different directions likely to be driver of dollar",2019-07-31,CBC,Up or down? Currency watchers split on which way the dollar is headed,0
79,"Food sales down 2%, booze and clothing sales down 2.7%",2019-07-19,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Surprise slump in retail sales bolsters case that Bank of Canada would follow Fed in rate cut,-1
80,The Canada Votes newsletter is your weekly tip-sheet as we count down to Oct. 21,2019-07-14,CBC,How much will the defence file matter to voters?,0
81,"Investors may think central banks can prevent a trade war-induced recession by cutting interest rates, but it's never that simple, Poloz says",2019-07-11,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Interest rate cuts are no cure-all in a trade war, Bank of Canada's Poloz warns",0
82,The city will petition Transport Canada to prohibit water vessels within 30 metres of the shoreline,2019-07-10,CBC,Windsor pursuing motorized watercraft ban along shoreline,0
83,"The sun is shining, the birds are chirping, but central bankers must plan for storms",2019-07-08,CBC,Expect Bank of Canada to take heart from an improving U.S. economic climate: Don Pittis,1
84,"NDP Leader Wab Kinew says Premier Brian Pallister plans to whittle away at MPI, piece by piece",2019-07-05,CBC,"Pallister government wants to privatize Manitoba Public Insurance, NDP says",0
85,Lagarde becomes the first woman to run euro-area monetary policy,2019-07-02,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens,0
86,Poll finds high levels of anxiety - and a low level of confidence in politicians - ahead of fall election,2019-06-30,CBC,Conflicted and worried: CBC News poll takes snapshot of Canadians ahead of fall election,-1
87,"Global trade tensions, weakness in oilpatch still hang over Canadian outlook",2019-06-28,CBC,Business sentiment improves after downturn early in year,1
88,Maggie Brown-Bury says she sees about 1 dog a week that has consumed cannabis,2019-06-28,CBC,Vet says to keep paws off pot as cases of marijuana toxicity in dogs increase,0
89,There's a raft of bullish factors for the precious metal right now,2019-06-24,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Gold is still gaining today, bringing prices near the highest level since 2013 with bulls 'back in control'",0
90,"Soldiers deployed at home sent to cope with fires, floods",2019-06-24,CBC,Canada's military feeling the strain responding to climate change,0
91,U.S. central bank keeps benchmark rate in range between 2.25% and 2.5%,2019-06-19,CBC,Federal Reserve holds key interest rate steady — but its patience is wearing thin,1
92,Mortgage backed securities would be a good way for lenders to hedge their residential real estate exposure,2019-06-05,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",The same type of debt blamed in the U.S. credit crisis could help Canada with housing risk,0
93,Trump's effort to reorient the U.S.'s place in world trade could end up being much more costly than most people think,2019-06-03,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Donald Trump's trade war has already cost investors up to $7 trillion,0
94,Most analysts predict rates won't rise again until next year at the earliest,2019-05-28,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Bank of Canada set to keep rates on hold today — and won't hike until at least after the election,0
95,Some see the loonie falling below 74 cents after the central bank’s rate decision this week,2019-05-27,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Markets are more gloomy about our economy than the Bank of Canada — who’s right?,0
96,"Vancouver homeowners cite rising taxes, falling equity; NDP argues moderation is improving affordability",2019-05-23,CBC,Province not prepared to ease policies as housing market sputters,-1
97,No strong case to move in either direction,2019-05-22,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Fed signals patience on rate moves ‘for some time’,0
98,"Cold storage business can handle live, frozen seafood",2019-05-21,CBC,Seafood storage facility to create jobs for Eskasoni First Nation,0
99,Policy makers gathered for IMF meeting worry about central bank independence ‘in the most important jurisdiction in the world’,2019-04-15,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Trump is slamming the Fed again, saying stocks should be 5,000-10,000 higher",-1
100,It's the third time the IMF has downgraded its outlook in six months,2019-04-09,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",IMF cuts global outlook to lowest since the financial crisis,-1
101,Governor’s speech suggests Bank of Canada rates won’t be moving up or down any time soon,2019-04-01,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Stephen Poloz confident slowdown is temporary, but low rates still needed",-1
102,The unexpected gain paints a much less bleak picture for an economy than we have been seeing lately,2019-03-29,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Canada emerges from slump with best growth gain in eight months,1
103,Former adviser to Bank of Canada is not the only one bearish on the loonie,2019-03-18,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canadian dollar could sink to record low of 62 cents as economy slides closer to recession, says David Wolf",-1
104,"Even after one of the most storied careers in financial markets, Bill Gross has a few surprises left",2019-03-01,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Bill Gross says this secret condition made him a successful investor — and infamously short-tempered,0
105,"Telephone poll shows a clear majority continue to say higher borrowing costs are either having no impact, or a positive one, on personal spending",2019-02-14,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Interest rate hikes don't seem to be hurting Canadian households after all,1
106,"While Krugman doesn't expect a crisis of the magnitude of 2008, he said policy makers in Washington would struggle to contain large shocks",2019-02-11,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Paul Krugman says the U.S. is headed for a possible recession and the Fed won't be able to combat it,-1
107,"'Greater caution' should be taken when investing in new condo units, warns research firm",2019-02-01,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Toronto new home sales plunge to lowest in almost 20 years as unsold condos pile up,0
108,Canadian personal banking group head is out to capture 'embedded growth opportunity' in loans despite widespread concerns over high household debt,2019-01-29,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",TD to focus on home-equity lines of credit in push for banking dominance,0
109,"Vancouver is in 'full-blown correction mode,' RBC economist says, with more price depreciations expected",2019-01-16,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","In Canada's housing slowdown, Vancouver proves to be the weakest link",0
110,Poloz says Oshawa has grown despite the decline in auto manufacturing and current GM workers will be retrained,2019-01-09,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Stephen Poloz sees signs of hope for his hometown of Oshawa after GM closes plant,0
111,"Developers may be cautious short-term, but are confident prices will continue to rise longer term due to supply constraints and Toronto's growth prospects",2018-12-18,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Toronto condo party to sober up in 2019, developers say, but don't expect prices to go down",0
112,Trump suggested the central bank has no reason to move because inflation is low and the U.S. currency is strong,2018-12-17,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Trump blasts Fed on eve of policy meeting for 'even considering' another interest rate hike,0
113,Observers calling out Trump over whether trade talks had created any meaningful breakthrough,2018-12-04,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Dow plunges almost 800 points over flattening yield curve, lost confidence on U.S.-China trade deal",-1
114,Time to go back to the Warren Buffett-style of investment,2018-11-20,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Brace yourselves — the global rout in stocks is getting worse,0
115,The update will likely include incentives for capital investment but not an across-the-board reduction in corporate taxes,2018-11-19,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",This week’s fiscal update will have Trudeau seeking redemption from a frustrated business community,0
116,"Ontario has the world's largest largest pile of sub-sovereign debt, clocking in at $338 billion",2018-11-15,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Ontario sharpens axe as it readies plan to cut mounting $15-billion deficit,0
