,description,publishedAt,title,title_desc_sent_1,title_desc
64,Dread over prospect plug-in cars — which have fewer parts and require less labour to build — will doom auto jobs helped spark GM strike,2019-09-27,'They don't need us anymore': Auto workers are deathly afraid electric cars will eliminate their jobs,-1,'They don't need us anymore': Auto workers are deathly afraid electric cars will eliminate their jobs. Dread over prospect plug-in cars — which have fewer parts and require less labour to build — will doom auto jobs helped spark GM strike
111,"Opinion: The group is unable to deliver sustainable reductions alone, and geopolitical forces may see other players unwilling to pitch in",2018-11-29,"Even if OPEC decides to cut, oil prices could still fall in 2019",-1,"Even if OPEC decides to cut, oil prices could still fall in 2019. Opinion: The group is unable to deliver sustainable reductions alone, and geopolitical forces may see other players unwilling to pitch in"
20,It's time for Ottawa to have Alberta's back',2020-03-11,"Kenney heads to Ottawa to demand urgent help from federal Liberals, warning Alberta faces 'triple whammy'",-1,"Kenney heads to Ottawa to demand urgent help from federal Liberals, warning Alberta faces 'triple whammy'. It's time for Ottawa to have Alberta's back'"
86,Lagarde becomes the first woman to run euro-area monetary policy,2019-07-02,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens,-1,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens. Lagarde becomes the first woman to run euro-area monetary policy
22,Decision to cut rates before scheduled meeting reflects the urgency Fed feels to fend off threat of coronavirus,2020-03-03,Fed cuts rate half point over coronavirus in first emergency move since the financial crisis,-1,Fed cuts rate half point over coronavirus in first emergency move since the financial crisis. Decision to cut rates before scheduled meeting reflects the urgency Fed feels to fend off threat of coronavirus
100,"Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market.",2019-04-25,"U.S. jobless claims rise most since 2017, topping estimates",-1,"U.S. jobless claims rise most since 2017, topping estimates. Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market."
83,"All parties involved should immediately come to the table to discuss solutions, Jerry Dias says",2019-07-11,Unifor wants urgent meeting to discuss pending layoffs at Bombardier Thunder Bay plant,-1,"Unifor wants urgent meeting to discuss pending layoffs at Bombardier Thunder Bay plant. All parties involved should immediately come to the table to discuss solutions, Jerry Dias says"
22,Decision to cut rates before scheduled meeting reflects the urgency Fed feels to fend off threat of coronavirus,2020-03-03,Fed cuts rate half point over coronavirus in first emergency move since the financial crisis,-1,Fed cuts rate half point over coronavirus in first emergency move since the financial crisis. Decision to cut rates before scheduled meeting reflects the urgency Fed feels to fend off threat of coronavirus
86,Lagarde becomes the first woman to run euro-area monetary policy,2019-07-02,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens,-1,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens. Lagarde becomes the first woman to run euro-area monetary policy
56,"This will protect jobs now and in the future,' finance minister says",2019-10-25,"Provincial budget cuts could take toll on Edmonton and public sector, critics say",-1,"Provincial budget cuts could take toll on Edmonton and public sector, critics say. This will protect jobs now and in the future,' finance minister says"
100,"Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market.",2019-04-25,"U.S. jobless claims rise most since 2017, topping estimates",-1,"U.S. jobless claims rise most since 2017, topping estimates. Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market."
20,It's time for Ottawa to have Alberta's back',2020-03-11,"Kenney heads to Ottawa to demand urgent help from federal Liberals, warning Alberta faces 'triple whammy'",-1,"Kenney heads to Ottawa to demand urgent help from federal Liberals, warning Alberta faces 'triple whammy'. It's time for Ottawa to have Alberta's back'"
100,"Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market.",2019-04-25,"U.S. jobless claims rise most since 2017, topping estimates",-1,"U.S. jobless claims rise most since 2017, topping estimates. Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market."
1,"Supply and service sector also on edge as business slows, while government pushes for federal help",2020-05-13,"As Suncor ponders Terra Nova's future, N.L. offshore workers worry about their own",-1,"As Suncor ponders Terra Nova's future, N.L. offshore workers worry about their own. Supply and service sector also on edge as business slows, while government pushes for federal help"
3,Central bank officials cited risk of the potential for massive bankruptcies that could create a lasting scar,2020-05-12,Stocks tumble after double whammy of warnings from Fauci and Fed over pandemic economy,-1,Stocks tumble after double whammy of warnings from Fauci and Fed over pandemic economy. Central bank officials cited risk of the potential for massive bankruptcies that could create a lasting scar
97,"Developers are having a harder time securing their projects, senior economist says, which will bruise employment and consumption",2019-05-14,"The Bank of Canada is underestimating the housing slump, Capital Economics warns",-1,"The Bank of Canada is underestimating the housing slump, Capital Economics warns. Developers are having a harder time securing their projects, senior economist says, which will bruise employment and consumption"
61,"The strike has chopped US$400 million in direct wages out of the U.S. economy, with half of that loss coming in Michigan",2019-10-07,"GM strike ripples across the economy, raising new recession fears",-1,"GM strike ripples across the economy, raising new recession fears. The strike has chopped US$400 million in direct wages out of the U.S. economy, with half of that loss coming in Michigan"
61,"The strike has chopped US$400 million in direct wages out of the U.S. economy, with half of that loss coming in Michigan",2019-10-07,"GM strike ripples across the economy, raising new recession fears",-1,"GM strike ripples across the economy, raising new recession fears. The strike has chopped US$400 million in direct wages out of the U.S. economy, with half of that loss coming in Michigan"
99,"UBS Group AG is telling executives in its large wealth management business to be more selective when hiring bankers as it seeks to cut costs following a challenging first quarter, according to people familiar with the matter.",2019-04-30,UBS said to tell some managers to only hire when five leave,-1,"UBS said to tell some managers to only hire when five leave. UBS Group AG is telling executives in its large wealth management business to be more selective when hiring bankers as it seeks to cut costs following a challenging first quarter, according to people familiar with the matter."
100,"Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market.",2019-04-25,"U.S. jobless claims rise most since 2017, topping estimates",-1,"U.S. jobless claims rise most since 2017, topping estimates. Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market."
14,'A lot of the bad news is already built into the market',2020-04-02,Stocks suffer weekly loss after dismal jobs report,-1,Stocks suffer weekly loss after dismal jobs report. 'A lot of the bad news is already built into the market'
74,"A slowing economy and growing trade tensions suggest a cut will happen more quickly than currently accounted for, Macquarie economist says",2019-08-20,A Bank of Canada rate cut is looking more likely and the first could come as early as September,-1,"A Bank of Canada rate cut is looking more likely and the first could come as early as September. A slowing economy and growing trade tensions suggest a cut will happen more quickly than currently accounted for, Macquarie economist says"
111,"Opinion: The group is unable to deliver sustainable reductions alone, and geopolitical forces may see other players unwilling to pitch in",2018-11-29,"Even if OPEC decides to cut, oil prices could still fall in 2019",-1,"Even if OPEC decides to cut, oil prices could still fall in 2019. Opinion: The group is unable to deliver sustainable reductions alone, and geopolitical forces may see other players unwilling to pitch in"
45,Unemployment rate jumps the most since 2009 to 5.9%,2019-12-06,"Canada loses 71,200 jobs in biggest employment drop in decade",-1,"Canada loses 71,200 jobs in biggest employment drop in decade. Unemployment rate jumps the most since 2009 to 5.9%"
99,"UBS Group AG is telling executives in its large wealth management business to be more selective when hiring bankers as it seeks to cut costs following a challenging first quarter, according to people familiar with the matter.",2019-04-30,UBS said to tell some managers to only hire when five leave,-1,"UBS said to tell some managers to only hire when five leave. UBS Group AG is telling executives in its large wealth management business to be more selective when hiring bankers as it seeks to cut costs following a challenging first quarter, according to people familiar with the matter."
16,Most downtown businesses are closed and the effect on tourism has been ‚Äö√Ñ√∫devastating‚Äö√Ñ√π,2020-03-25,London reeling from the economic impact of COVID-19: deputy mayor,-1,London reeling from the economic impact of COVID-19: deputy mayor. Most downtown businesses are closed and the effect on tourism has been ‚Äö√Ñ√∫devastating‚Äö√Ñ√π
86,Lagarde becomes the first woman to run euro-area monetary policy,2019-07-02,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens,-1,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens. Lagarde becomes the first woman to run euro-area monetary policy
43,Canada's unemployment rate is 5.9 per cent,2019-12-06,Windsor's unemployment rate third highest in Canada,-1,Windsor's unemployment rate third highest in Canada. Canada's unemployment rate is 5.9 per cent
16,Most downtown businesses are closed and the effect on tourism has been ‚Äö√Ñ√∫devastating‚Äö√Ñ√π,2020-03-25,London reeling from the economic impact of COVID-19: deputy mayor,-1,London reeling from the economic impact of COVID-19: deputy mayor. Most downtown businesses are closed and the effect on tourism has been ‚Äö√Ñ√∫devastating‚Äö√Ñ√π
2,The Fed chair in his speech outlined the worrying scenario posed by mass bankruptcies and unemployment,2020-05-13,Fed’s Jerome Powell warns coronavirus could do lasting damage to economy; policy makers will need to do more,-1,Fed’s Jerome Powell warns coronavirus could do lasting damage to economy; policy makers will need to do more. The Fed chair in his speech outlined the worrying scenario posed by mass bankruptcies and unemployment
73,"The drumbeat of exits, rare for such a stable oil-producing country, adds an extra layer of gloom for an industry that accounts for about a fifth of Canada's exports",2019-08-22,The $30-billion exodus: Foreign oil firms keep bailing on Canada's energy sector,-1,"The $30-billion exodus: Foreign oil firms keep bailing on Canada's energy sector. The drumbeat of exits, rare for such a stable oil-producing country, adds an extra layer of gloom for an industry that accounts for about a fifth of Canada's exports"
81,"Close to 60,000 people are on social assistance in the province",2019-07-18,Number of Albertans on EI declines as those accessing social assistance increases,-1,"Number of Albertans on EI declines as those accessing social assistance increases. Close to 60,000 people are on social assistance in the province"
2,The Fed chair in his speech outlined the worrying scenario posed by mass bankruptcies and unemployment,2020-05-13,Fed’s Jerome Powell warns coronavirus could do lasting damage to economy; policy makers will need to do more,-1,Fed’s Jerome Powell warns coronavirus could do lasting damage to economy; policy makers will need to do more. The Fed chair in his speech outlined the worrying scenario posed by mass bankruptcies and unemployment
43,Canada's unemployment rate is 5.9 per cent,2019-12-06,Windsor's unemployment rate third highest in Canada,-1,Windsor's unemployment rate third highest in Canada. Canada's unemployment rate is 5.9 per cent
86,Lagarde becomes the first woman to run euro-area monetary policy,2019-07-02,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens,-1,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens. Lagarde becomes the first woman to run euro-area monetary policy
22,Decision to cut rates before scheduled meeting reflects the urgency Fed feels to fend off threat of coronavirus,2020-03-03,Fed cuts rate half point over coronavirus in first emergency move since the financial crisis,-1,Fed cuts rate half point over coronavirus in first emergency move since the financial crisis. Decision to cut rates before scheduled meeting reflects the urgency Fed feels to fend off threat of coronavirus
74,"A slowing economy and growing trade tensions suggest a cut will happen more quickly than currently accounted for, Macquarie economist says",2019-08-20,A Bank of Canada rate cut is looking more likely and the first could come as early as September,-1,"A Bank of Canada rate cut is looking more likely and the first could come as early as September. A slowing economy and growing trade tensions suggest a cut will happen more quickly than currently accounted for, Macquarie economist says"
61,"The strike has chopped US$400 million in direct wages out of the U.S. economy, with half of that loss coming in Michigan",2019-10-07,"GM strike ripples across the economy, raising new recession fears",-1,"GM strike ripples across the economy, raising new recession fears. The strike has chopped US$400 million in direct wages out of the U.S. economy, with half of that loss coming in Michigan"
16,Most downtown businesses are closed and the effect on tourism has been ‚Äö√Ñ√∫devastating‚Äö√Ñ√π,2020-03-25,London reeling from the economic impact of COVID-19: deputy mayor,-1,London reeling from the economic impact of COVID-19: deputy mayor. Most downtown businesses are closed and the effect on tourism has been ‚Äö√Ñ√∫devastating‚Äö√Ñ√π
57,Walkout deemed illegal by New Brunswick Labour and Employment Board,2019-10-18,Hospital laundry workers ordered back to work,0,Hospital laundry workers ordered back to work. Walkout deemed illegal by New Brunswick Labour and Employment Board
92,Finance Minister Vic Fedeli says Ontario is finding investor interest for an eventual deal in Europe,2019-06-11,'Sea of tranquility': Ontario pitches its debt as a haven to European investors amid Brexit,0,'Sea of tranquility': Ontario pitches its debt as a haven to European investors amid Brexit. Finance Minister Vic Fedeli says Ontario is finding investor interest for an eventual deal in Europe
88,"The loss of the refinery will likely increase the region's dependence on supplies from Canada, Europe and the Gulf Coast",2019-06-26,"Biggest refinery on U.S. East Coast set to close after huge explosion, driving up fuel prices",0,"Biggest refinery on U.S. East Coast set to close after huge explosion, driving up fuel prices. The loss of the refinery will likely increase the region's dependence on supplies from Canada, Europe and the Gulf Coast"
39,"(Bloomberg) — After two years of setbacks, the euro is enjoying a wave of much-needed investor optimism as 2019 draws to a close.",2019-12-27,Euro Forecasters See a World-Beating Run in 2020,0,"Euro Forecasters See a World-Beating Run in 2020. (Bloomberg) — After two years of setbacks, the euro is enjoying a wave of much-needed investor optimism as 2019 draws to a close."
59,Tech giant is under pressure from lawmakers over its massive market power and record of privacy breaches,2019-10-09,Facebook CEO Mark Zuckerberg to appear before Congress on currency plan,0,Facebook CEO Mark Zuckerberg to appear before Congress on currency plan. Tech giant is under pressure from lawmakers over its massive market power and record of privacy breaches
33,Lawyers for Deborah Dugan filed a discrimination complaint with the Equal Employment Opportunity Commission,2020-01-24,Grammys CEO says she was ousted after reporting harassment,0,Grammys CEO says she was ousted after reporting harassment. Lawyers for Deborah Dugan filed a discrimination complaint with the Equal Employment Opportunity Commission
77,"The best weather? Summerland, BC. The best place to retire is...Toronto",2019-08-12,Ontario wins big in ranking of best place to live in Canada,0,"Ontario wins big in ranking of best place to live in Canada. The best weather? Summerland, BC. The best place to retire is...Toronto"
57,Walkout deemed illegal by New Brunswick Labour and Employment Board,2019-10-18,Hospital laundry workers ordered back to work,0,Hospital laundry workers ordered back to work. Walkout deemed illegal by New Brunswick Labour and Employment Board
7,We recognize these decisions have significant impacts on employees',2020-04-27,MRU expands mandatory unpaid leave for employees as COVID crisis continues,0,MRU expands mandatory unpaid leave for employees as COVID crisis continues. We recognize these decisions have significant impacts on employees'
8,The question now for the oil market is whether the cuts will be enough to throw a floor under prices as demand for energy craters,2020-04-12,Oil price war ends with historic OPEC+ deal for biggest output cut ever of 9.7 million barrels a day,0,Oil price war ends with historic OPEC+ deal for biggest output cut ever of 9.7 million barrels a day. The question now for the oil market is whether the cuts will be enough to throw a floor under prices as demand for energy craters
28,Ottawa must decide by the end of February if Teck Resources Ltd can build the Frontier mine,2020-02-07,Federal government readies aid for Alberta as deadline for massive oilsands project nears: sources,0,Federal government readies aid for Alberta as deadline for massive oilsands project nears: sources. Ottawa must decide by the end of February if Teck Resources Ltd can build the Frontier mine
28,Ottawa must decide by the end of February if Teck Resources Ltd can build the Frontier mine,2020-02-07,Federal government readies aid for Alberta as deadline for massive oilsands project nears: sources,0,Federal government readies aid for Alberta as deadline for massive oilsands project nears: sources. Ottawa must decide by the end of February if Teck Resources Ltd can build the Frontier mine
96,Some see the loonie falling below 74 cents after the central bank’s rate decision this week,2019-05-27,Markets are more gloomy about our economy than the Bank of Canada — who’s right?,0,Markets are more gloomy about our economy than the Bank of Canada — who’s right?. Some see the loonie falling below 74 cents after the central bank’s rate decision this week
58,"Jon Paul Fiorentino no longer works at university, but school won't say if it's connected to findings",2019-10-16,Investigation into harassment allegations against Concordia creative writing prof over,0,"Investigation into harassment allegations against Concordia creative writing prof over. Jon Paul Fiorentino no longer works at university, but school won't say if it's connected to findings"
75,Federal program shuttered in 2010,2019-08-15,Ontario prison farms making a comeback,0,Ontario prison farms making a comeback. Federal program shuttered in 2010
96,Some see the loonie falling below 74 cents after the central bank’s rate decision this week,2019-05-27,Markets are more gloomy about our economy than the Bank of Canada — who’s right?,0,Markets are more gloomy about our economy than the Bank of Canada — who’s right?. Some see the loonie falling below 74 cents after the central bank’s rate decision this week
24,Privacy commissioner's office says it has found 'strong indications of systemic under-reporting',2020-02-14,"Personal information belonging to 144,000 Canadians breached by federal departments and agencies",0,"Personal information belonging to 144,000 Canadians breached by federal departments and agencies. Privacy commissioner's office says it has found 'strong indications of systemic under-reporting'"
19,"COVID-19 emergency funds will be flowing in 2 to 3 weeks, government promises",2020-03-19,"PM says closures, social distancing measures could be in place for weeks or months",0,"PM says closures, social distancing measures could be in place for weeks or months. COVID-19 emergency funds will be flowing in 2 to 3 weeks, government promises"
31,"It's no different than any other industry, you can fall behind very quickly'",2020-01-29,P.E.I.'s farm technician program adds high-tech content,0,"P.E.I.'s farm technician program adds high-tech content. It's no different than any other industry, you can fall behind very quickly'"
96,Some see the loonie falling below 74 cents after the central bank’s rate decision this week,2019-05-27,Markets are more gloomy about our economy than the Bank of Canada — who’s right?,0,Markets are more gloomy about our economy than the Bank of Canada — who’s right?. Some see the loonie falling below 74 cents after the central bank’s rate decision this week
29,Biggest increase since the mortgage stress test was launched,2020-02-06,Toronto home prices rise at fastest pace in more than two years,0,Toronto home prices rise at fastest pace in more than two years. Biggest increase since the mortgage stress test was launched
54,Saint John police believe ID thieves from Montreal are part of criminal organization,2019-11-04,Sophisticated' fraud scheme tripped by power bill error,0,Sophisticated' fraud scheme tripped by power bill error. Saint John police believe ID thieves from Montreal are part of criminal organization
108,"U.S. stocks fell back toward their session lows after Trump's outburst, with the S&P 500 Index on track to close at a 19-month low",2018-12-24,"Trump renews attacks on Federal Reserve, calls it the U.S. economy's 'only problem'",0,"Trump renews attacks on Federal Reserve, calls it the U.S. economy's 'only problem'. U.S. stocks fell back toward their session lows after Trump's outburst, with the S&P 500 Index on track to close at a 19-month low"
31,"It's no different than any other industry, you can fall behind very quickly'",2020-01-29,P.E.I.'s farm technician program adds high-tech content,0,"P.E.I.'s farm technician program adds high-tech content. It's no different than any other industry, you can fall behind very quickly'"
77,"The best weather? Summerland, BC. The best place to retire is...Toronto",2019-08-12,Ontario wins big in ranking of best place to live in Canada,0,"Ontario wins big in ranking of best place to live in Canada. The best weather? Summerland, BC. The best place to retire is...Toronto"
79,Unclear what signal will emerge about the scope for further easing,2019-07-31,"Fed looks locked in for quarter-point cut, but there may be drama",0,"Fed looks locked in for quarter-point cut, but there may be drama. Unclear what signal will emerge about the scope for further easing"
5,"Already strained by COVID-19, institutions could be further challenged by lack of new students",2020-05-07,Post-secondary schools face rough autumn if pandemic keeps foreign students away,0,"Post-secondary schools face rough autumn if pandemic keeps foreign students away. Already strained by COVID-19, institutions could be further challenged by lack of new students"
19,"COVID-19 emergency funds will be flowing in 2 to 3 weeks, government promises",2020-03-19,"PM says closures, social distancing measures could be in place for weeks or months",0,"PM says closures, social distancing measures could be in place for weeks or months. COVID-19 emergency funds will be flowing in 2 to 3 weeks, government promises"
29,Biggest increase since the mortgage stress test was launched,2020-02-06,Toronto home prices rise at fastest pace in more than two years,0,Toronto home prices rise at fastest pace in more than two years. Biggest increase since the mortgage stress test was launched
107,Luxury-home markets across the biggest cities tumbled last year. Here's what Sotheby's expects in 2019,2019-01-09,The winners and losers of Canada's luxury housing market in 2019,0,The winners and losers of Canada's luxury housing market in 2019. Luxury-home markets across the biggest cities tumbled last year. Here's what Sotheby's expects in 2019
82,"Tanya Smith turned down inheritance to avoid benefits problems, but government lost the paperwork",2019-07-17,Legally blind woman worried she'll lose benefits over father's will,0,"Legally blind woman worried she'll lose benefits over father's will. Tanya Smith turned down inheritance to avoid benefits problems, but government lost the paperwork"
90,"Scott Michael Curtis was serving life sentence for murder when he died of 'apparent natural causes,' says CSC",2019-06-18,Convicted murderer and accomplice of notorious serial killer Allan Legere dead at 52,0,"Convicted murderer and accomplice of notorious serial killer Allan Legere dead at 52. Scott Michael Curtis was serving life sentence for murder when he died of 'apparent natural causes,' says CSC"
109,"U.S. stocks erased most of their gains after the decision, which struck a slightly less dovish tone than some investors had anticipated",2018-12-19,"Fed raises interest rates, turns more cautious on outlook for 2019 hikes",0,"Fed raises interest rates, turns more cautious on outlook for 2019 hikes. U.S. stocks erased most of their gains after the decision, which struck a slightly less dovish tone than some investors had anticipated"
6,"Trump asks Americans to be 'warriors' during pandemic, Pelosi accuses him of having no plan",2020-05-06,Trump clarifies that coronavirus task force will 'continue on indefinitely',0,"Trump clarifies that coronavirus task force will 'continue on indefinitely'. Trump asks Americans to be 'warriors' during pandemic, Pelosi accuses him of having no plan"
35,About 700 people in the region receive their Ontario Works assistance via cheque,2020-01-17,Replacing cheques with pay cards may benefit Ontario Works recipients,0,Replacing cheques with pay cards may benefit Ontario Works recipients. About 700 people in the region receive their Ontario Works assistance via cheque
39,"(Bloomberg) — After two years of setbacks, the euro is enjoying a wave of much-needed investor optimism as 2019 draws to a close.",2019-12-27,Euro Forecasters See a World-Beating Run in 2020,0,"Euro Forecasters See a World-Beating Run in 2020. (Bloomberg) — After two years of setbacks, the euro is enjoying a wave of much-needed investor optimism as 2019 draws to a close."
21,"I don't think we have conversations about pride and dignity,' says anti-poverty advocate Dorothy Halliday",2020-03-10,The depths of the despair': CBC Cape Breton explores poverty in Northside communities,0,"The depths of the despair': CBC Cape Breton explores poverty in Northside communities. I don't think we have conversations about pride and dignity,' says anti-poverty advocate Dorothy Halliday"
71,The deal gives HBC a way to divest operations of the struggling chain while holding onto the more valuable asset — the real estate,2019-08-28,Hudson's Bay selling Lord & Taylor for $100 million to Le Tote,0,Hudson's Bay selling Lord & Taylor for $100 million to Le Tote. The deal gives HBC a way to divest operations of the struggling chain while holding onto the more valuable asset — the real estate
29,Biggest increase since the mortgage stress test was launched,2020-02-06,Toronto home prices rise at fastest pace in more than two years,0,Toronto home prices rise at fastest pace in more than two years. Biggest increase since the mortgage stress test was launched
92,Finance Minister Vic Fedeli says Ontario is finding investor interest for an eventual deal in Europe,2019-06-11,'Sea of tranquility': Ontario pitches its debt as a haven to European investors amid Brexit,0,'Sea of tranquility': Ontario pitches its debt as a haven to European investors amid Brexit. Finance Minister Vic Fedeli says Ontario is finding investor interest for an eventual deal in Europe
24,Privacy commissioner's office says it has found 'strong indications of systemic under-reporting',2020-02-14,"Personal information belonging to 144,000 Canadians breached by federal departments and agencies",0,"Personal information belonging to 144,000 Canadians breached by federal departments and agencies. Privacy commissioner's office says it has found 'strong indications of systemic under-reporting'"
48,Management consultant says SAO being sued by the town was a dedicated employee,2019-11-27,Municipal investigator contradicts allegations in Norman Wells lawsuit,0,Municipal investigator contradicts allegations in Norman Wells lawsuit. Management consultant says SAO being sued by the town was a dedicated employee
71,The deal gives HBC a way to divest operations of the struggling chain while holding onto the more valuable asset — the real estate,2019-08-28,Hudson's Bay selling Lord & Taylor for $100 million to Le Tote,0,Hudson's Bay selling Lord & Taylor for $100 million to Le Tote. The deal gives HBC a way to divest operations of the struggling chain while holding onto the more valuable asset — the real estate
9,U.S. stocks posted the biggest weekly gain since 1974,2020-04-09,TSX see biggest weekly gain since 2009 on Fed aid,0,TSX see biggest weekly gain since 2009 on Fed aid. U.S. stocks posted the biggest weekly gain since 1974
77,"The best weather? Summerland, BC. The best place to retire is...Toronto",2019-08-12,Ontario wins big in ranking of best place to live in Canada,0,"Ontario wins big in ranking of best place to live in Canada. The best weather? Summerland, BC. The best place to retire is...Toronto"
110,"Wall Street risks becoming more of a boy's club, rather than less of one",2018-12-03,Men on Wall Street are so spooked by the #MeToo movement they're avoiding women at all costs,0,"Men on Wall Street are so spooked by the #MeToo movement they're avoiding women at all costs. Wall Street risks becoming more of a boy's club, rather than less of one"
57,Walkout deemed illegal by New Brunswick Labour and Employment Board,2019-10-18,Hospital laundry workers ordered back to work,0,Hospital laundry workers ordered back to work. Walkout deemed illegal by New Brunswick Labour and Employment Board
55,Brandon Taubman directed inappropriate comments at female reporters following team's pennant-clinching win,2019-10-25,MLB conducting wider probe of Astros after assistant GM fired,0,MLB conducting wider probe of Astros after assistant GM fired. Brandon Taubman directed inappropriate comments at female reporters following team's pennant-clinching win
65,"Green Party Leader Elizabeth May also in N.B., says it's her third trip this year",2019-09-24,"NDP leader lands in New Brunswick, says he's sorry for not visiting sooner",0,"NDP leader lands in New Brunswick, says he's sorry for not visiting sooner. Green Party Leader Elizabeth May also in N.B., says it's her third trip this year"
