,title_desc,publishedAt,title_desc_sent_1
97,"Scrapping mortgage rules would boost Canadian home prices by about $32,000, TD says. TD says impact of rules have been longer-lasting and more significant than originally intended and government should consider flexibility",2019-04-30,1
63,To pay off or borrow more is the question facing Canadians: Don Pittis. As recession threatens and an election beckons is it time for us to borrow or time to shuck debt?,2019-09-12,-1
109,"Higher interest rates pushing more Canadians to seek debt relief as business booms for insolvency trustees. Record debt burdens, rising borrowing costs and, in some cases, bigger payday loans are driving many Canadians to insolvency",2018-12-20,1
57,"Canada's housing market has come roaring back this fall, complete with black-tie condo launches. One real estate broker says he sold 30 condos in one weekend",2019-10-04,1
98,"The Canadian dollar has been on a tear this year, but it's bullish run might be about to end. The loonie's resiliency could soon be tested if crude loses momentum",2019-04-15,0
24,"TD markets first RMBS from a top-six Canadian bank. A unit of Toronto-Dominion Bank is moving ahead with what would be the first widely-marketed Canadian private-label residential mortgage-backed securities deal from one of the country’s six largest banks, according DBRS Morningstar.",2020-02-13,0
29,"Rental vacancies up in Ottawa, but so's the rent. 2-bedroom units in city's west end led surge in rental prices in 2019",2020-01-16,1
75,"How Charlottetown has become one of the hottest housing markets in Canada. New stock, new uses driving prices",2019-07-31,1
22,"Albertans still make the most money, but other provinces are catching up. Median income in the province decreased by 3.3% over the past few years, compared to 4.1% growth across Canada",2020-02-25,0
70,The Goldilocks president says he wants to keep the boom alive: Don Pittis. Europe and China are also seeking just-right ways to stave off recession,2019-08-26,0
83,Toronto condo prices see weakest growth in 5 years as tight lending rules bite. A new wave of supply is also dampening growth,2019-06-28,-1
68,"Bond yields just sank to record lows again, but this time markets aren't panicking. Wednesday's drop appears driven by technical factors, such as investors needing to add long-term bonds as a hedge, not anxiety about the economy",2019-08-28,-1
100,"Trudeau's new housing measures could end up crushing sales in an already depressed market. Help for first-time homebuyers doesn't come into effect until the fall, meaning some might hold off on jumping into real estate until they can take advantage",2019-03-21,-1
64,Breaking down Canadians' questions about the cost of living. It's the number one concern among Canadians heading into the fall federal election,2019-09-12,0
3,"Condo vacancies rise, rents fall as pandemic crushes GTA's short-term rental market. A surge in listings, fewer renters means more competition for landlords",2020-05-01,-1
117,Mortgage growth in Canada hasn't been this weak since 2001. Canada’s mortgage growth has fallen to the lowest in nearly two decades as interest rates rise and after new mortgage rules took effect at the start of the year.,2018-05-01,1
50,Home sales surged in Vancouver area in October. Real estate board says lower prices helped boost sales by 45.4% over 2018,2019-11-05,1
6,"B.C. home sales to fall by 40 per cent but comeback is likely, report says. Provincial economy expected to shrink by 4 per cent, economist says",2020-04-20,-1
54,"Pace of housing starts slowed in September, CMHC reports. Canada Mortgage and Housing Corp. says seasonally adjusted annual rate fell 2.5% compared with August",2019-10-08,-1
49,"Annual pace of housing starts slowed to 201,973 in October, CMHC reports. Canada Mortgage and Housing Corp. says pace of new construction down with fewer multi-unit projects begun",2019-11-08,-1
121,"Mortgage stress tests to reduce housing activity to 'unnecessary degree': Study. OSFI’s incoming B-20 underwriting guidelines in 2018 are set to affect already-gun-shy first-time buyers, according to a study released Tuesday.",2017-12-05,0
58,Slump in U.S. manufacturing knocks stock market to lowest point in 5 weeks. Manufacturing weakened in September for the 2nd straight month as U.S.-China trade war dragged on confidence,2019-10-01,0
34,"Canada's unemployment rate climbs to 5.9%. Regionally, Quebec suffered the biggest decline in jobs from the previous month",2020-01-06,-1
116,"BMO offers record variable discount as mortgage wars heat up. Bank of Montreal is wooing homebuyers with a variable mortgage rate with the biggest discount ever by a large Canadian bank, according to one market watcher.",2018-05-08,-1
